concept,stratum,C2,de,en,uk,ru,isv,isv_cyr,cs,sk,pl,sl,hr_sr,bg,es,fr,pt,gl,ca,it,ro,rm,ar,fa,my_id,branch_coverage_slavic,action_class,sensitivity,best_alt_mean_MAG,lane_count,concept_norm,source_weight_total,source_weight_profile,priority_score,priority_band,risk_flags,ws_west_status,ws_south_status,ws_candidates,ws_lang_forms,c2_context_covered,main_sources,canonical_or_ledger_terms,lane_status_summary,weighted_top_by_scheme,weighted_current_scores,weighted_best_noncurrent,weighted_review_question,isv_source_cue,isv_cyr_source_cue,uk_source_cue,ru_source_cue,register_doublet_group,register_branch_profile,register_doublet_policy,register_evidence
absolutely complete system,noether_corpus,yes,,absolutely complete system,,,,,,,,,,,,,,,,,,,نظام كامل مطلقاً,دستگاه مطلقاً کامل,,0,,,,1,absolutely complete system,0.14,"{""cross_lane_spine"": 0.04, ""lane_arabic_farsi_persianate"": 0.1}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context; source_gap,no_hit,no_hit,{},{},pending,,,"{""arabic_farsi_persianate"": ""ar:paper01_open_specialist_source_required; fa:open_specialist_source_required; bridge:high_risk_bridge_placeholder""}",{},{},,,,,,,,,,
binary form,noether_corpus,yes,,binary form,,,,,,,,,,,,,,,,,,,صورة ثنائية,صورت دوتایی,,0,,,,2,binary form,0.68,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.5, ""lane_controlled_arabic"": 0.1}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context; source_gap,no_hit,no_hit,{},{},pending,,,"{""arabic_farsi_persianate"": ""ar:open_specialist_evidence_required; fa:open_no_direct_hit; bridge:bridge_candidate_review_required"", ""controlled_arabic"": ""open_specialist_evidence_required""}",{},{},,,,,,,,,,
biquadratic form,noether_corpus,yes,,biquadratic form,,,,,,,,,,,,,,,,,,,شكل من الدرجة الرابعة,صورت درجهٔ چهارم,,0,,,,1,biquadratic form,0.14,"{""cross_lane_spine"": 0.04, ""lane_arabic_farsi_persianate"": 0.1}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context; source_gap,no_hit,no_hit,{},{},pending,,,"{""arabic_farsi_persianate"": ""ar:paper01_open_specialist_source_required; fa:open_specialist_source_required; bridge:bridge_candidate_review_required""}",{},{},,,,,,,,,,
complete system,noether_corpus,yes,,complete system,,,,,,,,,,,,,,,,,,,نظام كامل,دستگاه کامل,,0,,,,1,complete system,0.54,"{""cross_lane_spine"": 0.04, ""lane_arabic_farsi_persianate"": 0.5}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context; source_gap,no_hit,no_hit,{},{},pending,,,"{""arabic_farsi_persianate"": ""ar:paper01_open_specialist_source_required; fa:open_no_direct_hit; bridge:bridge_candidate_review_required""}",{},{},,,,,,,,,,
contravariant,noether_corpus,yes,,contravariant,,,,,,,,,,,,,,,,,,,مضاد التغاير,پادوردا,,0,,,,1,contravariant,0.14,"{""cross_lane_spine"": 0.04, ""lane_arabic_farsi_persianate"": 0.1}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context; source_gap,no_hit,no_hit,{},{},pending,,,"{""arabic_farsi_persianate"": ""ar:paper01_open_specialist_source_required; fa:open_specialist_source_required; bridge:high_risk_bridge_placeholder""}",{},{},,,,,,,,,,
elementary divisor,noether_corpus,yes,Elementarteiler; Elementarteilerform,elementary divisor,елементарний дільник,высший элементарный делитель,elementarne dělitelje,елементарне делителје,,,,,,,divisor elemental,diviseur elementaire,,divisor elemental,,,,,,,,1,,,,2,elementary divisor,1.59,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.04, ""draft_triangulation"": 0.15, ""lane_pan_romance"": 0.5}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,pan_romance:es:cum_es.tex:10174; pan_romance:fr:translations/paper22/french/v001/Noether_Paper22_Intro_Section01_French_v001.tex:69,de:Elementarteilerform; Elementarteilerform / Norm; uk:форма елементарних дільників; форма елементарних дільників / норма; ru:форма элементарных делителей; форма элементарных делителей / норма; isv:forma elementarnyh děliteljev; forma elementarnyh děliteljev / norma; isv_cyr:форма елементарных делительев; форма елементарных делительев / норма,"{""pan_romance"": ""no_promoted_register_source_hit""}",{},{},,,,,,,,,,
form system,noether_corpus,yes,,form system,,,,,,,,,,,,,,,,,,,منظومة الأشكال,دستگاه صورت‌ها,,0,,,,1,form system,0.38,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.1, ""lane_interslavic"": 0.2}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,interslavic:noether_paper02_section03_terms.json,,"{""arabic_farsi_persianate"": ""ar:paper01_open_specialist_source_required; fa:open_specialist_source_required; bridge:bridge_candidate_review_required"", ""interslavic"": ""provisional""}",{},{},,,,,,,,,,
ground form,noether_corpus,yes,Grundform; Grundform / Grundformensystem,ground form,основна форма,основная форма,osnovna forma,основна форма,,,,,,,,,,,,,,,شكل أساسي,صورت پایه,,1,,,,2,ground form,1.59,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.04, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.5}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context; source_gap,no_hit,no_hit,{},{},pending,,de:grundform; grundformen,"{""arabic_farsi_persianate"": ""ar:paper01_open_specialist_source_required; fa:open_no_direct_hit; bridge:bridge_candidate_review_required""}",{},{},,,,,,,,,,
invariant theory,noether_corpus,yes,,invariant theory,,,,,,,,,,,,,,,,,,,نظرية الثوابت,نظریهٔ ناورداها,,0,,,,2,invariant theory,0.52,"{""cross_lane_spine"": 0.12, ""lane_arabic_farsi_persianate"": 0.1, ""lane_controlled_arabic"": 0.1, ""lane_interslavic"": 0.2}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,interslavic:noether_paper02_section01_terms.json,,"{""arabic_farsi_persianate"": ""ar:open_specialist_evidence_required; fa:open_specialist_source_required; bridge:high_risk_bridge_placeholder"", ""controlled_arabic"": ""open_specialist_evidence_required"", ""interslavic"": ""carried_forward_review_needed""}",{},{},,,,,,,,,,
modulus,noether_corpus,yes,,modulus,,,,,,,,,,,,,,,,,,,مودول,مودول,,0,,,,1,modulus,0.14,"{""cross_lane_spine"": 0.04, ""lane_arabic_farsi_persianate"": 0.1}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context; source_gap,no_hit,no_hit,{},{},pending,,,"{""arabic_farsi_persianate"": ""ar:paper01_open_specialist_source_required; fa:open_specialist_source_required; bridge:high_risk_bridge_placeholder""}",{},{},,,,,,,,,,
reduction,noether_corpus,yes,,reduction,,,,,,,,,,,,,,,,,,,ردّ/اختزال,فروکاست/کاهش,,0,,,,1,reduction,1.03,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.75, ""lane_interslavic"": 0.2}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,interslavic:noether_paper02_section03_terms.json; interslavic:noether_paper02_section06_terms.json; interslavic:noether_paper02_section07_terms.json; interslavic:noether_paper02_section15_terms.json,,"{""arabic_farsi_persianate"": ""ar:not_in_arabic_spine; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""interslavic"": ""stable""}",{},{},,,,,,,,,,
relatively complete system,noether_corpus,yes,,relatively complete system,,,,,,,,,,,,,,,,,,,نظام كامل نسبياً,دستگاه نسبتاً کامل,,0,,,,1,relatively complete system,0.38,"{""cross_lane_spine"": 0.08, ""lane_arabic_farsi_persianate"": 0.1, ""lane_interslavic"": 0.2}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,interslavic:noether_paper02_section03_terms.json; interslavic:noether_paper02_section07_terms.json,,"{""arabic_farsi_persianate"": ""ar:paper01_open_specialist_source_required; fa:open_specialist_source_required; bridge:high_risk_bridge_placeholder"", ""interslavic"": ""stable_provisional""}",{},{},,,,,,,,,,
resultant,noether_corpus,yes,Resultante der Glieder höchster Dimension; homogene Resultante der Glieder höchster Dimension,resultant,,,,,,,,,,,,,,,,,,,,,paduan/resultan,1,,,,2,resultant,1.29,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.04, ""draft_triangulation"": 0.15, ""lane_malay_indonesian"": 0.2}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,malay_indonesian:UM terminology resultant rows,de:resultante; resultanten,"{""malay_indonesian"": ""open_retry_required""}",{},{},,,homogena rezultanta členov najvyššego stepena,резултант членов највысшеј димензије,однорідна результанта членів найвищого степеня,однородная результанта членов наивысшей степени,,,,
ternary form,noether_corpus,yes,,ternary form,,,,,,,,,,,,,,,,,,,شكل ثلاثي,صورت سه‌متغیره,,0,,,,1,ternary form,0.54,"{""cross_lane_spine"": 0.04, ""lane_arabic_farsi_persianate"": 0.5}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context; source_gap,no_hit,no_hit,{},{},pending,,,"{""arabic_farsi_persianate"": ""ar:paper01_open_specialist_source_required; fa:open_no_direct_hit; bridge:bridge_candidate_review_required""}",{},{},,,,,,,,,,
transvection,noether_corpus,yes,einmalige Überschiebung; Überschiebung,transvection,,,jednokratna transvekcija,,,,,,,,,,,,,,,,ترانسفكشن,ترانسوکسیون,,0,,,,2,transvection,1.43,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.08, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.1, ""lane_interslavic"": 0.2}",18,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,interslavic:noether_paper02_section03_terms.json; interslavic:noether_paper02_section19_terms.json,de:einmalige Überschiebung; Überschiebung; isv:jednokratna transvekcija; jednorazovy prěnos; transvekcija,"{""arabic_farsi_persianate"": ""ar:paper01_open_specialist_source_required; fa:open_specialist_source_required; bridge:high_risk_bridge_placeholder"", ""interslavic"": ""review_needed""}",{},{},,,,,,,,,,
identity,proof_grammar,yes,,identity,,,,,,,,,,,unidad / identidad,unite / identite,identidade,unidade,unitat,unita,unitate,identitad,,,identitas/identiti,0,,,,2,identity,0.78,"{""cross_lane_spine"": 0.08, ""lane_malay_indonesian"": 0.2, ""lane_pan_romance"": 0.5}",14,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,malay_indonesian:Indonesian algebra rows; Malay terminology; pan_romance:es:cum_es.tex:482; pan_romance:fr:french/1001.2849v1/1001.2849v1.tex:1050,,"{""malay_indonesian"": ""variant_pair_required"", ""pan_romance"": ""interlingua_source_hit""}",{},{},,,,,,,,,,
invariant,noether_corpus,yes,Invariante Variationsprobleme; Invariante der Gruppe / invariantes Integral,invariant,однорідні ізобарні інваріанти,однородные изобарные инварианты,cěločislovy invariant,хомогенны изобарны инварианты,≈cěločislovy invariant [S],,,,≈cěločislovy invariant [S],,invariante,invariant,invariante,invariante,invariant,invariante,invariant,,ثابت,ناوردا,tak berubah/tak varian/invarian,3,confirm_current,stable,-999,5,invariant,4.61,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.16, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.5, ""lane_controlled_arabic"": 0.1, ""lane_malay_indonesian"": 0.2, ""lane_pan_romance"": 0.5, ""native_ws_context_shelf"": 0.75, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",14,C_core_fill_or_source_intake,,support,support,"{""cognate of ISV form"": 19}","{""cs"": [""cognate of ISV form""], ""hr"": [""cognate of ISV form""]}",yes,cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:UM terminology invariant rows; pan_romance:es:cum_es.tex:293; pan_romance:fr:cum_fr_P19s12.tex:168; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_karlin_commutative_rings_fields.txt,de:invariante Bildungen; isv:invariantne tvorjenja,"{""arabic_farsi_persianate"": ""ar:open_specialist_evidence_required; fa:open_no_direct_hit; bridge:bridge_candidate_review_required"", ""controlled_arabic"": ""open_specialist_evidence_required"", ""malay_indonesian"": ""terminology_only_specialist"", ""pan_romance"": ""esperanto_warning_source_hit""}","{""dependence_pd"": ""invariant"", ""equal_branch"": ""invariant"", ""equal_splits"": ""invariant"", ""population_proxy"": ""invariant""}","{""dependence_pd"": 0.7272727272727273, ""equal_branch"": 1.0, ""equal_splits"": 0.611111111111111, ""population_proxy"": 0.7867319679430098}",,Confirm 'invariant' (support pattern acceptable) or note preferred variant policy.,,,,,,,,
proposition,proof_grammar,yes,,proposition,,,,,,,,,,,,,,,,,,,,,proposisi/pernyataan,0,,,,1,proposition,0.24,"{""cross_lane_spine"": 0.04, ""lane_malay_indonesian"": 0.2}",14,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,malay_indonesian:UM Surabaya proposition row; UKM proof-course prose,,"{""malay_indonesian"": ""variant_pair_required""}",{},{},,,,,,,,,,
respectively,proof_grammar,yes,,respectively,,,,,,,,,,,respectivamente,respectivement,respectivamente,,respectivament,rispettivamente,respectiv,respectivamain,,,,0,,,,1,respectively,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",14,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,pan_romance:es:cum_es.tex:330; pan_romance:fr:cum_fr_P19s12.tex:358,,"{""pan_romance"": ""esperanto_warning_source_hit""}",{},{},,,,,,,,,,
therefore,proof_grammar,yes,,therefore,,,,,,,,,,,por tanto / por consiguiente,donc / par consequent,portanto,por conseguinte,per tant,quindi,deci,damai,,,,0,,,,1,therefore,0.54,"{""cross_lane_spine"": 0.04, ""lane_pan_romance"": 0.5}",14,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,pan_romance:es:cum_es.tex:347; pan_romance:fr:cum_fr_P19s12.tex:380,,"{""pan_romance"": ""interlingua_source_hit""}",{},{},,,,,,,,,,
vector space,curriculum_algebra,yes,,vector space,,,,,,,,,,,,,,,,,,,فضاء شعاعي,فضای برداری,ruang vektor,0,,,,3,vector space,1.72,"{""cross_lane_spine"": 0.12, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75, ""lane_malay_indonesian"": 0.1}",14,C_core_fill_or_source_intake,C2_pending_specialist_or_context,no_hit,no_hit,{},{},pending,malay_indonesian:UKM course row,,"{""arabic_farsi_persianate"": ""ar:source_backed_promotable_seed; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""controlled_arabic"": ""source_backed_promotable_seed"", ""malay_indonesian"": ""malay_strong_indonesian_gap""}",{},{},,,,,,,,,,
algebra,curriculum_algebra,yes,,algebra,,,,,≈? [S],≈? [S],≈? [S],≈? [S],≈? [S],≈? [S],algebra,algebre,algebra,algebra,algebra,algebra,algebra,algebra,جبر,جبر,aljabar/algebra,2,confirm_current,stable,-999,4,algebra,3.11,"{""cross_lane_spine"": 0.16, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75, ""lane_malay_indonesian"": 0.2, ""lane_pan_romance"": 0.5, ""native_ws_context_shelf"": 0.75}",10,D_background,,no_hit,no_hit,{},{},yes,bg:bulgarian_sofia_noncommutative_body_problem.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti/UIN; UKM course rows; pan_romance:es:cum_es.tex:4655; pan_romance:fr:french/math_0107137v2/2002-20.tex:118; pl:polish_impan_algebra_lecture3.txt; sk:slovak_abstraktna_algebra.txt; sl:slovenian_komutativna_algebra_noetherian.txt; sl:slovenian_uvod_v_algebro.txt; sr:serbian_belgrade_algebra_i_lecture9.txt,,"{""arabic_farsi_persianate"": ""ar:source_backed_promotable_seed; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""controlled_arabic"": ""source_backed_promotable_seed"", ""malay_indonesian"": ""variant_pair_required"", ""pan_romance"": ""interlingua_source_hit""}",{},{},,,,,,,,,,
basis,curriculum_algebra,yes,Basis der direkten Summe / blockdiagonale Diskriminantenmatrix; Basis des Erweiterungsideals des Diskriminantenideals,basis,,,algebraična baza,алгебраична база,≈algebraična baza [S],≈algebraična baza [S],≈algebraična baza [S],≈algebraična baza [S],≈algebraična baza [S],≈algebraična baza [S],base,base,base,base,base,base,baza,basa,قاعدة,پایه,basis/asas,3,confirm_current,stable,-999,5,basis,5.51,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.16, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75, ""lane_malay_indonesian"": 0.2, ""lane_pan_romance"": 0.5, ""native_ws_context_shelf"": 0.75, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",10,D_background,,support,support,"{""cognate of ISV form"": 411}","{""bg"": [""cognate of ISV form""], ""cs"": [""cognate of ISV form""], ""hr"": [""cognate of ISV form""], ""pl"": [""cognate of ISV form""], ""sk"": [""cognate of ISV form""], ""sl"": [""cognate of ISV form""]}",yes,bg:bulgarian_sofia_noncommutative_body_problem.txt; malay_indonesian:UPM/UKM course rows; Indonesian sparse hit; pan_romance:es:cum_es.tex:291; pan_romance:fr:cum_fr_P19s12.tex:198; ws:bulgarian_sofia_noncommutative_body_problem.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:polish_mimuw_algebra2_galois.txt; ws:polish_mimuw_noncommutative_body.txt; ws:polish_uj_algebra1_noetherian.txt; ws:polish_uwr_algebra2_rings.txt; ws:slovak_abstraktna_algebra.txt; ws:slovenian_komutativna_algebra_noetherian.txt,de:ausgezeichnete Basis; uk:виділений базис; ru:выделенный базис; isv:vyznačena baza,"{""arabic_farsi_persianate"": ""ar:attested_needs_review; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""controlled_arabic"": ""attested_needs_review"", ""malay_indonesian"": ""variant_pair_required"", ""pan_romance"": ""interlingua_source_hit""}","{""dependence_pd"": ""baza"", ""equal_branch"": ""baza"", ""equal_splits"": ""baza"", ""population_proxy"": ""baza""}","{""dependence_pd"": 1.0, ""equal_branch"": 1.0, ""equal_splits"": 1.0, ""population_proxy"": 1.0}",,Confirm 'baza' (support pattern acceptable) or note preferred variant policy.,,,алгебраїчна база / раціональна база,алгебраическая база / рациональная база,foundation-basis,baza-: W308/S112/E1; osnova-: W0/S519/E1,pan-root anchor: baza-; branch aliases: W=[] S=['osnova-'],REGISTER_DOUBLET_BRANCH_EVIDENCE_v2_20260704.json (mechanical_probe 0.5)
definition,proof_grammar,yes,Produkt von Idealen / Definition IIIa; Ring in abstrakter Definition,definition,добуток ідеалів,,,,"≈definicija se pokryva s definicijeju v §7, 1 [S]",,"≈definicija se pokryva s definicijeju v §7, 1 [S]","≈definicija se pokryva s definicijeju v §7, 1 [S]","≈definicija se pokryva s definicijeju v §7, 1 [S]","≈definicija se pokryva s definicijeju v §7, 1 [S]",definicion,definition,definicao,definicion,definicio,definizione,definitie,definiziun,تعريف,تعریف,definisi/takrif,3,confirm_current,stable,-999,5,definition,5.51,"{""canonical_source_normalization"": 0.9, ""cross_lane_spine"": 0.16, ""draft_triangulation"": 0.15, ""lane_arabic_farsi_persianate"": 0.75, ""lane_controlled_arabic"": 0.75, ""lane_malay_indonesian"": 0.2, ""lane_pan_romance"": 0.5, ""native_ws_context_shelf"": 0.75, ""native_ws_witness_candidate"": 0.75, ""weighted_marginal_analysis"": 0.1, ""ws_mechanical_probe"": 0.5}",10,D_background,,support,support,"{""cognate of ISV form"": 971}","{""bg"": [""cognate of ISV form""], ""cs"": [""cognate of ISV form""], ""hr"": [""cognate of ISV form""], ""pl"": [""cognate of ISV form""], ""sl"": [""cognate of ISV form""], ""sr"": [""cognate of ISV form""]}",yes,bg:bulgarian_sofia_rings_lecture7.txt; cs:czech_cuni_algebra_2021.txt; hr:croatian_mathhr_algebra_structures_2024.txt; malay_indonesian:Neliti/UIN definitions; UKM mentakrif; pan_romance:es:cum_es.tex:701; pan_romance:fr:french/0605499v2/indice1.tex:50; pl:polish_impan_algebra_lecture3.txt; sl:slovenian_uvod_v_algebro.txt; sr:serbian_belgrade_algebra_i_lecture9.txt; ws:bulgarian_sofia_rings_lecture7.txt; ws:croatian_mathhr_algebra_structures_2024.txt; ws:croatian_pmf_split_prsteni.txt; ws:czech_cuni_algebra_2021.txt; ws:czech_cuni_noncommutative_body_thesis.txt; ws:czech_cuni_representation_idempotents.txt; ws:czech_cuni_telesa_pole_note.txt; ws:czech_karlin_commutative_rings_fields.txt; ws:czech_karlin_galois_splitting_field.txt; ws:polish_impan_algebra_lecture3.txt; ws:polish_mimuw_noncommutative_body.txt; ws:polish_uj_algebra1_noetherian.txt,de:definition; definitionen,"{""arabic_farsi_persianate"": ""ar:source_backed_promotable_seed; fa:source_backed_seed; bridge:promotable_seed_with_review"", ""controlled_arabic"": ""source_backed_promotable_seed"", ""malay_indonesian"": ""variant_pair_required"", ""pan_romance"": ""interlingua_source_hit""}","{""dependence_pd"": ""definicija"", ""equal_branch"": ""definicija"", ""equal_splits"": ""definicija"", ""population_proxy"": ""definicija""}","{""dependence_pd"": 1.0, ""equal_branch"": 1.0, ""equal_splits"": 1.0, ""population_proxy"": 1.0}",,Confirm 'definicija' (support pattern acceptable) or note preferred variant policy.,"definicija se pokryva s definicijeju v §7, 1","дефиниција се покрыва с дефиницијеју в §7, 1",,кольцо в абстрактном определении,,,,
