alignment_id,record_revision,supersedes,component_id,source_unit_record_id,evidence_class,authority_role,source_tex_lines,printed_volume_pages,physical_source_pdf_pages,recomposed_running_pages,source_locator,target_locator,coverage_status,decision,status,confidence,adverse_delta,rejected_alternative,cross_references,continuation_cursor,review_state,closure_id
SGA2-V-CUM-ALN-0075,1,,SGA2-V-C08,SGA2-V31PII-ALN-003,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1983-1985,68,60,52,corrected French TeX lines 1983-1985,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 516-543; component SGA2-V-C08; inherited locator: item(i) parameter system and annihilator range,complete,preserve x1 through xr and xi in Ann M for i=1 through r-n,self_audited_formula_comparison_passed_independent_review_pending,high,none,compress away the indexed range,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0076,1,,SGA2-V-C08,SGA2-V31PII-ALN-004,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1985,68,60,52,corrected French TeX lines 1985,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 516-543; component SGA2-V-C08; inherited locator: Koszul complex and transition map,complete,"select active K-bullet((x^k),M) branch and preserve K^i((x^k),M) to K^i((x^{k'}),M) for k<k'",self_audited_formula_comparison_passed_independent_review_pending,high,candidate corrupts the target exponent,"copy candidate K^i(({x^k})',M)",,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0077,1,,SGA2-V-C08,SGA2-V31PII-ALN-005,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1985,68,60,52,corrected French TeX lines 1985,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 516-543; component SGA2-V-C08; inherited locator: direct-limit and lower-degree vanishings,complete,preserve zero map for i>n direct limit H^i(M)=0 for i>n and trivial H^i(M)=0 for i<0,self_audited_formula_comparison_passed_independent_review_pending,high,none,drop the i<0 clause,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0078,1,,SGA2-V-C08,SGA2-V31PII-ALN-006,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1987-1988,68,60,52,corrected French TeX lines 1987-1988,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 516-543; component SGA2-V-C08; inherited locator: item(ii) regularity and global-dimension implication,complete,select corrected prose branch: global homological dimension of A_p is strictly less than j; retain exact localized Ext equality,self_audited_formula_comparison_passed_independent_review_pending,high,older branch abbreviates gldim,rationalize to projective dimension of M_p,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0079,1,,SGA2-V-C08,SGA2-V31PII-ALN-007,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1988,68,60,52,corrected French TeX lines 1988,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 516-543; component SGA2-V-C08; inherited locator: item(ii) inference close,complete,"preserve order: prove (b), hence (a), then derive theorem item(ii) from equation22 and (a)",self_audited_structure_comparison_passed_independent_review_pending,high,none,reverse (a) and (b),OUTBOUND:SGA2-V-EQ22,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0080,1,,SGA2-V-C08,SGA2-V31PII-ALN-008,source_boundary,direct_compiled_french_pdf,1988-1990,68,60,52,corrected French TeX lines 1988-1990,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 516-543; component SGA2-V-C08; inherited locator: end after item(ii),complete,do not add QED; line1989 blank and item(iii) begins line1990 on the same physical page,self_audited_boundary_check_passed_independent_review_pending,high,none,close the theorem proof after item(ii),OUTBOUND:SGA2-V-LINE1990,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0081,1,,SGA2-V-C08,SGA2-V31PII-ALN-009,render_alignment,direct_compiled_french_pdf,1982-1988,68,60,52,corrected French TeX lines 1982-1988,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 516-543; component SGA2-V-C08; inherited locator: source-physical-060.png and target-page-1.png,complete,inspect the complete direct source page and complete target page,self_audited_visual_check_passed_independent_review_pending,high,none,compile-only acceptance,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0082,1,,SGA2-V-C08,SGA2-V31PII-ALN-REVIEW-001,independent_review_closure,corrected_french_tex_plus_direct_compiled_pdf,1982-1988,68,60,52,corrected French TeX lines 1982-1988,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 516-543; component SGA2-V-C08; inherited locator: complete final bounded target body,complete,independently re-read every sentence formula symbol implication reference and boundary against both French authorities,independently_source_reviewed_sealed_bounded_unit,high,none,infer agreement from the comparison lineage,SGA2-V31PII-OPEN|SGA2-V31PII-I-PARAM|SGA2-V31PII-I-KOSZUL|SGA2-V31PII-I-VANISH|SGA2-V31PII-II-GLDIM|SGA2-V31PII-II-INFER|SGA2-V31PII-BOUND|SGA2-V31PII-QA,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0083,1,,SGA2-V-C09,SGA2-V3-III-ALN-001,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1990-2005,68-69,60,52,corrected French TeX lines 1990-2005,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 547-568; component SGA2-V-C09; inherited locator: complete target body after authority box,complete,cover item iii opening through the dimension equality and stop before line2007,production_draft_source_compared_independent_review_pending,high,none,continue into the representability argument,OUTBOUND:SGA2-V-LINE2007,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0084,1,,SGA2-V-C09,SGA2-V3-III-ALN-002,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1990-1991,68,60,52,corrected French TeX lines 1990-1991,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 547-568; component SGA2-V-C09; inherited locator: item label and existence sentence,complete,preserve existence of p in SuppM dimension r-minus-n and singleton support mA-p,production_draft_source_compared_independent_review_pending,high,candidate rewrites m A-p as m sub A-p,adopt the candidate subscript notation without source warrant,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0085,1,,SGA2-V-C09,SGA2-V3-III-ALN-003,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1991,68,60,52,corrected French TeX lines 1991,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 547-568; component SGA2-V-C09; inherited locator: regularity and depth clause,complete,preserve conditional regularity and depth A-p equals r-minus-n,production_draft_source_compared_independent_review_pending,high,none,translate profondeur as height,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0086,1,,SGA2-V-C09,SGA2-V3-III-ALN-004,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1992-1993,68,60,52,corrected French TeX lines 1992-1993,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 547-568; component SGA2-V-C09; inherited locator: equation23,complete,preserve both Ext degrees rings localizations module arguments and nonvanishing,production_draft_formula_compared_independent_review_pending,high,candidate plain-text loses reliable TeX structure,copy candidate transcription without source check,INBOUND:SGA2-V-EQ22,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0087,1,,SGA2-V-C09,SGA2-V3-III-ALN-005,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1994,69,60,52,corrected French TeX lines 1994,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 547-568; component SGA2-V-C09; inherited locator: printed-page marker and inference clause,complete,place printed69 marker at the inference and select corrected de branch,production_draft_locator_compared_independent_review_pending,high,source workpass retains rejected alternate branch in sisi macro,translate malformed alternate reading,INBOUND:SGA2-V-EQ22,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0088,1,,SGA2-V-C09,SGA2-V3-III-ALN-006,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1995-1997,69,60,52,corrected French TeX lines 1995-1997,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 547-568; component SGA2-V-C09; inherited locator: first unnumbered display,complete,preserve H superscript n of M nonzero,production_draft_formula_compared_independent_review_pending,high,none,change local-cohomology notation to a new symbol,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0089,1,,SGA2-V-C09,SGA2-V3-III-ALN-007,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,1998-2001,69,60,52,corrected French TeX lines 1998-2001,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 547-568; component SGA2-V-C09; inherited locator: second unnumbered display,complete,preserve dimension of D of H-n at least n,production_draft_formula_compared_independent_review_pending,high,none,drop the dualizing functor D,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0090,1,,SGA2-V-C09,SGA2-V3-III-ALN-008,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2002-2005,69,60,52,corrected French TeX lines 2002-2005,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 547-568; component SGA2-V-C09; inherited locator: closing unnumbered display,complete,preserve dependency on item ii and equality of the same dimension to n,production_draft_formula_compared_independent_review_pending,high,none,add a QED or close item iii,INBOUND:SGA2-V3-THM31-II,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0091,1,,SGA2-V-C09,SGA2-V3-III-ALN-009,locator_boundary_control,corrected_french_tex_plus_direct_compiled_pdf,1990-2007,68-69,60,52,corrected French TeX lines 1990-2007,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 547-568; component SGA2-V-C09; inherited locator: authority box margin marker and document boundary,complete,distinguish printed68-69 physical60 and recomposed52 and stop at line2005,production_draft_locator_review_pending,high,item iii continues after a blank line,call this the complete proof of item iii,OUTBOUND:SGA2-V-LINE2007,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0092,1,,SGA2-V-C09,SGA2-V3-III-ALN-010,independent_review_closure,corrected_french_tex_plus_direct_compiled_pdf,1990-2005,68-69,60,52,corrected French TeX lines 1990-2005,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 547-568; component SGA2-V-C09; inherited locator: complete bounded target body plus post-review PDF,complete,independent sentence formula symbol locator boundary build render and ledger review passed without mathematical-body correction,independently_source_reviewed_sealed_bounded_unit,high,none,call a bounded seal cumulative or publication-ready,INBOUND:SGA2-V-EQ22|INBOUND:SGA2-V3-THM31-II|OUTBOUND:SGA2-V-LINE2007,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0093,1,,SGA2-V-C10,SGA2-V3-IIIC-ALN-001,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2007-2019,69,61,53,corrected French TeX lines 2007-2019,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 572-596; component SGA2-V-C10; inherited locator: complete target body after authority box,complete,cover the remainder of item iii through its source list closure and exclude Lemma3.3,production_draft_source_compared_independent_review_pending,high,none,include the lemma in the same unit,OUTBOUND:SGA2-V33,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0094,1,,SGA2-V-C10,SGA2-V3-IIIC-ALN-002,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2007,69,61,53,corrected French TeX lines 2007,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 572-596; component SGA2-V-C10; inherited locator: opening functor sentence,complete,preserve Y SuppM D Hn M-prime Ext degree r-n left exactness and opposite category,production_draft_source_compared_independent_review_pending,high,candidate capitalizes Module,adopt candidate register mechanically,INBOUND:SGA2-V3-THM31-I,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0095,1,,SGA2-V-C10,SGA2-V3-IIIC-ALN-003,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2007-2010,69,61,53,corrected French TeX lines 2007-2010,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 572-596; component SGA2-V-C10; inherited locator: representability sentence and display,complete,preserve existence of A-module H natural isomorphism wording and source equality Ext equals Hom,production_draft_formula_compared_independent_review_pending,high,source says isomorphism but writes equality,replace equality by an unrecorded isomorphism symbol,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0096,1,,SGA2-V-C10,SGA2-V3-IIIC-ALN-004,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2012,69,61,53,corrected French TeX lines 2012,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 572-596; component SGA2-V-C10; inherited locator: components and equivalence prose,complete,preserve Yi indexing irreducible maximum-dimension components and exact two assertions,production_draft_source_compared_independent_review_pending,high,none,change maximum dimension to maximal by inclusion,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0097,1,,SGA2-V-C10,SGA2-V3-IIIC-ALN-005,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2012,69,61,53,corrected French TeX lines 2012,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 572-596; component SGA2-V-C10; inherited locator: forward implication,complete,preserve support containment corrected dim M-prime equals n and Ext nonvanishing,production_draft_formula_compared_independent_review_pending,high,current workpass selects parenthesized dim branch,adopt rejected dimpt branch literally,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0098,1,,SGA2-V-C10,SGA2-V3-IIIC-ALN-006,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2014,69,61,53,corrected French TeX lines 2014,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 572-596; component SGA2-V-C10; inherited locator: converse hypothesis,complete,preserve noncontainment for every i and dimension strictly less than n,production_draft_formula_compared_independent_review_pending,high,none,reverse support containment or inequality,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0099,1,,SGA2-V-C10,SGA2-V3-IIIC-ALN-007,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2015-2016,69,61,53,corrected French TeX lines 2015-2016,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 572-596; component SGA2-V-C10; inherited locator: vanishing display,complete,preserve D Hn M-prime equals Ext degree r-n equals zero,production_draft_formula_compared_independent_review_pending,high,none,drop D or change the Ext degree,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0100,1,,SGA2-V-C10,SGA2-V3-IIIC-ALN-008,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2018,69,61,53,corrected French TeX lines 2018,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 572-596; component SGA2-V-C10; inherited locator: associated-prime identity and lemma referral,complete,preserve Ass Ext identity SuppM intersection AssH and dependency of the last assertion on the following lemma,production_draft_formula_compared_independent_review_pending,high,current workpass selects Ass(H) branch,retain rejected malformed Ass.H branch,OUTBOUND:SGA2-V33,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0101,1,,SGA2-V-C10,SGA2-V3-IIIC-ALN-009,locator_boundary_control,corrected_french_tex_plus_direct_compiled_pdf,2007-2021,69,61,53,corrected French TeX lines 2007-2021,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 572-596; component SGA2-V-C10; inherited locator: authority box and document boundary,complete,distinguish printed69 physical61 running53 include source list closure line2019 and stop before Lemma3.3,production_draft_locator_review_pending,high,the theorem proof continues through the lemma,add QED or call the theorem proof complete,OUTBOUND:SGA2-V33,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0102,1,,SGA2-V-C10,SGA2-V3-IIIC-ALN-010,independent_review_closure,corrected_french_tex_plus_fresh_direct_compiled_pdf,2007-2019,69,61,53,corrected French TeX lines 2007-2019,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 572-596; component SGA2-V-C10; inherited locator: complete target body plus independent review evidence,complete,independently recheck every sentence formula locator quantifier containment direction and boundary and seal only this bounded working unit,independently_source_reviewed_sealed_bounded_unit,high,no English mathematical-body correction; stale review disclosure updated,call the unit cumulative public certified publication-ready or source authority,SGA2-V3-IIIC-FUN|SGA2-V3-IIIC-REP|SGA2-V3-IIIC-EQUIV|SGA2-V3-IIIC-FWD|SGA2-V3-IIIC-CONV|SGA2-V3-IIIC-ZERO|SGA2-V3-IIIC-ASS|SGA2-V3-IIIC-QA|SGA2-V3-IIIC-CAND,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0103,1,,SGA2-V-C11,SGA2-V33-ALN-001,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2021-2038,69-70,61,53,corrected French TeX lines 2021-2038,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 600-635; component SGA2-V-C11; inherited locator: complete lemma statement proof and source proof closure,complete,cover Lemma3.3 and the structural close of theorem3.1 and stop before Example3.4,production_draft_source_compared_independent_review_pending,high,none,extend into Example3.4,OUTBOUND:SGA2-V34,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0104,1,,SGA2-V-C11,SGA2-V33-ALN-002,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2021,69,61,53,corrected French TeX lines 2021,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 600-635; component SGA2-V-C11; inherited locator: lemma setup,complete,preserve X SpecA closed Y functor T opposite category Ab left exactness and Yi family,production_draft_source_compared_independent_review_pending,high,source adjective agreement is defective,carry French agreement error into English,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0105,1,,SGA2-V-C11,SGA2-V33-ALN-003,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2021,69,61,53,corrected French TeX lines 2021,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 600-635; component SGA2-V-C11; inherited locator: lemma hypothesis equivalence,complete,preserve T of M zero iff every support fails to contain Yi with exact quantifiers and containment direction,production_draft_formula_compared_independent_review_pending,high,none,reverse the containment or existential quantifier,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0106,1,,SGA2-V-C11,SGA2-V33-ALN-004,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2021,69,61,53,corrected French TeX lines 2021,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 600-635; component SGA2-V-C11; inherited locator: representability conclusion and associated-prime display,complete,preserve representing module H union of singleton generic points and corrected Ass(H) branch,production_draft_formula_compared_independent_review_pending,high,rejected source branch prints malformed Ass.H,retain malformed branch,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0107,1,,SGA2-V-C11,SGA2-V33-ALN-005,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2024-2025,69-70,61,53,corrected French TeX lines 2024-2025,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 600-635; component SGA2-V-C11; inherited locator: proof opening printed70 marker and support display,complete,preserve constructed M(y) and closure over singleton y; place printed70 marker at proof opening,production_draft_formula_locator_review_pending,high,candidate drops the closure bar,adopt candidate bare singleton support,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0108,1,,SGA2-V-C11,SGA2-V33-ALN-006,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2025-2029,70,61,53,corrected French TeX lines 2025-2029,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 600-635; component SGA2-V-C11; inherited locator: first proof case and empty display,complete,preserve y unequal all yi noncontainment of every Yi T zero Ass intersection empty and y not associated,production_draft_formula_compared_independent_review_pending,high,current workpass repairs T(M(y)) and Ass(H) parentheses,retain rejected malformed macro branches,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0109,1,,SGA2-V-C11,SGA2-V33-ALN-007,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2029-2032,70,61,53,corrected French TeX lines 2029-2032,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 600-635; component SGA2-V-C11; inherited locator: second proof case and nonempty display,complete,preserve y equals yi containment T nonzero and Ass intersection nonempty with corrected M(y) branch,production_draft_formula_compared_independent_review_pending,high,rejected source branches omit parentheses,retain malformed branches,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0110,1,,SGA2-V-C11,SGA2-V33-ALN-008,source_alignment_coverage,corrected_french_tex_plus_direct_compiled_pdf,2034-2036,70,61,53,corrected French TeX lines 2034-2036,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 600-635; component SGA2-V-C11; inherited locator: closing inference and single QED,complete,preserve dependency on first proof part y in AssH and exactly one printed QED closing lemma,production_draft_structure_compared_independent_review_pending,high,none,print a second QED for the enclosing proof,,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0111,1,,SGA2-V-C11,SGA2-V33-ALN-009,locator_boundary_control,corrected_french_tex_plus_direct_compiled_pdf,2021-2040,69-70,61,53,corrected French TeX lines 2021-2040,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 600-635; component SGA2-V-C11; inherited locator: authority box printed70 marker single QED and document boundary,complete,distinguish printed69-70 physical61 running53 record source theorem-proof close lines2037-2038 and stop before Example3.4,production_draft_locator_review_pending,high,line2039 blank and Example starts2040,include Example3.4,OUTBOUND:SGA2-V34,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
SGA2-V-CUM-ALN-0112,1,,SGA2-V-C11,SGA2-V33-ALN-010,independent_review_closure,corrected_french_tex_plus_fresh_direct_compiled_pdf,2021-2038,69-70,61,53,corrected French TeX lines 2021-2038,SGA2_Expose_V_English_SourceAligned_Cumulative_Checkpoint.tex:lines 600-635; component SGA2-V-C11; inherited locator: complete bounded English TeX PDF and machine evidence,complete,independently seal only this bounded unit after line formula page boundary build render and ledger review,independently_source_reviewed_sealed_bounded_unit,high,no English mathematical-body correction required; stale pending-review disclosure corrected,claim cumulative integration publication readiness certification or source authority for the comparison witness,INBOUND:SGA2-V3-IIIC-ASS|OUTBOUND:SGA2-V34,corrected French line 2139; Expose VI begins; line 2137 is blank and line 2138 is layout control,source unit independently sealed; cumulative assembly pending independent package audit,SGA2-V-CUM-ASSEMBLY-SELF-GATE-20260718
