"priority","status","paper","printed_page_or_band","last_seen_or_fixed_in","error_class","old_or_bad_reading","source_backed_reading","what_this_means","next_action","evidence"
"P0","closed_source_backed_patch_compile_render_ok","P27","101","LocalCodex fresh complete-page audit 2026-07-18","linked ideal-symbol family flattened to ordinary italic","q, p, q/p, q/p^2, q/p^i, q/p^(i-1) in ordinary italic","the entire q/p family is Fraktur, with source slash notation retained","The prior audit caught punctuation but missed a mathematically meaningful type-family distinction across every formula token.","Closed; retain the Fraktur family as a sentinel.","P27 native600 source; P27_confirmed_repairs_20260718.csv; output p269"
"P2","paper_closed_current_head_best_available_complete_page_source_checked","P27","101","LocalCodex 2026-07-18","one-page abstract source-critical closure","prior partial closure after leading-dash repair","complete current item with bold author marker, leading dash, and Fraktur ideal family","P27 is closed and has no known open mathematical error.","Continue to P28.","P27_full_page_audit_20260718.csv; QC ledger; rendered p269"
"P2","paper_closed_no_mathematical_notation","P28","144","LocalCodex fresh full-page audit 2026-07-18","one-page abstract source-critical closure","prior no-patch audit missed complete entry-line bold treatment","complete prose agrees with source; heading typography repaired; no equations, displays, diagrams, tables, notes, or mathematical symbol families occur","P28 is closed and is not a hard-math hotspot.","Continue to P29; reopen only on concrete contradiction.","P28_full_page_audit_20260718.csv; P28_confirmed_repairs_20260718.csv; output p270"
"P0","paper_closed_current_head_best_available_complete_page_source_checked","P29","28-35","LocalCodex fresh full-paper audit 2026-07-18","whole-paper mathematical/source-fidelity closure after R640 survival review","R640 had six repaired mathematical/layout loci but left source typography, punctuation, one extra prose word, and page-specific spelling underaudited","all six R640 repair families survive; every formula and linked mathematical family was freshly checked; eleven additional source-fidelity groups promoted; no new mathematical-symbol error found","P29 now has exactly eight canonical current-head page records and no known open mathematical error.","Continue to P31 because P30 is already closed; reopen P29 only for a concrete contradiction.","P29_full_page_audit_20260718.csv; P29_prior_R640_survival_summary_20260718.csv; P29_confirmed_repairs_20260718.csv"
"P1","closed_no_patch_guardrails","P29","29;31-34","LocalCodex high-zoom and full-page audit 2026-07-18","source-specific spelling, prose, footnote, and display traps","global Galois spelling normalization; reinserting `ist`; moving footnotes after punctuation; restoring product limits","p29 alone uses `Galois'schen`; p34 has three `Galoisschen`; no `ist` on p31; source markers precede punctuation; R640 display remains","Several plausible editorial normalizations are source-wrong and could silently reintroduce errors.","Keep the guardrail ledger attached to future cumulative heads.","P29_no_fix_traps_20260718.csv; native source pages; targeted p34 crops"
"P2","paper_closed_no_new_hard_math_error","P29","28-35","LocalCodex independent full-paper audit 2026-07-18","fresh hard-math disposition","possible residual error after old R640 hotspot pass","no additional formula, index, exponent, font-family, field/ideal, or condition error found across eight complete pages","P29's new delta is source-critical typography/prose/punctuation, not new mathematics.","Continue the unclosed-paper lane.","P29_full_page_audit_20260718.csv; rendered output pp271-274"
"P0","closed_source_backed_patch_survives_current_fullpaper_reaudit","P31","86","Noether_LocalCodex_20260718_P31_FullPaperCanonicalReaudit","index-family substitution","i_s / i_k in indexed coefficient families","i_sigma / i_lambda","The selected component and coefficient families use distinct Greek indices; roman substitutes collapse the source indexing.","Keep the Greek families; reopen only on direct source contradiction.","P31 p86 raw GDZ page; R381 confirmed fixes; current TeX"
"P0","closed_source_backed_patch_survives_current_fullpaper_reaudit","P31","88","Noether_LocalCodex_20260718_P31_FullPaperCanonicalReaudit","missing multiplication operator in ideal factorization","q_1 q_2 ... q_r","q_1 dot q_2 ... q_r","The source explicitly marks multiplication at the first factor boundary in the null-ideal product.","Retain the source dot.","P31 p88 raw GDZ page; R383-F07; current TeX"
"P0","closed_source_backed_patch_survives_current_fullpaper_reaudit","P31","89","Noether_LocalCodex_20260718_P31_FullPaperCanonicalReaudit","component identity symbol drift","gamma_i=gamma epsilon_i","gamma_i=gamma_i epsilon_i","The printed identity is counterintuitive but explicit; normalizing it changes the source statement.","Retain source wording and guard against mathematical normalization.","P31 p89 raw GDZ page; R560_FIX_001; current TeX"
"P0","closed_source_backed_patch_survives_current_fullpaper_reaudit","P31","91","Noether_LocalCodex_20260718_P31_FullPaperCanonicalReaudit","selected-component index drift","beta_i, beta_i^sigma, R_i, e_i","beta_lambda, beta_lambda^sigma, R_lambda, e_lambda","The argument selects one nonzero component lambda; replacing it by a generic i breaks the linked proof family.","Keep lambda consistently through the linked component argument.","P31 p91 raw GDZ page; R315_F001-F003; current TeX"
"P0","closed_source_backed_patch_survives_current_fullpaper_reaudit","P31","92","Noether_LocalCodex_20260718_P31_FullPaperCanonicalReaudit","barred-idempotent drift in component-ring formula","R_i[Omega^(i) barred e_i]","R_i[Omega^(i) e_i]","The footnote uses unbarred e_i at this component-ring locus; the bar changes the named element.","Retain unbarred e_i in this formula only.","P31 p92 raw GDZ page; R386-F004; current TeX"
"P0","closed_source_backed_patch_survives_current_fullpaper_reaudit","P31","98","Noether_LocalCodex_20260718_P31_FullPaperCanonicalReaudit","determinant matrix orientation/transposition","bottom row a_n^(1) ... a_n^(n) from stale R392","bottom row a_1^(n) ... a_n^(n)","Rows hold the superscript fixed and columns vary the lower index; the stale reading transposed the bottom-left entry.","Keep R560/current orientation; reject stale R392-F05.","P31 p98 raw GDZ page; R560_FIX_002; current TeX"
"P0","closed_source_backed_survival_repair_compile_render_ok","P30","55","cum_de_Local_20260718_P30EvidenceReconciled_after_P31","module-quotient multiplication and proof-chain layout survival","A(B:A) with the preceding T-congruence split and source connective omitted","A\\cdot(B:A), with source semicolon and run-in also preserving the proof chain","The multiplication dot and connective make the linked congruence argument explicit; a closure ledger had incorrectly claimed this Web repair survived when the live TeX did not.","Keep this exact hunk and test it in future cumulative survival comparisons.","Web_P30_p055_X_T_source_before_after_stack.png; diff_P31Closed_to_CURRENT_P30EvidenceReconciled.diff; output-p291.png"
"P0","closed_false_sourcepatch_superseded_current_span_survival_checked","P07","90-92","R273 direct GDZ correction; LocalCodex 2026-07-18 exact current-span reconciliation","resolvent-indeterminate family conflated with root/evaluation symbol","incorrect local patch: Phi(xi,u), xi+..., xi^h, xi^alpha throughout the main resolvent","source: Phi(z,u), z+..., z^h, z^alpha; separate source formulas use Phi(-xi_k,u)=0 and z=-xi_k","Changing the main polynomial indeterminate to xi conflates two distinct linked symbol roles and alters the displayed resolvent family. The current mixed z/xi usage is deliberate source text.","Retain z in the main resolvent and xi_k only at the source's root/evaluation loci; reject the superseded 2026-06-29 xi ledger.","P07_GDZ_p090_canvas_00000096_fullres.jpg; P07_GDZ_p092_canvas_00000098_fullres.jpg; P07_current_vs_prior_source_dispositions_20260630.csv; P07_CURRENT_SURVIVAL_SUMMARY_20260718.csv"
"P0","closed_source_backed_web_fix_integrated_current_head","P02","26","cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated","linked Latin-v versus Greek-nu variable-family drift","prose said variables y and nu while the source says y and Latin v","variables y and v; Greek nu remains only in its separate exponent/index family","A global nu-to-v replacement would corrupt nearby formulas, while leaving the prose as nu misidentifies the variable pair. The repair is deliberately local.","Retain Latin v only at this prose locus and preserve Greek nu elsewhere.","P02_p026_source_600dpi.png; Web_P02_p026_condition_a_v_source_before_after.png; WEB-EARLY-013"
"P0","closed_source_backed_web_fix_integrated_current_head","P02","27","cum_de_Local_20260718_WebEarlyP01_P02p023_027_Integrated","missing multiplication operator in linked folding identity","u_x s_tau t_sigma without the printed multiplication dot","u_x dot s_tau t_sigma","The source explicitly distinguishes multiplication in the final identity; the missing dot was a mathematical transcription loss rather than optional typography.","Retain the explicit dot and guard it in future cumulative merges.","P02_p027_source_600dpi.png; Web_P02_p027_dot_markers_source_before_after.png; WEB-EARLY-014"
"P0","closed_source_backed_fix_integrated_current_head","P04","126","Noether_LocalCodex_20260718_P04FootnoteDedup_MetadataApparatus","lost equality stroke in linked inequality condition","sigma>tau","sigma>=tau","The admissible equality case was wrongly excluded in the transcription.","Guard all German and translation branches against strict-inequality regression.","Original p126; N04-P04-R823-002; local source image SHA256 A8056877D6D6FE2E5FB4489F8A627FA953BA24B1F826A9EED09B0CB516465C74"
"P1","closed_no_patch_negative_control","P04","127","Noether_LocalCodex_20260718_P04FootnoteDedup_MetadataApparatus","tempting operator-homogenization trap","proposal to render both formula-(11) factors as pairing/matrix products","one pairing/matrix product followed by one ordinary product","The visually mixed operator structure is intentional in print.","Reject homogenizing patches.","Original p127 independently viewed 2026-07-18; shared Paper04 alert negative control"
"P0","closed_source_backed_fix_integrated_current_head","P04","129","Noether_LocalCodex_20260718_P04p129_RhoLeq_SourceApparatus","lost equality stroke in relation-count bound","rho<n","rho<=n","The transcription wrongly excluded the equality case in the count of expressions.","Guard German and every translation branch against strict-inequality regression.","Original p129 full SHA256 31308717D2E33D0336B750AC3B84BAD4143E6CB0865D2BB904E19E83B2DCC2DD; focused crop SHA256 317659687D11D91CDC414E1F57FC124EF8308DC0E8644F2231BCE8C812B6CFC4; N04-P04-R823-003"
"P1","resolved_source_error_apparatus_body_preserved","P04","129","Noether_LocalCodex_20260718_P04p129_RhoLeq_SourceApparatus","original-print omission in repeated product factor","print prose has a^(i+1)a^(rho) with no continuation dots","identity (16) controls intended a^(i+1)...a^(rho)","The print itself drops a mathematically expected continuation ellipsis.","Preserve diplomatic German; disclose any reader-translation completion.","Original p129 full SHA256 31308717D2E33D0336B750AC3B84BAD4143E6CB0865D2BB904E19E83B2DCC2DD; identity (16) and repeated prose on same page; N04-P04-PRINT-002"
"P1","closed_no_patch_negative_control","P04","130","Noether_LocalCodex_20260718_P04p129_RhoLeq_SourceApparatus","K-family inherited-target normalization trap","proposal to replace source (K-1)^{rho_{k-1}} with a duplicated K expression","(K-1)^{rho_{k-1}}","The apparently asymmetric terminal factor is source-attested.","Reject inherited-target normalization.","Original p130 full SHA256 7F9E763C75204FE6E4BF81EF5DC44C5ED30FC919327224298A41CF3DC0F04A00"
"P0","closed_source_backed_fix_integrated_current_head","P04","133","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","equation (28) collapsed source subscripts","q_rho^(sigma+1...tau) and p_(tau-sigma)^(sigma+1...tau)","q_(rho-(tau-sigma))^(sigma+1...tau) and p_(tau-(tau-sigma))^(sigma+1...tau)","R823 replaced two nontrivial source indices by different expressions; neither replacement is an identity in the stated variables.","Guard German and every translation branch against subscript normalization.","Original p133 SHA256 AEC4EC0D109FC7C6A4D03D1BF7BB8F2EEABAC3FA5C058715EB267AA75A113E38; focused crop SHA256 C81407404991697268B6DCC188412D926902938A42B1CA92E4992C7410496689; N04-P04-R823-004"
"P1","closed_no_patch_negative_control","P04","132","Noether_LocalCodex_20260718_P04p133_Eq28_SourceFix","equation (23) inherited-target subscript regression trap","inherited English q_rho^(1)","q_(rho-1)^(1)","The English lineage alone dropped the minus-one subscript; German and print are correct.","Do not import the inherited-English normalization into German or other targets.","Equation (23) in source/R823; current German TeX guard assertion"
"P0","closed_source_backed_patch_compile_render_ok","P02","60-83","Noether_LocalCodex_20260718_WebP02p058_092","coherent linked symbol-family regression","576 standalone and compound Latin-v regressions across the linked form/index family","Greek nu family, with 30 genuine Latin-v contexts retained","The wrong glyph changes the identity of a form/index family across definitions and proofs; the second Web tranche found 68 embedded cases beyond the initial 508, while the live-head merge guard preserved genuine Latin v.","Treat assigned pp58-92 as closed on this head; keep the 30-context Latin-v guard and separately audit pp23-57.","P02_symbol_family_count_verification_20260718.csv; P02_confirmed_fixes_20260718.csv; P02_no_patch_guardrails_20260718.csv"
"P0","closed_source_backed_patch_compile_render_ok","P02","91-92","Noether_LocalCodex_20260718_WebP02p058_092","table cell omission/subscript/exponent/geometry errors","missing s_j(asu), squared theta_nu, eta-for-nu, L_9, exponent 5, non-source corner labels","source-visible three-line cell, unsquared theta_nu, nu, L_vartheta, exponent 4, blank corners","The table is mathematical data; omitted terms and wrong exponents/subscripts are substantive transcription errors. After repair, every current row and populated or intentionally blank cell was reopened against source and final output.","Preserve the complete row-level cell ledger; reopen only on a concrete source contradiction.","P02_table_cell_audit_20260718.csv; P02_no_patch_guardrails_20260718.csv; table output pp41-42 at 1000 dpi"
"P1","closed_no_patch_decisive_crop","P21","68","CJK Japanese route + LocalCodex 20260718","adjacent prime-state visual ambiguity and source-identity trap","conflicting proposals to remove primes or add a numerator prime","opening f'(dx); unprimed Hessian; formula140 f(x'); delta f'; unprimed partial f numerator","Neighboring marks cannot be propagated mechanically, and a nominally high-resolution but misidentified witness can reverse the correct reading.","No German body change; retain five-locus guard and controlling crop.","P21_prime_cluster_final_disposition_20260718.csv; P21_p405_central_identity_crop.png"
"P1","closed_source_backed_negative_control","P02","65","Noether_LocalCodex_20260718_WebP02p058_092","line-break glyph ambiguity","provisional u_10 interpretation","modulo (s,varrho,t,i,J), with modulo visibly broken as mod u / lo across lines","Line breaks and adjacent Fraktur glyphs can mimic indexed symbols at crop scale; the full page resolves the word.","Retain modulo; do not resurrect u_10 without contrary original-source evidence.","P02 full p65 650 dpi; P02_no_patch_guardrails_20260718.csv"
"P0","closed_source_backed_patch_compile_render_ok","P02","80;82","Noether_LocalCodex_20260718_WebP02p058_092","matrix continuation geometry omission","two continuation stars absent in each large split matrix","two source-visible continuation stars and split-border geometry in p80 C and p82 A matrices","The stars connect upper and lower matrix blocks; omission obscures the structure of the tabulated transformation.","Keep the stars and border geometry; final output pp35-36 were visually reopened.","P02 p80/p82 source full pages and 1000 dpi strips; P02_confirmed_fixes_20260718.csv"
"P1","closed_source_backed_patch_compile_render_ok","P02","85-89","Noether_LocalCodex_20260718_WebP02p058_092","formula-group attribution and punctuation geometry","normalized dashes, lost parenthesis, flattened A8-A9/B3-B4 brace groups, omitted B5 attribution, missing formula-13 parenthesis","centered multiplication dots, parenthetical exclusion, source right braces and attribution clauses, balanced formula citation","Formula provenance is part of the mathematical argument; flattening brace groups or losing source citations obscures derivation dependencies.","Preserve the grouped source geometry and attributions; final output pp38-40 were visually reopened.","P02 pp85-89 source full pages and 1000 dpi strips; P02_confirmed_fixes_20260718.csv"
"P0","closed_source_backed_patch_compile_render_ok","P04","142","Noether_Paper04_Sections06_07_SourceRepair_20260718_COMPLETE","endpoint inequality equality-stroke loss","rho < n","rho <= n","The omitted endpoint contradicts the printed setup and the later rho=n case; it changes the mathematical domain of the expansion.","Preserve rho <= n in German and all four target bodies; assert it after every Paper 4 rebase.","printed_p142_section07_300dpi.png; N04-S07-SRCDEF-005; rendered German p58 and target p1"
"P0","closed_source_backed_patch_compile_render_ok","P04","143","Noether_Paper04_Sections06_07_SourceRepair_20260718_COMPLETE","complementary-symbol diacritic loss and dot-to-prime corruption","undotted q; undotted p; primed p; undotted p","dotted q and dotted p in all four source occurrences","Dots identify the complementary symbols; losing or replacing them collapses a source distinction inside the proof after formula (52).","Preserve all four dotted occurrences in German and all four target bodies; guard separately against undotted and primed regressions.","printed_p143_dotted_symbols_crop.png; N04-S07-SRCDEF-001 through -004; rendered German p59 and target p2"
"P0","closed_source_backed_patch_compile_render_ok","P04","150","Noether_LocalCodex_20260719_P04S08_SourceFixes_after_Compounds","dual-sequence exponent sign/range reversal","first sequence inherited as T^{rho-1},...,T^{rho-lambda+1}","first sequence T^{rho+1},...,T^{rho+lambda-1}; separate following sequence remains descending","The inherited reading reverses the direction and endpoints of the first dual sequence, erasing the source's deliberate contrast with the following descending sequence.","Preserve the ascending first sequence and descending second sequence independently after every Paper 4 rebase.","N04-S08-SRCDEF-003; physical p33 direct 800-dpi full page; focused crop SHA256 D9F7BA3723EF31D35BF158B417AE4FDEAD1EF7F657E705891C78D4482ED7DC17; rendered German p64"
"P1","closed_source_reopened_prior_claim_overturned","P08","098","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","argument-separator drift with incorrect prior certification","g(lambda;xy) in the six-index expansion","g(lambda,xy) in the six-index expansion","A prior R480/R298 row labelled the semicolon source-certain, but the enlarged original page visibly has a comma at this exact occurrence. Neighboring semicolon forms remain distinct.","Retain comma here; do not homogenize the separator family; reopen only on concrete contradictory source evidence.","p098 650dpi page; p098 1000dpi slices; enlarged Gi-block crop; P08_prior_claim_overturns_20260719.csv"
"P0","closed_source_corrected_compile_render_ok","P08","098","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","six-index exponent-family corruption","nu_1,nu_2,alpha_1,alpha_2,beta_1,beta_2","varkappa_1,varkappa_2,varkappa_3,varkappa_4,varkappa_5,varkappa_6","The inherited transcription replaced one coordinated six-index family with three unrelated-looking pairs, changing the exact monomial indexing.","Retain the six varkappa family; use it as a future regression test.","p098 1000dpi slices; enlarged Gi-block crop; output p097"
"P0","closed_source_corrected_compile_render_ok","P08","098","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","factorial-index-family corruption","nu_1!nu_2!alpha_1!alpha_2!beta_1!beta_2!","varkappa_1!varkappa_2!...varkappa_6!","The factorial weighting must use the same six source indices as the preceding monomial expansion.","Retain the six-varkappa factorial product and test together with the preceding line.","p098 1000dpi slices; enlarged Gi-block crop; output p097"
"P0","closed_source_corrected_compile_render_ok","P08","099","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","relation-operator loss","Z = sum PH (mod Delta)","Z equiv sum PH (mod Delta)","The transcription promoted a congruence modulo Delta to literal equality.","Retain the congruence sign; reopen only on concrete contradiction.","p099 source page and 1000dpi slices; output p098"
"P1","closed_source_corrected_compile_render_ok","P08","100","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","notation normalization at differential operand","h(x,y,z) as the first operand","h(xyz) as the first operand","The source intentionally uses the compact three-row form at this exact operator locus; surrounding expanded forms do not authorize normalization.","Retain h(xyz) here and audit each nearby operand independently.","p100 source page and 1000dpi slices; output p098"
"P0","closed_source_corrected_compile_render_ok","P08","100","Noether_LocalCodex_20260719_P08_FullPaperSourceAudit","omitted equation left-hand side","source note began only with the negative operator product","c*Omega(h) = negative operator product","The inherited note lost the entire quantity being evaluated, leaving only a right-hand expression with no equality.","Retain c*Omega(h)= and the following minus; use both as a joint regression test.","p100 source page and 1000dpi slices; outputs p098-p099"
"P0","closed_false_prior_claim_current_body_source_correct","P17","10","LocalCodex 2026-07-19 direct 1000 dpi archaeology reconciliation","false-prior-residue-class-symbol-guardrail","Prior R365/R431/R491 audit guard insisted on F\bara in \mbarA.","Printed source reads plain F in overline-A; current TeX plain F in \mbarA is retained.","The inherited guardrail would insert an extra residue-class factor and alter the mathematical object. The original-detail crop disproves it.","Retain plain F; treat R365/R431/R491 p10 F\bara statements as superseded.","1/02_source/P17_regression_evidence/p17_p010_exact_F_in_Abar.png SHA256 AF9F438AB0F9044D99D4F4A4B3FF7BED5216519FAC289F59EB3414513EB1878E; CO-20260719-P17-001"
"P0","closed_source_backed_patch_survives_current_span","P09","112","P09 GDZ complete-page audit; LocalCodex 2026-07-19 ledger reconciliation","polynomial degree/exponent symbol-family substitution","z^nu+a z^(nu-1)+...","z^chi+a z^(chi-1)+...","The degree and exponent family was changed to a different Greek symbol throughout the defining polynomial.","Retain chi at every occurrence in the polynomial as a future regression sentinel.","P09_GDZ_p112_canvas_00000118.jpg; P09_pp103_128_confirmed_source_fixes_20260629.csv; CO-20260719-P09-002"
"P0","closed_source_backed_patch_survives_current_span","P09","124","P09 GDZ complete-page audit; LocalCodex 2026-07-19 ledger reconciliation","congruence collapsed to equality","z = a_0+...+a_(sigma-1)(eta) mod M_sigma(eta)","z equiv a_0+...+a_(sigma-1)(eta) mod M_sigma(eta)","Literal equality is stronger than the source congruence and changes the mathematical assertion.","Retain the congruence operator and modulus together.","P09_GDZ_p124_canvas_00000130.jpg; P09_pp103_128_confirmed_source_fixes_20260629.csv; CO-20260719-P09-003"
"P0","closed_source_backed_patch_survives_current_span","P12","41","R358 P12 formula-(10) source closure; LocalCodex 2026-07-19 ledger reconciliation","unsupported exponent inserted in formula (10)","RHS varkappa^rho phi","RHS varkappa phi","The added exponent changes the factor in the formula and is not visible in the source.","Retain plain varkappa in formula (10); do not infer an exponent from neighboring notation.","P12_GDZ_orig_p041_canvas045_fullres.jpg; P12_p041_formula10_source_crop_native400_1000eq_labelled.png; CO-20260719-P12-002"
"P0","closed_source_backed_patch_survives_current_span","P16","30","R188 P16 p30 source repair; LocalCodex 2026-07-19 ledger reconciliation","function-symbol drift between prose and adjacent formula","prose: aus Phi und aus Formen aus M","prose: aus F und aus Formen aus M; adjacent formula [10] remains Phi","Replacing F by Phi conflates two deliberately distinct symbols in the explanatory sentence and its neighboring formula.","Guard the prose F and formula Phi as a paired negative-control locus.","P16_p030_F_not_Phi_source_1000dpi_labeled.png; P16_FnotPhi_survival_R188.csv; CO-20260719-P16-002"
"P1","fixed_source_confirmed_and_rendered","P04","150","Noether_LocalCodex_20260719_P04P08_LedgerReconciled","mathematical-index substitution in q-double-prime family","q''_{n-lambda-1}","q''_{n-rho-1}","The inherited index changed the complementary q-family parameter in the vanishing relation after (69); this is mathematical, not typographic styling.","Keep as a survival sentinel; reopen only on a concrete original-source contradiction.","1/02_source/P04_p144_154/crops/p150_qprime_zoom.png; 1/04_renders/final_reconciled/P04/output-064.png; Web correction P04-150-02"
"P1","resolved_source_error_apparatus_body_preserved","tail/Kapferer","767","Noether_LocalCodex_20260719_Tail_p765_777_FullPageAudit","original-print recurrence-index inconsistency","equation (3) first rows end xK_1 and xK_2","the print unambiguously has xK_1 and xK_2; the general row has xK_(r+1) and prose describes K_2/K_3 progression","The source itself is internally inconsistent; silently changing the diplomatic German would conceal an original-print problem.","Preserve source-literal German; reader translations may use shifted K_2/K_3 only with explicit apparatus.","collected_p767_eq3_650dpi_2x.png; SE-20260719-TAIL-KAPFERER-001"
"P1","resolved_source_error_apparatus_body_preserved","tail/Kapferer","771","Noether_LocalCodex_20260719_Tail_p765_777_FullPageAudit","probable original-print missing recurrence subscript","second identity contains f(0,y)","print visibly has f(0,y), while the surrounding indexed recurrence strongly controls f_i(0,y)","The German body is source-faithful but likely mathematically underindexed at this one factor.","Preserve source-literal German; any reader emendation to f_i must be disclosed.","collected_p771_f_i_identity_650dpi_2x.png; SE-20260719-TAIL-KAPFERER-002"
"P1","closed_exact_1300dpi_source_glyph_supersedes_prior_claims","tail/Schur","763","Noether_LocalCodex_20260719_Tail_p747_777_FullPageAudit","relation-glyph misidentification under insufficient visual detail and contradictory audit records","competing prior claims promoted sim and simeq","P^*/N\mathfrak Z^* \cong \mathfrak G","The source glyph is a tilde above two horizontal bars, so congruence is exact. Earlier sim and simeq rows are superseded.","Retain \cong as a source sentinel; reopen only on a genuinely better original witness.","02_source/tail_p747_764/dense_crops_1300dpi/p763_full_1300dpi.png; p763_relation_1300dpi_v2.png; p763_relation_glyph_1300dpi.png; changed output p456"
"P1","fixed_source_confirmed_compiled_rendered","tail/Noether lecture","712","Noether_LocalCodex_20260719_Tail_p711_777_FullPageAudit","blackletter symbol-family substitution in section title","Normaldarstellung von mathfrak R_r","Normaldarstellung von mathfrak K_r","The title named the wrong indexed algebra/body family.","Retain K_r as a regression sentinel.","tail_p711_746/dense_crops_1300dpi/p712_toc_chapterV_1300dpi.png; TAIL-20260719-F005"
"P0","fixed_source_confirmed_compiled_rendered","tail/Noether lecture","714","Noether_LocalCodex_20260719_Tail_p711_777_FullPageAudit","reciprocal-homomorphism arrow changed to ordinary mapping arrow","mathfrak o mapsto mathfrak D*","mathfrak o nrightarrow mathfrak D*","The source marks a slashed relation; ordinary mapsto changes the asserted relation.","Retain the slashed arrow.","tail_p711_746/dense_crops_1300dpi/p714_reciprocal_arrow_1300dpi.png; TAIL-20260719-F007"
"P0","fixed_source_confirmed_compiled_rendered","tail/Noether lecture","722","Noether_LocalCodex_20260719_Tail_p711_777_FullPageAudit","field-summand symbol-family drift","mathfrak R_i family","mathfrak K_i family","The proof referred to the wrong blackletter family throughout the field-summand block.","Retain K_i at all linked occurrences.","tail_p711_746/dense_crops_1300dpi/p722_proof_field_symbols_1300dpi.png; TAIL-20260719-F015"
"P0","fixed_source_confirmed_compiled_rendered","tail/Noether lecture","722","Noether_LocalCodex_20260719_Tail_p711_777_FullPageAudit","omitted continuation rows in paired inverse matrices","two continuation-dot rows in each matrix","three continuation-dot rows in each matrix","Both linked matrices lost a source continuation row.","Retain all three continuation rows in both matrices.","tail_p711_746/dense_crops_1300dpi/p722_inverse_matrices_1300dpi.png; TAIL-20260719-F016"
"P0","fixed_source_confirmed_compiled_rendered","tail/Noether lecture","723","Noether_LocalCodex_20260719_Tail_p711_777_FullPageAudit","congruence collapsed to equality","h = 0 (p)","h congruent 0 (p)","Equality is stronger than the source modular condition.","Retain congruence with modulus p.","tail_p711_746/dense_crops_1300dpi/p723_h_congruence_1300dpi.png; TAIL-20260719-F018"
"P0","fixed_source_confirmed_compiled_rendered","tail/Noether lecture","724-725","Noether_LocalCodex_20260719_Tail_p711_777_FullPageAudit","noncongruence relations normalized to ordinary inequality","h != 0(p), h_i != 0(p)","h not-congruent 0(p), h_i not-congruent 0(p)","Ordinary inequality loses the modular relation at four linked loci.","Retain noncongruence and preserve genuinely ordinary neighboring equalities.","tail_p711_746/dense_crops_1300dpi/p724_congruence_family_1300dpi.png; TAIL-20260719-F020; F022"
"P0","fixed_source_confirmed_compiled_rendered","tail/Noether lecture","743","Noether_LocalCodex_20260719_Tail_p711_777_FullPageAudit","extension-field subscript omitted","mathfrak l_i = mathfrak K_r e_i","mathfrak l_i = mathfrak K_(r Gamma) e_i","Dropping Gamma changes the scalar-extension field in the ideal definition.","Retain the Gamma extension subscript.","tail_p711_746/full_pages_650dpi/tail-33.png; TAIL-20260719-F044"
"P0","fixed_source_confirmed_compiled_rendered","P04","144","Noether_LocalCodex_20260719_Tail_p711_777_FullPageAudit","running index family frozen at terminal rho","replace p_rho by xi^(1),...,xi^(rho)","replace p_sigma by xi^(1),...,xi^(sigma)","The procedure operates on the current sigma row; retaining rho changes the indexed family.","Retain p_sigma/xi^(sigma) as a source sentinel.","P04_p144_154_deep_followup/full_pages/P04_p144_source_600dpi.jpg; P04F-144-02"
"P0","fixed_source_confirmed_compiled_rendered","P02","28","Noether_LocalCodex_20260719_P02p028_034_WebP04p118_143_Integrated","omitted schema continuation and terminal row","four effective continuation columns; terminal row absent","matching continuation stars, fifth continuation column, and terminal t_sigma^2(sigma tau x)^nu row","The printed schema encodes an additional indexed continuation family and its terminal member.","Retain the complete five-column continuation geometry and final row.","P02 p28 full page plus three enlarged strips; LC-P02-028-001"
"P0","fixed_source_confirmed_compiled_rendered","P02","29","Noether_LocalCodex_20260719_P02p028_034_WebP04p118_143_Integrated","lost prime on coefficient family","C_{pr varrho}","C'_{pr varrho}","The unprimed and primed coefficient families are distinct.","Retain the prime in the source footnote.","P02 p29 strip 3; LC-P02-029-002"
"P0","fixed_source_confirmed_compiled_rendered","P02","33","Noether_LocalCodex_20260719_P02p028_034_WebP04p118_143_Integrated","wrong exponent in invariant factor","a_eta^4","a_eta^3","The exponent changes the degree of the displayed invariant factor.","Retain exponent 3 as a regression sentinel.","P02 p33 strip 3; LC-P02-033-001"
"P0","fixed_source_confirmed_compiled_rendered","P04","142","Noether_LocalCodex_20260719_P02p028_034_WebP04p118_143_Integrated","identity relation normalized to equality","f = ...","f congruent/identical to ...","The source defines an identity family, not merely one equality.","Retain the source identity operator before formula (48).","P04 p142 source page; W04-P04-015"
"P0","fixed_source_confirmed_compiled_rendered","P04","142","Noether_LocalCodex_20260719_P02p028_034_WebP04p118_143_Integrated","formula (48) equality changed to multiplication","second expression joined by a multiplication dot","second expression begins with an equality sign","The source gives two equal alternative expressions; multiplication changes the formula structure.","Retain the two-line equality structure.","P04 p142 source page; W04-P04-016"
