priority,status,paper,printed_page_or_band,last_seen_or_fixed_in,error_class,old_or_bad_reading,source_backed_reading,what_this_means,next_action,evidence
P0,closed_source_backed_patch_survives_current_fullpaper_reaudit,P31,86,Noether_LocalIntegration_20260718_P31_FullPaperCanonicalReaudit,index-family substitution,i_s / i_k in indexed coefficient families,i_sigma / i_lambda,The selected component and coefficient families use distinct Greek indices; roman substitutes collapse the source indexing.,Keep the Greek families; reopen only on direct source contradiction.,P31 p86 raw GDZ page; R381 confirmed fixes; current TeX
P0,closed_source_backed_patch_survives_current_fullpaper_reaudit,P31,88,Noether_LocalIntegration_20260718_P31_FullPaperCanonicalReaudit,missing multiplication operator in ideal factorization,q_1 q_2 ... q_r,q_1 dot q_2 ... q_r,The source explicitly marks multiplication at the first factor boundary in the null-ideal product.,Retain the source dot.,P31 p88 raw GDZ page; R383-F07; current TeX
P0,closed_source_backed_patch_survives_current_fullpaper_reaudit,P31,89,Noether_LocalIntegration_20260718_P31_FullPaperCanonicalReaudit,component identity symbol drift,gamma_i=gamma epsilon_i,gamma_i=gamma_i epsilon_i,The printed identity is counterintuitive but explicit; normalizing it changes the source statement.,Retain source wording and guard against mathematical normalization.,P31 p89 raw GDZ page; R560_FIX_001; current TeX
P0,closed_source_backed_patch_survives_current_fullpaper_reaudit,P31,91,Noether_LocalIntegration_20260718_P31_FullPaperCanonicalReaudit,selected-component index drift,"beta_i, beta_i^sigma, R_i, e_i","beta_lambda, beta_lambda^sigma, R_lambda, e_lambda",The argument selects one nonzero component lambda; replacing it by a generic i breaks the linked proof family.,Keep lambda consistently through the linked component argument.,P31 p91 raw GDZ page; R315_F001-F003; current TeX
P0,closed_source_backed_patch_survives_current_fullpaper_reaudit,P31,92,Noether_LocalIntegration_20260718_P31_FullPaperCanonicalReaudit,barred-idempotent drift in component-ring formula,R_i[Omega^(i) barred e_i],R_i[Omega^(i) e_i],The footnote uses unbarred e_i at this component-ring locus; the bar changes the named element.,Retain unbarred e_i in this formula only.,P31 p92 raw GDZ page; R386-F004; current TeX
P0,closed_source_backed_patch_survives_current_fullpaper_reaudit,P31,98,Noether_LocalIntegration_20260718_P31_FullPaperCanonicalReaudit,determinant matrix orientation/transposition,bottom row a_n^(1) ... a_n^(n) from stale R392,bottom row a_1^(n) ... a_n^(n),Rows hold the superscript fixed and columns vary the lower index; the stale reading transposed the bottom-left entry.,Keep R560/current orientation; reject stale R392-F05.,P31 p98 raw GDZ page; R560_FIX_002; current TeX
P0,closed_source_backed_survival_repair_compile_render_ok,P30,55,cum_de_Local_20260718_P30EvidenceReconciled_after_P31,module-quotient multiplication and proof-chain layout survival,A(B:A) with the preceding T-congruence split and source connective omitted,"A\\cdot(B:A), with source semicolon and run-in also preserving the proof chain",The multiplication dot and connective make the linked congruence argument explicit; a closure ledger had incorrectly claimed this Web repair survived when the live TeX did not.,Keep this exact hunk and test it in future cumulative survival comparisons.,Web_P30_p055_X_T_source_before_after_stack.png; diff_P31Closed_to_CURRENT_P30EvidenceReconciled.diff; output-p291.png
P0,closed_source_backed_patch_compile_render_ok,P02,60-83,Noether_LocalIntegration_20260718_WebP02p058_092,coherent linked symbol-family regression,576 standalone and compound Latin-v regressions across the linked form/index family,"Greek nu family, with 30 genuine Latin-v contexts retained","The wrong glyph changes the identity of a form/index family across definitions and proofs; the second Web tranche found 68 embedded cases beyond the initial 508, while the live-head merge guard preserved genuine Latin v.",Treat assigned pp58-92 as closed on this head; keep the 30-context Latin-v guard and separately audit pp23-57.,P02_symbol_family_count_verification_20260718.csv; P02_confirmed_fixes_20260718.csv; P02_no_patch_guardrails_20260718.csv
P0,closed_source_backed_patch_compile_render_ok,P02,91-92,Noether_LocalIntegration_20260718_WebP02p058_092,table cell omission/subscript/exponent/geometry errors,"missing s_j(asu), squared theta_nu, eta-for-nu, L_9, exponent 5, non-source corner labels","source-visible three-line cell, unsquared theta_nu, nu, L_vartheta, exponent 4, blank corners","The table is mathematical data; omitted terms and wrong exponents/subscripts are substantive transcription errors. After repair, every current row and populated or intentionally blank cell was reopened against source and final output.",Preserve the complete row-level cell ledger; reopen only on a concrete source contradiction.,P02_table_cell_audit_20260718.csv; P02_no_patch_guardrails_20260718.csv; table output pp41-42 at 1000 dpi
P1,closed_no_patch_decisive_crop,P21,68,CJK Japanese route + local integration lane 20260718,adjacent prime-state visual ambiguity and source-identity trap,conflicting proposals to remove primes or add a numerator prime,opening f'(dx); unprimed Hessian; formula140 f(x'); delta f'; unprimed partial f numerator,"Neighboring marks cannot be propagated mechanically, and a nominally high-resolution but misidentified witness can reverse the correct reading.",No German body change; retain five-locus guard and controlling crop.,P21_prime_cluster_final_disposition_20260718.csv; P21_p405_central_identity_crop.png
P1,closed_source_backed_negative_control,P02,65,Noether_LocalIntegration_20260718_WebP02p058_092,line-break glyph ambiguity,provisional u_10 interpretation,"modulo (s,varrho,t,i,J), with modulo visibly broken as mod u / lo across lines",Line breaks and adjacent Fraktur glyphs can mimic indexed symbols at crop scale; the full page resolves the word.,Retain modulo; do not resurrect u_10 without contrary original-source evidence.,P02 full p65 650 dpi; P02_no_patch_guardrails_20260718.csv
P0,closed_source_backed_patch_compile_render_ok,P02,80;82,Noether_LocalIntegration_20260718_WebP02p058_092,matrix continuation geometry omission,two continuation stars absent in each large split matrix,two source-visible continuation stars and split-border geometry in p80 C and p82 A matrices,The stars connect upper and lower matrix blocks; omission obscures the structure of the tabulated transformation.,Keep the stars and border geometry; final output pp35-36 were visually reopened.,P02 p80/p82 source full pages and 1000 dpi strips; P02_confirmed_fixes_20260718.csv
P1,closed_source_backed_patch_compile_render_ok,P02,85-89,Noether_LocalIntegration_20260718_WebP02p058_092,formula-group attribution and punctuation geometry,"normalized dashes, lost parenthesis, flattened A8-A9/B3-B4 brace groups, omitted B5 attribution, missing formula-13 parenthesis","centered multiplication dots, parenthetical exclusion, source right braces and attribution clauses, balanced formula citation",Formula provenance is part of the mathematical argument; flattening brace groups or losing source citations obscures derivation dependencies.,Preserve the grouped source geometry and attributions; final output pp38-40 were visually reopened.,P02 pp85-89 source full pages and 1000 dpi strips; P02_confirmed_fixes_20260718.csv
P0,closed_source_backed_patch_compile_render_ok,P04,142,Noether_Paper04_Sections06_07_SourceRepair_20260718_COMPLETE,endpoint inequality equality-stroke loss,rho < n,rho <= n,The omitted endpoint contradicts the printed setup and the later rho=n case; it changes the mathematical domain of the expansion.,Preserve rho <= n in German and all four target bodies; assert it after every Paper 4 rebase.,printed_p142_section07_300dpi.png; N04-S07-SRCDEF-005; rendered German p58 and target p1
P0,closed_source_backed_patch_compile_render_ok,P04,143,Noether_Paper04_Sections06_07_SourceRepair_20260718_COMPLETE,complementary-symbol diacritic loss and dot-to-prime corruption,undotted q; undotted p; primed p; undotted p,dotted q and dotted p in all four source occurrences,Dots identify the complementary symbols; losing or replacing them collapses a source distinction inside the proof after formula (52).,Preserve all four dotted occurrences in German and all four target bodies; guard separately against undotted and primed regressions.,printed_p143_dotted_symbols_crop.png; N04-S07-SRCDEF-001 through -004; rendered German p59 and target p2
