source_term,target_term,sense,status,source_evidence,source_excerpt,german_source_evidence,decision_note
Restklasse,clase residual,residue class,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:8124; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"Un cuerpo de números algebraicos se define como un cuerpo de grado \(n\) sobre el cuerpo \(R\) de los números racionales; un cuerpo de funciones algebraicas de una variable, como un cuerpo de grado \(n\) sobre el cuerpo \(K(z)\) de todas la",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:7600; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=(Charakteristik 0) oder vom Typus des Restklassensystems einer Primzahl $p$,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Elementarteiler,divisor elemental,elementary divisor,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:11808; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"Por \emph{rango de $\Amod$} entendemos, como de costumbre, el número máximo de formas lineales linealmente independientes de $\Amod$; por el $\lambda$-ésimo \emph{divisor determinantal} $d_\lambda$ de $\Amod$, el máximo común divisor de tod",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:11242; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\noindent\hangindent=3.0em\hangafter=1 \S~12. \textbf{Beispiel aus der Elementarteilertheorie.}\par,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
zweiseitig,bilateral,two-sided ideal or ring simplicity,source-supported,github_alexey-beshenov_notas-san-salvador:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_alexey-beshenov_notas-san-salvador\algebra-2018\11-anillos-ejercicios.tex:422; sha256=8A7E3E7564D19D1A08ADD4D99C545047600D129F05D2B4BB70C7BCD37D027650,"bilateral) la intersección $I\cap S$ es un ideal en $S$ (izquierdo, derecho,","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:10215; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Diese beiden Arten bezeichnen wir mit gemeinsamen Namen als \emph{einseitige Moduln}; Moduln, die sowohl rechtsseitig wie linksseitig sind, sollen als \emph{zweiseitig} bezeichnet ",Native Spanish register witness; R823 context controls the mathematical sense.
einseitig,unilateral,one-sided ideal,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:9319; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"se deduce $F_1+G_1\equiv F_2+G_2(\mM)$, la suma de dos clases residuales $\mx$ y $\my$ está definida y es de nuevo una clase residual $\mx+\my$. En cambio, como el módulo es unilateral, no se puede hablar del producto de dos clases residual",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:10081; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\S~3. & Einseitige Moduln und ihre Restgruppen.\\,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
rechts,derecho,right-sided algebraic object,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:79; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,por la derecha) finitamente generado sobre $R$. El \emph{n\'{u}mero,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:442; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\item um eine Kolonne nach rechts, alle durch Faltung I aus den nebenstehenden Formen entstehenden Formen,",Native Spanish register witness; R823 context controls the mathematical sense.
links,izquierdo,left-sided algebraic object,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:78; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,Sea $R$ un anillo noetheriano y $M$ un m\'{o}dulo (por la izquierda o,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:10213; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=2. Der \emph{linksseitige Modul}, der neben $M$ auch $MF$ und neben $M_1$ und $M_2$ auch $M_1+M_2$ enthält.",Native Spanish register witness; R823 context controls the mathematical sense.
Nullteiler,divisor de cero,zero divisor,source-supported,github_NunoSempere_Apuntes:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_NunoSempere_Apuntes\Algebra Conmutativa\tex\1_AnillosI.tex:139; sha256=48BA7D1F12E9F12A4B1ACC034B78836EA4C073F3E6B2F503D4A9A5AB686EBD21,\begin{defn}[Divisor de cero],"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:13749; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=und es muß mindestens ein $\bar a_j(y)$ und ein $\bar b_j(y)$ nicht durch $\bar{\frakp}$ teilbar sein. Seien etwa $\bar a_r(y)\not\equiv0(\bar{\frakp})$, $\bar b_s(y)\not\equiv0(\b",Native Spanish register witness; R823 context controls the mathematical sense.
Einheit / Identität,unidad / identidad,unit element versus identity map,source-supported,github_alexey-beshenov_notas-san-salvador:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_alexey-beshenov_notas-san-salvador\algebra-2018\11-anillos.tex:1474; sha256=0B78196FB162C9231C89BA34216CCB03E6F42AB09D977734B6612F7612F64737,\item[2)] La aplicación identidad $\idid\colon R\to R$ induce la aplicación,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:589; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Beweis: Nach dem Identitätssatz, bzw. Produktsatz für Matrizen, folgt unter Berücksichtigung von (a):",Native Spanish register witness; R823 context controls the mathematical sense.
Differente,diferente,different ideal in algebraic number theory,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:17101; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,Se muestra cómo la diferente de un cuerpo algebraico de números puede concebirse como el \emph{cociente diferencial} de un \emph{ideal} definitorio. Que esta definición coincide con la usual se deduce de teoremas estructurales interesantes ,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:9162; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Weitergehend läßt sich gemeinsam der Begriff des komplementären Moduls (Hensel Nr. 12) und daraus das Verzweigungsideal (Grundideal, Differente) \(\frD\) definieren (dessen Norm di",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Differenzenideal,ideal de diferencias,Noether difference ideal,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\paper43_es_intro_s2.tex:18; sha256=14022D9923F35AB4A29A5BC1464CE2DDC91DB2E4E0C298D9F16FA56FBF97D389,"En efecto, debido a que $f(\omega)=0$, considérese el ideal $\mathfrak M$ como formado por todas las diferencias $f(x)-f(\omega)$; fórmese además el ideal de diferencias $\mathfrak B=(x_1-\omega_1,\ldots,x_n-\omega_n)$ y el cociente de dife","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:19150; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Gewisse Schlußweisen der ersten Vorlesung --- Methode der Durchschnittsbildung von Differenzenidealen --- haben, obwohl komplizierter, den Vorteil, sich auf Systeme von unendlichem",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Differenzenquotient,cociente de diferencias,Noether difference quotient,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\paper43_es_intro_s2.tex:16; sha256=14022D9923F35AB4A29A5BC1464CE2DDC91DB2E4E0C298D9F16FA56FBF97D389,Mostraré en lo que sigue que aquí se trata de algo más que de una analogía formal. \emph{La diferente puede concebirse como el cociente diferencial de un ideal definidor del cuerpo de números $K$ en un anillo de polinomios enteros asociado ,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:20172; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Ich zeige im folgenden, daß es sich hier um mehr als eine formale Analogie handelt. \emph{Die Differente läßt sich auffassen als Differentialquotient eines definierenden Ideals des",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Differentialquotient,cociente diferencial,derivative or differential quotient,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:7779; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"aparece efectivamente para \(\sigma>1\), entonces no puede escribirse como el cociente diferencial de una única función, ni como producto de potencias de tal cociente. Así, el número de funciones arbitrarias ha aumentado contra la hipótesis","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:4110; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Bemerkt sei weiter, da\ss\ Satz VI auch noch gilt f\""ur Formen, die den Bedingungen (12.) nicht gen\""ugen. Es l\""a\ss t sich n\""amlich jeder Faktor von (3.): $\pair{S^\rho}{p_\rho}",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Komplementärmodul,módulo complementario,complementary module defining the different,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:8157; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"Si se continúa, el concepto de módulo complementario (Hensel núm. 12), y a partir de él el ideal de ramificación (ideal fundamental, diferente) \(\frD\), puede definirse conjuntamente (su norma se convierte en el discriminante del cuerpo \(",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:19930; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=In dem einfachsten Fall der zerfallenden verschränkten Produkte\srcfn{(1)}{Die Theorie der verschränkten Produkte ist im Anschluss an eine Vorlesung von mir wiedergegeben in Abschn,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Hauptordnung,orden principal,historical maximal order; glossed once as anillo de enteros / orden maximal,source-supported,2207.10005v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2207.10005v1\2207.10005v1.tex:193; sha256=874C851E9FC4CBFB0326713C29C735F1BD0339A43780EA8A54F2766E13FA5611,\begin{abstract} Es sabido que se obtendría una solución negativa al décimo problema de Hilbert para el anillo de enteros $O_F$ de un campo de números $F$ si $\mathbb{Z}$ fuera diofantino en $O_F$. Denef y Lipshitz conjeturaron que esto últ,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:15589; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Da es für die Hauptordnung --- das System aller ganzen Zahlen des Körpers --- keine weiteren Primärideale gibt als Potenzen von Primidealen, so ergibt sich durch Spezialisierung de",Native Spanish register witness; R823 context controls the mathematical sense.
Ordnung,orden,order in a number field or algebra,source-supported,1312.6798v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\1312.6798v1\uqc.tex:182; sha256=0C26CC9B4DA307FB85A3EB40559693F7CB3CF694894D8E83644F527FDFB7AD7B,Diremos que una relaci\'{o}n de orden total $\preceq$ en $\BbbN^n$ es,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:393; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Bei Herrn Maisano sind für die allgemeine biquadratische Form die Formen bis zur 5. Ordnung\footnote{Unter \glqq{}Ordnung\grqq{} soll die Dimension in den Koeffizienten, unter \glq",Native Spanish register witness; R823 context controls the mathematical sense.
ganz-abgeschlossen,íntegramente cerrado,integrally closed,source-supported,github_NunoSempere_Apuntes:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_NunoSempere_Apuntes\Algebra Conmutativa\tex\AlgebraConmutativa_Ejs.tex:2164; sha256=2CCFDBA96D8ABFB26BC33C42B593921EC110AEE71A2A8DB79E58211E8CF11968,\begin{problem}[1] Sea $A$ un dominio de factorización única y sea $K(A)$ su cuerpo de fracciones. Demuestra que $A$ es íntegramente cerrado\footnote{Un dominio de integridad $A$ es íntegramente cerrado si clausura entera en $K(A)$ es $A$.},"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:6711; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Ein Bereich $\mathfrak T$ heißt \emph{algebraisch-ganz abgeschlossen}, wenn er",Native Spanish register witness; R823 context controls the mathematical sense.
direktes Produkt,producto directo,Noether direct product / scalar-extension construction,source-supported,github_alexey-beshenov_cimat-tna:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_alexey-beshenov_cimat-tna\6-zeta.tex:1645; sha256=9B98B4CC0348BC55A79839974576CA35F06297E210566A82F473CE474A6E2256,"que $p \nmid f_\chi$. Entonces, $L$ corresponde al producto directo",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:16097; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Zur Charakterisierung der allgemeinen Zerfällungskörper bezeichne $\mA_r$ das direkte Produkt von $\mA$ mit dem Matrizenring vom Grade $r^2$ in bezug auf $P$ (System aller $r$-reih,Native Spanish register witness; R823 context controls the mathematical sense.
direkte Summe,suma directa,direct-sum decomposition,source-supported,2209.02110v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2209.02110v1\2209_unpacked\monoides.tex:235; sha256=DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,Colimites arbitrarios de monoides también existen. Las sumas directas son construidas fácilmente: la suma directa $\oplus_{i\in I} M_{i}$ de una familia $\{M_{i}\}_{i\in I}$ de monoides es el submonoide del producto $\prod_{i}M_{i}$ que con,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:14209; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die Frobeniussche Theorie der Gruppencharaktere -- also der Darstellung endlicher Gruppen -- wird aufgefaßt als Idealtheorie eines vollständig reduzibeln Ringes, des Gruppenringes.",Native Spanish register witness; R823 context controls the mathematical sense.
Faktorensystem,sistema de factores,factor system / cocycle data,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:17351; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"La tercera reducción, que luego, como reconoció H. Hasse en posesión de las dos primeras reducciones, conduce a la demostración definitiva, fue dada por E. Noether, motivada por una comunicación de H. Hasse. En ésta se demostraba el teorema",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:16085; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Im folgenden soll die Frage der Zerfällungskörper weiter verfolgt werden. \srcspaced{Die Zerfällungskörper kleinsten Grades lassen sich charakterisieren durch zugeordnete nichtkomm,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
verschränktes Produkt,producto cruzado,crossed product algebra,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:17508; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"Antes de entrar en los detalles, quiero dar una visión general de los distintos métodos y de los resultados ulteriores. Ante todo hay que observar que la dificultad principal está en obtener la formulación para cuerpos galoisianos generales","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:19064; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\(A\) heisst das verschränkte Produkt von \(K\) mit \(\Gg\) bei Faktorensystem \(a_{S,T}\); man beweist, dass \(A\) eine einfache normale Algebra über \(k\) wird, also ein Matrizen",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Modulbasis,base como módulo,basis of an object as a module; avoid the calque base modular,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:9532; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,"Basta probar la afirmación sólo para módulos. Pues si $\mS$ es cualquier sistema de polinomios, formamos el módulo $\mM$ derivado de él añadiendo a $\mS$ todos los polinomios que pueden componerse a partir de un número finito de polinomios ",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:4560; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Von Basisfragen bei allgemeinen Systemen ist bis jetzt nur die durch das Hilbertsche Theorem (Math. Ann. 36) gewährleistete Existenz der Modulbasis bekannt. Im folgenden wird die F,Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Polynombereich,anillo de polinomios,polynomial ring; not dominio polinómico,source-supported,2307.03598v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2307.03598v1\Paper_D-modulos_CNMXXII.tex:180; sha256=7CB92E7F60B1657B88128CDAF1166DC71BC39C2919F392981DF454661E28FF20,"En general, podemos considerar un sistema $$ \sum_{j=1}^q P_{ij}(f_j) = 0 $$ con $i=1, \ldots p$ y $P_{ij}$ operadores diferenciales. Este sistema lo podemos escribir de manera matricial como $[P_{ij}][f_j]^T=0$. Para solucionar este sistem",C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:10080; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=\S~2. & Der allgemeine Polynombereich.\\,Native Spanish register witness; R823 context controls the mathematical sense.
Primfunktion,polinomio irreducible,irreducible polynomial; not the calque función prima,source-supported,github_NunoSempere_Apuntes:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\github_NunoSempere_Apuntes\Algebra Conmutativa\tex\1_AnillosI.tex:1344; sha256=48BA7D1F12E9F12A4B1ACC034B78836EA4C073F3E6B2F503D4A9A5AB686EBD21,"Pero, ¿cómo describimos todos los ideales primos que contienen a $I = \gen{xy, x^2}$? Como hemos visto que todo primo $p ⊃ I$ necesariamente ha de contener a $\gen{x}$, sólo tenemos que buscar los ideales primos en $ℚ[x,y]$ que contengan a ","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:13646; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die Frage der \emph{Nullstellen} wird bei H.-N. wie üblich für das gegebene Ideal direkt in Angriff genommen, und zwar durch Zurückgehen auf sukzessive Elimination, wobei der Chara",Native Spanish register witness; R823 context controls the mathematical sense.
Primärfunktion,potencia de un polinomio irreducible,primary polynomial in Noether's historical terminology,reviewed,R823_ES:C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\work\spanish\cum_es.tex:12840; sha256=7B9097D657B6A39F9304197FA65A9A16BD5EAEAE190340EE735CD867EA8A7861,\textbf{7. Descomposición de las normas individuales y de los divisores elementales; componentes de los ideales fundamentales.} Aquí ``polinomio irreducible'' significa irreducible respecto de $P(u)$; una potencia primaria es una potencia d,"C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:13646; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=Die Frage der \emph{Nullstellen} wird bei H.-N. wie üblich für das gegebene Ideal direkt in Angriff genommen, und zwar durch Zurückgehen auf sukzessive Elimination, wobei der Chara",Specialist/historical term reviewed directly in the R823 bilingual production text; no native-corpus hit claimed.
Basiselement,generador,generator of a principal ideal,source-supported,2209.02110v1:C:\Users\Floris\Downloads\codex backup dump 7-4\$germanOut\sources\non_slavic_reference_corpus\20260628_french_spanish_native_math_register\tex_corpus_expanded_validated_20260628\spanish\2209.02110v1\2209_unpacked\monoides.tex:224; sha256=DCDCE1163036490CC4228AFE92E66A58C143843B8525FC22B5E8E58B4242F73D,"De modo que $\theta$ es único. Por tanto, $\bb{N}$ es un monoide libre con conjunto generador $\{1\}$. De manera más general, si S es un conjunto, el conjunto $\bb{N}^{(S)}$ de funciones $I:S \to \bb{N}$ tales que $I(s)=0$ para todos los $s","C:\Users\Floris\Documents\interlanguage\03_projects\noether\03_translation_workspaces\romance_rebase_20260717\authority_r823\pkg_r823\Noether_R823_WebB_R822_P20p27_31_RunInDashRefine_20260717\1\01_cumulative\Noether_R823_cum_de.tex:7042; sha256=EE8955BCF7A263917BE57DBC8F682601550CDCB5260D02CA6D486C6A6DFD4F21; excerpt=$\eta,\frac1{2\sqrt{\eta}}$ nicht als Basiselemente zulässig sind, wohl aber die",Native Spanish register witness; R823 context controls the mathematical sense.
