physical_page	printed_page	archive_path	finding	disposition
13-18	284-289	paper20_direct_path_witnesses/024_T00151_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/025_T00344_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/026_T00345_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/027_T00346_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/028_T00347_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/029_T00348_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/030_T00349_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/031_T00350_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/032_T00351_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/033_T00352_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/034_T00353_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/035_T00354_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/036_T00355_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/037_T00356_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/038_T00357_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/039_T00358_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/040_T00359_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/041_source_tex_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
13-18	284-289	paper20_direct_path_witnesses/042_source_tex_cleaned_001_029_Paper_20.tex	Byte-identical Paper_20.tex witness (shared SHA-256 72AA…981C), consulted only after the P03 French records were frozen. It tracks much of the prose but materially rewrites the mathematics: it drops the printed “(β∈Z)” qualification in (3.2)(i); replaces the authority coinvariant statement in (3.7) by invariant language plus added prose; changes H_c^2(U,⊗^(2k)ℱ)≅Q_ℓ(−kβ−1)^N to H_c^(2k) with a different twist; changes H_c^0=0 to H_c^1=0; replaces the printed H^1 numerator and pole q^(kβ+1) by a different determinant and q^(kβ); changes 1/α^(2k/deg(x)) to 1/α^(2k·deg(x)) and reverses the resulting inequalities; alters the bounds and convergence exponents in (3.8)-(3.9); changes the cohomology segment after j_!ℱ→j_*ℱ; gives the wrong Tδ entries for n mod 4; changes Tr(x∪δ) in (4.3.3) and adds a nonprinted arrow label; prints ε:I→{+1} instead of {±1}; changes dim P≥1 to >1; and replaces the authority projection diagram (5.1.1) by a different square through Spec(C).	REJECT_AUTOMATIC_ACCEPTANCE; post-freeze locator/divergence witness only
14	285	comparators/21_COMPARATOR_DELIGNE_D020_IAS_NUMBER23_35PP.pdf#page=13	IAS comparator page 13 was rendered and visually inspected against authority physical page 14. Text, displays, running matter, and page sequence align at comparison resolution. No comparator-only reading was promoted, and the higher-priority NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
14	285	comparators/22_COMPARATOR_DELIGNE_D020_COLLECTED_SPLIT_35PP.pdf#page=13	collected-split comparator page 13 was rendered and visually inspected against authority physical page 14. Text, displays, running matter, and page sequence align at comparison resolution. No comparator-only reading was promoted, and the higher-priority NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
14	285	diagram_archive_branch_1/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p013_diag01.png	Diagram-aid witness for article index 13 / authority physical page 14. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
14	285	diagram_archive_branch_2/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p013_diag01.png	Diagram-aid witness for article index 13 / authority physical page 14. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
14	285	diagram_directory_branch_1/Images/D020_La_conjecture_de_Weil_I/D020_p013_diag01.png	Diagram-aid witness for article index 13 / authority physical page 14. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
14	285	diagram_directory_branch_2/Images/D020_La_conjecture_de_Weil_I/D020_p013_diag01.png	Diagram-aid witness for article index 13 / authority physical page 14. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
15	286	comparators/21_COMPARATOR_DELIGNE_D020_IAS_NUMBER23_35PP.pdf#page=14	IAS comparator page 14 was rendered and visually inspected against authority physical page 15. Text, displays, running matter, and page sequence align at comparison resolution. No comparator-only reading was promoted, and the higher-priority NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
15	286	comparators/22_COMPARATOR_DELIGNE_D020_COLLECTED_SPLIT_35PP.pdf#page=14	collected-split comparator page 14 was rendered and visually inspected against authority physical page 15. Text, displays, running matter, and page sequence align at comparison resolution. No comparator-only reading was promoted, and the higher-priority NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
15	286	diagram_archive_branch_1/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p014_diag01.png	Diagram-aid witness for article index 14 / authority physical page 15. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
15	286	diagram_archive_branch_2/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p014_diag01.png	Diagram-aid witness for article index 14 / authority physical page 15. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
15	286	diagram_directory_branch_1/Images/D020_La_conjecture_de_Weil_I/D020_p014_diag01.png	Diagram-aid witness for article index 14 / authority physical page 15. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
15	286	diagram_directory_branch_2/Images/D020_La_conjecture_de_Weil_I/D020_p014_diag01.png	Diagram-aid witness for article index 14 / authority physical page 15. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
16	287	comparators/21_COMPARATOR_DELIGNE_D020_IAS_NUMBER23_35PP.pdf#page=15	IAS comparator page 15 was rendered and visually inspected against authority physical page 16. Text, displays, running matter, and page sequence align at comparison resolution. No comparator-only reading was promoted, and the higher-priority NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
16	287	comparators/22_COMPARATOR_DELIGNE_D020_COLLECTED_SPLIT_35PP.pdf#page=15	collected-split comparator page 15 was rendered and visually inspected against authority physical page 16. Text, displays, running matter, and page sequence align at comparison resolution. No comparator-only reading was promoted, and the higher-priority NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
16	287	diagram_archive_branch_1/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p015_diag01.png	Diagram-aid witness for article index 15 / authority physical page 16. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
16	287	diagram_archive_branch_2/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p015_diag01.png	Diagram-aid witness for article index 15 / authority physical page 16. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
16	287	diagram_directory_branch_1/Images/D020_La_conjecture_de_Weil_I/D020_p015_diag01.png	Diagram-aid witness for article index 15 / authority physical page 16. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
16	287	diagram_directory_branch_2/Images/D020_La_conjecture_de_Weil_I/D020_p015_diag01.png	Diagram-aid witness for article index 15 / authority physical page 16. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
17	288	comparators/21_COMPARATOR_DELIGNE_D020_IAS_NUMBER23_35PP.pdf#page=16	IAS comparator page 16 was rendered and visually inspected against authority physical page 17. Text, displays, running matter, and page sequence align at comparison resolution. No comparator-only reading was promoted, and the higher-priority NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
17	288	comparators/22_COMPARATOR_DELIGNE_D020_COLLECTED_SPLIT_35PP.pdf#page=16	collected-split comparator page 16 was rendered and visually inspected against authority physical page 17. Text, displays, running matter, and page sequence align at comparison resolution. No comparator-only reading was promoted, and the higher-priority NUMDAM authority remains controlling.	COMPARATOR_ONLY; no automatic acceptance
17	288	diagram_archive_branch_1/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p016_diag01.png	Diagram-aid witness for article index 16 / authority physical page 17. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
17	288	diagram_archive_branch_2/Deligne_Diagram_Witness_Aid_D001_D020_20260608/Images/D020_La_conjecture_de_Weil_I/D020_p016_diag01.png	Diagram-aid witness for article index 16 / authority physical page 17. The derived crop is an overinclusive page/formula locator. It confirms gross placement of prose, displays, and the sign table, but authority pixels control every symbol and reading. No inherited raster was accepted.	ZERO_ACCEPTED; derived visual locator only
