token,lemma,count,files,insert_class,proposed_english_gloss,priority_score,source_use,permitted_use_weight,status,top_files
znane,znane,16,11,content_or_inflection_candidate,pending; internal corpus token,1.128,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper39/source_fidelity/interslavic/v001/Noether_Paper39_SourceFidelity_Interslavic_v001.tex; translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex
povtorjenje,povtorjenje,16,11,content_or_inflection_candidate,pending; internal corpus token,1.128,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex; translations/paper30/section04/interslavic/v001/Noether_Paper30_Section04_Interslavic_v001.tex
či,či,16,10,function_or_proof_register,pending; internal corpus token,1.1156,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper23/interslavic/v001/Noether_Paper23_Interslavic_v001.tex; translations/paper05/interslavic/v001/Noether_Paper05_Interslavic_v001.tex
biti,biti,16,9,content_or_inflection_candidate,pending; internal corpus token,1.1032,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper09/interslavic/v001/Noether_Paper09_Introduction_Interslavic_v001.tex; translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
jošče,jošče,16,6,content_or_inflection_candidate,pending; internal corpus token,1.066,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper38/source_fidelity/interslavic/v001/Noether_Paper38_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex
obstavajut,obstavajut,16,6,content_or_inflection_candidate,pending; internal corpus token,1.066,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper17/interslavic/v001/Noether_Paper17_Section09_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section08_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex
dale,dale,16,6,content_or_inflection_candidate,pending; internal corpus token,1.066,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section02_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section04_Interslavic_v001.tex
suščstvuje,suščstvuje,16,6,content_or_inflection_candidate,pending; internal corpus token,1.066,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper19/interslavic/v001/Noether_Paper19_Section04_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section01_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Introduction_Interslavic_v001.tex
dlugosti,dlugosti,16,5,content_or_inflection_candidate,pending; internal corpus token,1.0536,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper30/section10/interslavic/v001/Noether_Paper30_Section10_Interslavic_v001.tex; translations/paper34/section03/interslavic/v001/Noether_Paper34_Section03_Interslavic_v001.tex
aksiomov,aksiomov,16,4,math_or_inflection_candidate,pending; internal corpus token,1.0412,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper30/intro/interslavic/v001/Noether_Paper30_Intro_Interslavic_v001.tex; translations/paper30/section03/interslavic/v001/Noether_Paper30_Section03_Interslavic_v001.tex; translations/paper30/section08/interslavic/v001/Noether_Paper30_Section08_Interslavic_v001.tex
dobiti,dobiti,15,14,content_or_inflection_candidate,pending; internal corpus token,1.1402,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Introduction_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section02_Interslavic_v001.tex
paragrafu,paragrafu,15,14,content_or_inflection_candidate,pending; internal corpus token,1.1402,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section04_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex
čija,čija,15,12,content_or_inflection_candidate,pending; internal corpus token,1.116,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Introduction_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
njej,njej,15,12,content_or_inflection_candidate,pending; internal corpus token,1.116,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper19/interslavic/v001/Noether_Paper19_Section10_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section04_Interslavic_v001.tex; translations/paper01/interslavic/v001/Noether_Paper01_Interslavic_v001.tex
nastala,nastala,15,12,content_or_inflection_candidate,pending; internal corpus token,1.116,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex; translations/paper01/interslavic/v001/Noether_Paper01_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section03_Interslavic_v001.tex
dopuščajut,dopuščajut,15,12,content_or_inflection_candidate,pending; internal corpus token,1.116,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper06/interslavic/v001/Noether_Paper06_Section13_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section10_Interslavic_v001.tex; translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex
naravno,naravno,15,11,content_or_inflection_candidate,pending; internal corpus token,1.1038,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper35/source_fidelity/interslavic/v001/Noether_Paper35_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section04_Interslavic_v001.tex
nahodi,nahodi,15,11,content_or_inflection_candidate,pending; internal corpus token,1.1038,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper07/interslavic/v001/Noether_Paper07_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Introduction_Interslavic_v001.tex
stoji,stoji,15,11,content_or_inflection_candidate,pending; internal corpus token,1.1038,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper38/source_fidelity/interslavic/v001/Noether_Paper38_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
svesti,svesti,15,11,content_or_inflection_candidate,pending; internal corpus token,1.1038,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper02/interslavic/v001/Noether_Paper02_Section05_Interslavic_v001.tex; translations/paper12/interslavic/v001/Noether_Paper12_Interslavic_v001.tex; translations/paper25/interslavic/v001/Noether_Paper25_Interslavic_v001.tex
izčeznuti,izčeznuti,15,11,content_or_inflection_candidate,pending; internal corpus token,1.1038,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper06/interslavic/v001/Noether_Paper06_Section02_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section03_Interslavic_v001.tex
prehodi,prehodi,15,10,content_or_inflection_candidate,pending; internal corpus token,1.0917,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section02_Interslavic_v001.tex
opreděljajut,opredělj-*,15,9,content_or_inflection_candidate,pending; internal corpus token,1.0796,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section10_Interslavic_v001.tex
argumentov,argumentov,15,8,content_or_inflection_candidate,pending; internal corpus token,1.0674,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper11/interslavic/v001/Noether_Paper11_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section04_Interslavic_v001.tex; translations/paper23/interslavic/v001/Noether_Paper23_Interslavic_v001.tex
dokole,dokole,15,5,content_or_inflection_candidate,pending; internal corpus token,1.0311,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper30/section02/interslavic/v001/Noether_Paper30_Section02_Interslavic_v001.tex; translations/paper30/intro/interslavic/v001/Noether_Paper30_Intro_Interslavic_v001.tex
familija,familija,15,3,content_or_inflection_candidate,pending; internal corpus token,1.0068,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper06/interslavic/v001/Noether_Paper06_Section07_Interslavic_v001.tex; translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section14_Interslavic_v001.tex
vagi,vagi,15,2,content_or_inflection_candidate,pending; internal corpus token,0.9947,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex
slijedi,slijedi,15,2,content_or_inflection_candidate,pending; internal corpus token,0.9947,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper34/section14/interslavic/v001/Noether_Paper34_Section14_Interslavic_v001.tex; translations/paper34/section13/interslavic/v001/Noether_Paper34_Section13_Interslavic_v001.tex
čak,čak,14,14,function_or_proof_register,pending; internal corpus token,1.1137,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex; translations/paper16/interslavic/v001/Noether_Paper16_Interslavic_v001.tex
opreděljenju,opredělj-*,14,13,content_or_inflection_candidate,pending; internal corpus token,1.1018,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper17/interslavic/v001/Noether_Paper17_Section06_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section05_Interslavic_v001.tex
paragrafa,paragrafa,14,12,content_or_inflection_candidate,pending; internal corpus token,1.09,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex; translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section03_Interslavic_v001.tex
opira,opira,14,11,content_or_inflection_candidate,pending; internal corpus token,1.0781,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex; translations/paper35/source_fidelity/interslavic/v001/Noether_Paper35_SourceFidelity_Interslavic_v001.tex; translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex
najobčejše,najobčejše,14,11,content_or_inflection_candidate,pending; internal corpus token,1.0781,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper02/interslavic/v001/Noether_Paper02_Section05_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section06_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Intro_Section01_Interslavic_v001.tex
dobivajut,dobiv-*,14,11,content_or_inflection_candidate,pending; internal corpus token,1.0781,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section06_Interslavic_v001.tex; translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex
iz-za,iz-za,14,11,content_or_inflection_candidate,pending; internal corpus token,1.0781,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section03_Interslavic_v001.tex; translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex
dan,dan,14,10,function_or_proof_register,pending; internal corpus token,1.0663,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
dostavajemo,dostavajemo,14,10,content_or_inflection_candidate,pending; internal corpus token,1.0663,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper17/interslavic/v001/Noether_Paper17_Section12_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex; translations/paper02/interslavic/v001/Noether_Paper02_Section17_Interslavic_v001.tex
jde,jde,14,10,function_or_proof_register,pending; internal corpus token,1.0663,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper31/introduction/interslavic/v001/Noether_Paper31_Introduction_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper25/interslavic/v001/Noether_Paper25_Interslavic_v001.tex
očividno,očividno,14,9,content_or_inflection_candidate,pending; internal corpus token,1.0544,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper34/section17/interslavic/v001/Noether_Paper34_Section17_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex
pojavja,pojavja,14,9,content_or_inflection_candidate,pending; internal corpus token,1.0544,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper34/source_fidelity_section23/interslavic/v001/Noether_Paper34_Section23_SourceFidelity_Interslavic_v001.tex; translations/paper31/introduction/interslavic/v001/Noether_Paper31_Introduction_Interslavic_v001.tex; translations/paper34/source_fidelity_section25/interslavic/v001/Noether_Paper34_Section25_SourceFidelity_Interslavic_v001.tex
najprěd,najprěd,14,9,content_or_inflection_candidate,pending; internal corpus token,1.0544,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper17/interslavic/v001/Noether_Paper17_Section10_Interslavic_v001.tex; translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper20/interslavic/v001/Noether_Paper20_Interslavic_v001.tex
metoda,metoda,14,9,content_or_inflection_candidate,pending; internal corpus token,1.0544,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Introduction_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex
izčezanje,izčezanje,14,8,content_or_inflection_candidate,pending; internal corpus token,1.0426,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section12_Interslavic_v001.tex; translations/paper12/interslavic/v001/Noether_Paper12_Interslavic_v001.tex
ispolnjena,ispolnjena,14,8,content_or_inflection_candidate,pending; internal corpus token,1.0426,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper29/interslavic/v001/Noether_Paper29_Interslavic_v001.tex; translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex; translations/paper30/intro/interslavic/v001/Noether_Paper30_Intro_Interslavic_v001.tex
ekvivalentnost,ekvivalent-*,14,7,math_or_inflection_candidate,pending; internal corpus token,1.0308,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper08/interslavic/v001/Noether_Paper08_Interslavic_v001.tex; translations/paper12/interslavic/v001/Noether_Paper12_Interslavic_v001.tex; translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex
neizvěstnyh,neizvěstnyh,14,7,content_or_inflection_candidate,pending; internal corpus token,1.0308,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex; translations/paper11/interslavic/v001/Noether_Paper11_Interslavic_v001.tex
odpovědaje,odpovědaje,14,7,content_or_inflection_candidate,pending; internal corpus token,1.0308,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper15/interslavic/v001/Noether_Paper15_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section04_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Through_Section02_Interslavic_v001.tex
analog,analog,14,6,content_or_inflection_candidate,pending; internal corpus token,1.0189,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper41/source_fidelity/interslavic/v001/Noether_Paper41_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex
posrědovano,posrědovano,14,5,content_or_inflection_candidate,pending; internal corpus token,1.0071,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper34/section16/interslavic/v001/Noether_Paper34_Section16_Interslavic_v001.tex; translations/paper34/source_fidelity_section18_19/interslavic/v001/Noether_Paper34_Section18_19_SourceFidelity_Interslavic_v001.tex; translations/paper34/source_fidelity_section20/interslavic/v001/Noether_Paper34_Section20_SourceFidelity_Interslavic_v001.tex
stupnja,stupnja,14,4,content_or_inflection_candidate,pending; internal corpus token,0.9952,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper25/interslavic/v001/Noether_Paper25_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Introduction_Interslavic_v001.tex
geometričnoj,geometričnoj,14,3,content_or_inflection_candidate,pending; internal corpus token,0.9834,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section05_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section06_Interslavic_v001.tex
prihodit,prihodit,14,3,content_or_inflection_candidate,pending; internal corpus token,0.9834,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper20/interslavic/v001/Noether_Paper20_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Introduction_Interslavic_v001.tex
sušstvovanja,sušstvovanja,14,2,content_or_inflection_candidate,pending; internal corpus token,0.9715,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper32/second_intro/interslavic/v001/Noether_Paper32_Second_Intro_Interslavic_v001.tex
divergencijne,divergencijne,14,1,content_or_inflection_candidate,pending; internal corpus token,0.9597,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper13/interslavic/v001/Noether_Paper13_Interslavic_v001.tex
prijeto,prijeto,13,13,content_or_inflection_candidate,pending; internal corpus token,1.0738,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper06/interslavic/v001/Noether_Paper06_Introduction_Interslavic_v001.tex; translations/paper16/interslavic/v001/Noether_Paper16_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section12_Interslavic_v001.tex
prvo,prvo,13,12,content_or_inflection_candidate,pending; internal corpus token,1.0622,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper19/interslavic/v001/Noether_Paper19_Section02_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex; translations/paper05/interslavic/v001/Noether_Paper05_Interslavic_v001.tex
najviše,najviše,13,12,content_or_inflection_candidate,pending; internal corpus token,1.0622,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section01_Interslavic_v001.tex
sobě,sobě,13,12,content_or_inflection_candidate,pending; internal corpus token,1.0622,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper09/interslavic/v001/Noether_Paper09_Section08_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex; translations/paper10/interslavic/v001/Noether_Paper10_Section02_Interslavic_v001.tex
odmah,odmah,13,11,content_or_inflection_candidate,pending; internal corpus token,1.0507,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex; translations/paper34/source_fidelity_section18_19/interslavic/v001/Noether_Paper34_Section18_19_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
ekvivalentno,ekvivalent-*,13,11,math_or_inflection_candidate,pending; internal corpus token,1.0507,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex; translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
validne,validne,13,11,content_or_inflection_candidate,pending; internal corpus token,1.0507,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper35/source_fidelity/interslavic/v001/Noether_Paper35_SourceFidelity_Interslavic_v001.tex; translations/paper40/source_fidelity/interslavic/v001/Noether_Paper40_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
ukazati,ukazati,13,11,content_or_inflection_candidate,pending; internal corpus token,1.0507,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper14/interslavic/v001/Noether_Paper14_Interslavic_v001.tex; translations/paper23/interslavic/v001/Noether_Paper23_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
obzirom,obzirom,13,10,content_or_inflection_candidate,pending; internal corpus token,1.0391,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper04/interslavic/v001/Noether_Paper04_Section08_Interslavic_v001.tex; translations/paper06/interslavic/v001/Noether_Paper06_Section14_Interslavic_v001.tex; translations/paper22/interslavic/v001/Noether_Paper22_Interslavic_v001.tex
tvorimo,tvor-*,13,10,content_or_inflection_candidate,pending; internal corpus token,1.0391,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper17/interslavic/v001/Noether_Paper17_Section06_Interslavic_v001.tex; translations/paper19/interslavic/v001/Noether_Paper19_Section04_Interslavic_v001.tex; translations/paper09/interslavic/v001/Noether_Paper09_Section04_Interslavic_v001.tex
ispolnjeno,ispolnjeno,13,10,content_or_inflection_candidate,pending; internal corpus token,1.0391,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper09/interslavic/v001/Noether_Paper09_Section07_Interslavic_v001.tex; translations/paper17/interslavic/v001/Noether_Paper17_Section07_Interslavic_v001.tex; translations/paper31/section04_entry01/interslavic/v001/Noether_Paper31_Section04_Entry01_Interslavic_v001.tex
točnije,točnije,13,9,content_or_inflection_candidate,pending; internal corpus token,1.0276,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper30/section04/interslavic/v001/Noether_Paper30_Section04_Interslavic_v001.tex; translations/paper43/source_fidelity/interslavic/v001/Noether_Paper43_SourceFidelity_Interslavic_v001.tex; translations/endmatter/post44/source_fidelity/interslavic/v001/Noether_Post44_SourceFidelity_Interslavic_v001.tex
ja,ja,13,9,function_or_proof_register,pending; internal corpus token,1.0276,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/endmatter/post45/source_fidelity/interslavic/v001/Noether_Post45_SourceFidelity_Interslavic_v001.tex; translations/paper03/interslavic/v001/Noether_Paper03_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Introduction_Interslavic_v001.tex
točnejše,točnejše,13,9,content_or_inflection_candidate,pending; internal corpus token,1.0276,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper20/interslavic/v001/Noether_Paper20_Interslavic_v001.tex; translations/paper04/interslavic/v001/Noether_Paper04_Section09_Interslavic_v001.tex; translations/paper16/interslavic/v001/Noether_Paper16_Interslavic_v001.tex
idě,idě,13,9,function_or_proof_register,pending; internal corpus token,1.0276,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper23/interslavic/v001/Noether_Paper23_Interslavic_v001.tex; translations/paper30/section03/interslavic/v001/Noether_Paper30_Section03_Interslavic_v001.tex; translations/paper41/source_fidelity/interslavic/v001/Noether_Paper41_SourceFidelity_Interslavic_v001.tex
korakah,korakah,13,9,content_or_inflection_candidate,pending; internal corpus token,1.0276,generated_internal_consistency,0.35,proposed_internal_insert; needs linguistic review,translations/paper30/section01/interslavic/v001/Noether_Paper30_Section01_Interslavic_v001.tex; translations/paper30/intro/interslavic/v001/Noether_Paper30_Intro_Interslavic_v001.tex; translations/paper30/section10/interslavic/v001/Noether_Paper30_Section10_Interslavic_v001.tex
