const,const_lat,const_ar,const_artr,const_zh,n,bayer,common,lon_d,lon_m,lat_d,lat_m,dir,mag,arabic,note,english
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,10,,,354,10,3,45,N,6,الذي يتلو هذا الكوكب,Fl51,The one following this
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,11,δ,,358,20,2,15,N,4,المقدم من الثلثة النيرة التي بعد المتقدمة,-,The preceding of three bright ones after those mentioned before
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,12,ε,,1,40,1,10,N,4,المتوسط منها,-,The middle of them
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,13,ζ,,4,10,6,0,S,4,الذي يتلو هذا من الثلثة,-,"The one following this, of three"
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,14,e,,3,30,2,0,S,4,الشمالي من الاثنين المتقاربين اللذين في المفصل,-,The northern of two nearby ones in the handle
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,15,f,,4,30,5,0,S,6,الكوكب الجنوبي منهما,-,The southern of these two
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,16,ν,,9,30,4,40,S,4,الأوسط من الثلثة التي بعد المفصل,-,The middle of three after the handle
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,17,α,Alrescha,13,40,8,30,S,3,الذي على مربط خيطي الكتان,Alrescha,The star in the knot of the two linen threads
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,18,ο,,11,40,1,20,N,4,المقدم الشمالي من مربط الكتان,-,The preceding from the north of the knot
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,19,η,,11,50,5,20,N,3,المتوسط من الثلثة التي في المربط,-,The middle of three in the knot
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,20,g,,13,10,21,45,N,5,الشمالي من الاثنين اللذين في فم الحوت الشمالي,-,The northern of two in the mouth of the northern fish
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,21,ρ,,11,40,9,0,N,4,الشمالي من الثلثة التي على طرف الذنب,-,The northern of three in the extremity of the tail
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,22,ψ1,,6,50,14,20,N,4,المقدم من الثلثة التي على شوكة هذا الحوت,-,The preceding of three in the spine of the back of this fish
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,23,ψ2,,7,50,13,0,N,4,المتوسط منها,-,The middle of them
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,24,ψ3,,8,50,12,0,N,4,المؤخر من هذه الثلثة,-,The last of these three
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,25,υ,,13,20,17,0,N,4,الشمالي من الاثنين اللذين في بطنه,-,The northern of two in the belly
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,26,φ,,11,0,15,20,N,4,الكوكب الجنوبي منهما,-,The southern of these two
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,27,χ,,11,10,11,45,N,4,الذي في شوكته المؤخرة عند ذنبه,-,The star in the rear spine near the tail
Pisces,Pisces,السمكتان,as-samakatan / al-hut,双鱼座,28,,,342,20,2,40,S,4,الذي تحت المربع وهو ممّا ليس في الصورة,Fl27,
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,1,λ,,28,50,7,45,S,4,الذي على طرف أنف سبع البحر,-,the star at the end of the nose
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,2,α,Menkar,28,50,12,20,S,3,المؤخّر من الثلثة التي في حلقومه,Menkar,the last of three in the throat
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,3,γ,,23,50,11,30,S,3,المتوسّط منها وهو في وسط فمه,-,"the middle of those, in the middle of the mouth"
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,4,δ,,21,40,14,0,S,3,المقدّم من الثلثة التي على ذقنه,-,the preceding of three in the beard
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,5,ν,,21,20,8,10,S,4,الذي على جبينه فوق عينه,-,the star on the forehead above the eye
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,6,π,,18,10,27,30,S,3,الجنوبي من الشقّ المؤخّر منه,-,the southern [star] of the back side
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,7,τ,,3,10,25,20,S,3,المتوسط من الثلثة التي في جسده,-,the middle of three in the body
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,8,ζ,,6,10,20,0,S,3,الشمالي من هذه الثلثة,-,the northern of these three
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,9,θ,,0,50,15,20,S,3,المؤخر من الكوكبين اللذين في ذنبه,-,the rear of two in the tail
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,10,η,,356,10,15,40,S,3,المقدم منهما,-,the front of two [in the tail]
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,11,ι,,350,30,13,0,S,5,الشمالي الذي في الشق المقدم منه,-,the northern [star] in the front side
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,12,t,,345,50,9,40,S,3,الشمالي عند الاثنين في طرف ذنبه,-,the northern [star] near two at the end of the tail
Cetus,Cetus,قيطس,qitus / sabu al-bahr,鲸鱼座,13,β,Diphda,346,50,20,20,S,3,الكوكب الجنوبي الذي على طرف ذنبه,Diphda,the southern [star] at the end of the tail
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,1,λ,,68,10,16,30,S,neb,الذي في رأسه,-,nebulosity which is in the head
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,2,α,Betelgeuse,73,10,17,0,S,1,النيّر الذي على كتفه اليمنى (منكب الجوزاء),Betelgeuse,"the bright star above the right shoulder, called the shoulder of the mighty one"
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,3,γ,Bellatrix,65,10,17,30,S,2,الذي على كتفه اليسرى,Bellatrix,the star in the left shoulder
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,4,A,,66,10,18,0,S,4,الذي تحت هذا في كتفه اليسرى,-,a star below this in the left shoulder
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,5,μ,,75,30,14,30,S,4,الشمالي من التسعة في الجلد الذي بيده اليسرى,-,the star in the right elbow
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,6,,,61,40,8,0,S,4,الكوكب الذي على مرفقه الأيمن,Fl15,the northern of nine in the skin of the left hand held
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,7,π1,,56,0,15,50,S,3,السادس منها في الشمال,-,"the sixth of those, in the northern part"
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,8,π2,,56,0,17,10,S,3,السابع الذي بعد هذا في الشمال,-,"the seventh, which comes after this in the northern part"
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,9,π5,,56,30,20,20,S,3,الثامن الذي بعده في الشمال,-,"the eighth, which comes after it in the northern part"
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,10,π6,,57,30,21,30,S,3,التاسع في الجنوب من التي في الجلد (المجلد),-,"the ninth of those in the skin, and it is in the southern part and is called the flagellum"
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,11,δ,Mintaka,66,30,24,10,S,2,المقدم من الثلثة في المنطقة,Mintaka,the preceding of three in the belt
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,12,ε,Alnilam,68,30,24,50,S,2,الأوسط منها (في المنطقة),Alnilam,the middle of those
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,13,ζ,Alnitak,69,20,25,40,S,2,المؤخر من الثلثة التي في المنطقة,Alnitak,the last of three in the belt
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,14,η,,65,0,25,50,S,3,الذي عند مقبض سيفه,-,the star near the hilt of the sword
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,15,c,,67,40,28,40,S,4,الشمالي من الثلثة المضيئة عند رأس السيف,-,the northern of three gathered near the point of the sword
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,16,θ1,,67,50,29,0,S,3,المتوسط من هذه الثلثة,-,the middle of these three
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,17,ι,,67,50,29,50,S,3,المقدم من الثلثة وهو الجنوبي منها,-,the preceding and southern of these three
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,18,β,Rigel,61,0,31,30,S,1,النيّر الذي على طرف رجله اليسرى (رجل الجوزاء),Rigel,"the bright star at the end of the left foot, called the foot of the mighty one"
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,19,τ,,62,10,30,15,S,4,الكوكب الشمالي فوق عرقوبه,-,"a star from the north of this, above the ankle"
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,20,e,,64,30,31,10,S,4,الخارج الذي تحت عقبه اليسرى,-,external [star] below the left ankle
Orion,Orion,الجبار,al-jabbar / al-jawza,猎户座,21,κ,Saiph,71,20,33,30,S,3,الذي تحت ركبته اليسرى المؤخرة,Saiph,the star below the right knee behind
Eridanus,Eridanus,النهر,an-nahr,波江座,1,λ,,59,30,31,50,S,4,الذي على طرف رجل الجبار وهو على رأس النهر,-,the star at the end of Orion's foot and at the beginning of the river
Eridanus,Eridanus,النهر,an-nahr,波江座,2,θ,Acamar,11,20,53,30,S,1,النير الكبير وهو آخر كواكب النهر,Acamar,the bright star which is the last of the river stars
Eridanus,Eridanus,النهر,an-nahr,波江座,3,γ,,38,10,32,50,S,3,الذي يلو الاربعة التي في القطع,-,the following [star] of four in the further interval
Eridanus,Eridanus,النهر,an-nahr,波江座,4,δ,,35,20,28,50,S,3,الثالث بين يدي الاوسط,-,the third before the middle
Eridanus,Eridanus,النهر,an-nahr,波江座,5,ε,,33,10,28,0,S,3,المقدم من الاربعة,-,the front of four
Eridanus,Eridanus,النهر,an-nahr,波江座,6,,,28,20,25,30,S,3,المؤخر من الاربعة,-,the last of four
Eridanus,Eridanus,النهر,an-nahr,波江座,7,η,,23,20,23,30,S,3,الكوكب الثالث الذي قبل هذا الرابع,-,the third which comes before this fourth
Eridanus,Eridanus,النهر,an-nahr,波江座,8,τ1,,16,20,32,10,S,4,الذي في منعطف النهر وهو على آخر صدر قيطس,-,the star in the bend of the river and at the end of Whale's breast
Eridanus,Eridanus,النهر,an-nahr,波江座,9,τ4,,32,30,41,20,S,4,الشمالي الذي في الشق المقدم من الاربعة التي في الجواز,-,the northern [star] in the front side of four in a trapezium
Eridanus,Eridanus,النهر,an-nahr,波江座,10,τ5,,35,50,43,20,S,4,المؤخر من هذه الاربعة,-,the last of these four
Eridanus,Eridanus,النهر,an-nahr,波江座,11,υ4,,39,20,53,50,S,4,المؤخر من الاثنين اللذين بعد العطف ويسمى التربه,-,the rear of two which are after the bend
Eridanus,Eridanus,النهر,an-nahr,波江座,12,υ5,,29,0,53,0,S,4,المؤخر من الثلثة التي بعد الاثنين,-,the last of three after these two
Eridanus,Eridanus,النهر,an-nahr,波江座,13,υ2,,45,20,53,30,S,4,الشمالي من الاثنين المتقابلين,-,the northern of two opposite to each other
Eridanus,Eridanus,النهر,an-nahr,波江座,14,υ1,,46,10,54,45,S,4,الجنوبي منهما,-,the southern of two [opposite to each other]
Lepus,Lepus,الأرنب,al-arnab,天兔座,1,ι,,60,30,35,0,S,5,الشمالي من الاربعة التي في ظهرها في الشق المقدم,-,the northern on the front side of four in the back
Lepus,Lepus,الأرنب,al-arnab,天兔座,2,ν,,62,30,35,40,S,5,الشمالي من الشق المؤخر منها,-,the northern on the back side of these
Lepus,Lepus,الأرنب,al-arnab,天兔座,3,,,61,0,36,30,S,5,الكوكب الذي في ذقن الأرنب,-,the southern of these on the front side
Lepus,Lepus,الأرنب,al-arnab,天兔座,4,μ,,60,20,39,15,S,4,الذي بين يدي طرف الرجل المقدمة اليسرى منها,-,the star on the chin
Lepus,Lepus,الأرنب,al-arnab,天兔座,5,ε,,57,20,45,15,S,4,الذي على وسط جسدها,-,the star before the end of the left front foot
Lepus,Lepus,الأرنب,al-arnab,天兔座,6,α,Arneb,67,0,41,30,S,3,الكوكب الذي تحت بطنها,Arneb,the star in the middle of the body
Lepus,Lepus,الأرنب,al-arnab,天兔座,7,β,Nihal,65,30,44,20,S,3,الشمالي من الاثنين اللذين في الرجلين المؤخرتين,Nihal,the star below the belly
Lepus,Lepus,الأرنب,al-arnab,天兔座,8,δ,,72,10,44,0,S,4,الكوكب الجنوبي منهما,-,the northern of two in the hind feet
Lepus,Lepus,الأرنب,al-arnab,天兔座,9,γ,,70,10,45,50,S,4,الكوكب الذي على ظهرها,-,the southern of two [in the hind feet]
Lepus,Lepus,الأرنب,al-arnab,天兔座,10,ζ,,71,10,38,20,S,4,الكوكب الذي على طرف أليتها,-,the star in the back
Lepus,Lepus,الأرنب,al-arnab,天兔座,11,η,,73,50,38,10,S,4,,-,the star at the end of the tail
CanisMajor,Canis Major,الكلب الأكبر,al-kalb al-akbar,大犬座,1,θ,,90,50,35,0,S,4,الكوكب الذي على أذنيه,-,the star in the ears
CanisMajor,Canis Major,الكلب الأكبر,al-kalb al-akbar,大犬座,2,μ,,92,30,36,30,S,5,الكوكب الذي في رأسه,-,the star in the head
CanisMajor,Canis Major,الكلب الأكبر,al-kalb al-akbar,大犬座,3,α,Sirius,88,50,39,10,S,1,النيّر الذي في فم الكلب (الشعرى اليمانية),Sirius,"the bright star in the mouth of the Dog, called the Syrian star"
CanisMajor,Canis Major,الكلب الأكبر,al-kalb al-akbar,大犬座,4,β,,82,10,41,20,S,3,الذي على طرف رجله المقدمة,-,the star at the end of the front foot
CanisMajor,Canis Major,الكلب الأكبر,al-kalb al-akbar,大犬座,5,δ,,97,50,48,45,S,3,الذي في أصل فخذه اليسرى,-,the star at the beginning of the left thigh
CanisMajor,Canis Major,الكلب الأكبر,al-kalb al-akbar,大犬座,6,ε,,94,50,51,30,S,3,الذي في أصل فخذه اليمنى,-,the star below the belly between two thighs
CanisMajor,Canis Major,الكلب الأكبر,al-kalb al-akbar,大犬座,7,ζ,,80,50,53,45,S,3,الذي تحت بطنه بين فخذيه,-,the star in the right foot
CanisMajor,Canis Major,الكلب الأكبر,al-kalb al-akbar,大犬座,8,η,,103,20,50,40,S,3,الذي على رجله اليمنى,-,the star in the tail
CanisMajor,Canis Major,الكلب الأكبر,al-kalb al-akbar,大犬座,9,,β Columbae,70,10,59,40,S,2,الكوكب الذي في ذنبه,betaColumbae,the rear of two bright [stars] (not in figure)
CanisMajor,Canis Major,الكلب الأكبر,al-kalb al-akbar,大犬座,10,,Phact,67,10,57,40,S,2,المؤخر من الاثنين المضيئين (مما ليس في صورة),Phact-alphaColumbae,the front of two bright [stars] (not in figure)
CanisMinor,Canis Minor,الكلب الأصغر,al-kalb al-asghar,小犬座,1,β,Gomeisa,96,10,14,0,S,4,الذي في مقدّم الكلب وهو في عنقه,Gomeisa,the star in the neck
CanisMinor,Canis Minor,الكلب الأصغر,al-kalb al-asghar,小犬座,2,α,Procyon,100,20,16,10,S,1,المنيّر التالي الذي في خلفه (الشِّعْرى الشَّامية),Procyon,"the bright star after it, called the northern star"
LACUNA,,,,,,,,,,,,,,,"missing leaf: Argo Navis (Canopus), Hydra, start of Crater",
Crater,Crater,الكأس,al-kas / al-baturiyah,巨爵座,1,ε,,160,30,13,40,S,4,الكوكب الذي على أذن الكأس الجنوبية,post-lacuna,the star on the northern rim of the mouth
Crater,Crater,الكأس,al-kas / al-baturiyah,巨爵座,2,η,,170,20,16,10,S,4,الذي على أذن الكأس الشمالية,-,the star in the southern handle
Crater,Crater,الكأس,al-kas / al-baturiyah,巨爵座,3,θ,,162,50,11,50,S,4,الكوكب الذي على تدوير قَمّ الكأس الشمالي,-,the star in the northern handle
Corvus,Corvus,الغراب,al-ghurab,乌鸦座,1,α,,176,30,21,40,S,3,الذي في منقار الغراب عند الشجاع,-,"the star in the beak of Corvus, near Hydra"
Corvus,Corvus,الغراب,al-ghurab,乌鸦座,2,ε,,175,30,19,40,S,3,الذي في عنقه قريب من رأسه,-,
Corvus,Corvus,الغراب,al-ghurab,乌鸦座,3,γ,,174,40,14,50,S,3,الذي في الجناح المقدم الأيمن,-,
Corvus,Corvus,الغراب,al-ghurab,乌鸦座,4,δ,,177,50,12,30,S,3,المقدم من الاثنين اللذين في الجناح المؤخر,-,
Corvus,Corvus,الغراب,al-ghurab,乌鸦座,5,η,,178,10,11,45,S,4,الكوكب المؤخر منها,-,
Corvus,Corvus,الغراب,al-ghurab,乌鸦座,6,β,,181,40,18,10,S,3,الذي على طرف رجله عند الشجاع,-,
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,1,g,,201,40,21,40,S,5,الجنوبي من الاربعة التي في رأس قنطاورس,-,the southern of four that are in the head
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,2,h,,201,10,18,50,S,5,الكوكب الشمالي منها,-,the northern of them
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,3,i,,200,20,20,30,S,4,المقدم من الاثنين الأوسطين الباقيين,-,the preceding of two middle remaining
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,4,k,,201,10,20,0,S,5,المؤخر من هذين الاثنين وهو الثاني من الاربعة,-,the posterior of these two and the remaining one of four
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,5,ι,,197,20,25,40,S,3,الذي على كتفه المقدمة اليسرى,-,that which is in the left front shoulder
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,6,θ,,206,50,22,30,S,3,الذي على كتفه المؤخرة اليمنى,-,that which is in the right back shoulder
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,7,π,,213,10,18,15,S,4,الذي على رأس الفرس,-,the preceding of three that are on the right side
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,8,τ,,204,30,28,20,S,4,المقدم من الثلثة التي على الشق الأيمن,-,the middle of them
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,9,υ,,205,10,29,20,S,4,الأوسط منها,-,the posterior of these three
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,10,φ,,206,20,28,0,S,4,المؤخر من هذه الثلثة,-,that which is in the right arm
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,11,m,,207,30,26,30,S,4,الذي على ذراعه اليمنى,-,that which is in the front part of the right arm
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,12,χ,,214,0,25,15,S,3,الذي على ساعده الأيمن,-,the bright star at the beginning of the left side
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,13,λ,,209,10,33,30,S,3,المنير الذي في أصل جنبه الأيسر,-,the posterior of the dim ones to the north of it
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,14,n,,208,50,31,0,S,5,المؤخر من الكواكب المظلمة الشمالية منه,-,the preceding of the dim ones to the north of it
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,15,,,208,0,30,20,S,5,الكوكب المقدم من الكواكب المظلمة الشمالية منه,-,
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,16,μ,,197,0,40,0,S,3,المؤخر من الثلثة التي على خاصرته على بطنه,-,the last of three that are on the back to the right
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,17,β,Hadar,193,50,46,10,S,3,المقدم من الاثنين المتقاربين اللذين في فخذ الفرس اليمنى,Hadar,the preceding of two mutually close neighbors in the right thigh of the horse
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,18,,,207,30,43,0,S,2,المقدم من الاثنين اللذين تحت بطن الفرس,-,the preceding of two that are under the belly of the horse
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,19,,,208,50,43,45,S,3,الكوكب المؤخر منهما,-,the posterior of these two
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,20,ν,,201,10,51,10,S,2,الذي في فخذه اليمنى قرب من الرجل,-,that which is in the right knee bend near the foot
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,21,ζ,,202,20,55,20,S,2,الذي في قدمه اليسرى على الحافر,-,that which is in the hoof of the left foot
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,22,α,Rigil Kentaurus,199,30,41,10,S,1,النير الذي على طرف رجله اليمنى المقدمة وهو رجل الفرس,RigilKentaurus,"the bright star at the end of the front right foot, called Rigel al-Faras"
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,23,γ,,215,20,45,20,S,2,الكوكب الذي على ركبته اليسرى من الرجل,-,
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,24,ξ,,206,30,51,40,S,2,الذي على عرقوبه الأيمن,-,
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,25,ε,,205,50,49,10,S,4,السادس من التي على الرجل المؤخرة اليمنى,-,
Centaurus,Centaurus,قنطورس,qantawris / az-zulman,半人马座,26,f,,197,30,55,10,S,4,الذي تحت وسط فخذه اليسرى,-,
Lupus,Lupus,السبع,as-sabu,豺狼座,1,ο,,219,10,24,50,S,3,الكوكب الذي على طرف رجل السبع المؤخرة,-,that which is at the end of the back foot
Lupus,Lupus,السبع,as-sabu,豺狼座,2,α,,217,0,29,10,S,3,الذي على وسط فخذه المؤخرة,-,that which is in the middle of the back knee bend
Lupus,Lupus,السبع,as-sabu,豺狼座,3,χ,,214,10,29,20,S,4,الشمالي من الثلثة التي على طرف ذنبه,-,the northern of three that are at the end of the tail
Lupus,Lupus,السبع,as-sabu,豺狼座,4,ε,,218,20,11,30,S,4,الجنوبي من الاثنين اللذين في رجله المقدمة,-,the southern of two that are in the front foot
Lupus,Lupus,السبع,as-sabu,豺狼座,5,μ,,230,30,15,20,S,4,الشمالي من الاثنين اللذين في عنقه,-,the northern of two that are in the neck
Lupus,Lupus,السبع,as-sabu,豺狼座,6,δ,,217,40,10,0,S,4,الشمالي من الاثنين اللذين في رجله المقدمة,-,the northern of two that are in the front foot
Ara,Ara,المجمرة,al-mijmarah,天坛座,1,γ,,248,50,22,40,S,5,الشمالي من الاثنين اللذين في أسفل المجمرة,-,the northern of two that are in the base of the incense holder
Ara,Ara,المجمرة,al-mijmarah,天坛座,2,α,,247,20,26,30,S,4,الذي في وسط رأسها وهو موضع النار,-,"that which is in the middle of the upper part, i.e. in the place of fire"
Ara,Ara,المجمرة,al-mijmarah,天坛座,3,ζ,,246,20,34,10,S,4,الجنوبي من الاثنين المتقاربين اللذين في لهب النار,-,the southern of two mutually adjacent that are in the flame
Ara,Ara,المجمرة,al-mijmarah,天坛座,4,,,242,0,34,0,S,4,الذي على طرف اللهب من لسان النار,-,that which is at the end of the flame
Ara,Ara,المجمرة,al-mijmarah,天坛座,5,,,254,10,25,45,S,4,,-,the southern of two that are in the base of the incense holder
CoronaAustralis,Corona Australis,الإكليل الجنوبي,al-iklil al-janubi,南冕座,1,α,,260,20,21,30,S,4,المقدم من الستة التي في تقويس الإكليل الجنوبي,-,the preceding of six that are in the southern curve
CoronaAustralis,Corona Australis,الإكليل الجنوبي,al-iklil al-janubi,南冕座,2,β,,266,0,20,0,S,4,الكوكب الرابع الذي بعد هذه الستة,-,
CoronaAustralis,Corona Australis,الإكليل الجنوبي,al-iklil al-janubi,南冕座,3,η,,267,20,18,30,S,5,الذي يلوه وهو بين يدي ركبة الرامي,-,
CoronaAustralis,Corona Australis,الإكليل الجنوبي,al-iklil al-janubi,南冕座,4,θ,,268,10,17,10,S,2,المضيء الذي يلو هذا من الشمال,-,
CoronaAustralis,Corona Australis,الإكليل الجنوبي,al-iklil al-janubi,南冕座,5,γ,,268,0,16,0,S,4,الشمالي من هذا المضيء,-,
CoronaAustralis,Corona Australis,الإكليل الجنوبي,al-iklil al-janubi,南冕座,6,,,265,50,14,50,S,6,المقدم من الاثنين المظلمين,-,
CoronaAustralis,Corona Australis,الإكليل الجنوبي,al-iklil al-janubi,南冕座,7,ι,,263,0,14,40,S,5,الكوكب الباقي من المظلمين,-,
CoronaAustralis,Corona Australis,الإكليل الجنوبي,al-iklil al-janubi,南冕座,8,χ,,260,50,15,50,S,5,,-,the star that precedes this very one
CoronaAustralis,Corona Australis,الإكليل الجنوبي,al-iklil al-janubi,南冕座,9,λ,,260,30,18,30,S,5,,-,"the remaining one, to the south of it"
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,1,α,,318,10,20,20,S,1,,Fomalhaut-xref-Aquarius18,"in the mouth of the Fish, at the end of the water (= Fomalhaut; given under Aquarius)"
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,2,β,,311,50,20,20,S,4,,-,the leading of three in the southern curve of the head
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,3,γ,,315,20,22,15,S,4,,-,the one that follows it
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,4,δ,,316,30,22,30,S,4,,-,the third and last of the three preceding
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,5,ε,,315,30,16,15,S,4,,-,in the throat of the Fish
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,6,μ,,306,20,19,30,S,5,,-,"the southern star, on the southern back"
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,7,ζ,,312,20,15,10,S,5,,-,the posterior of two in the belly
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,8,λ,,310,0,14,40,S,4,,-,the leading of those two
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,9,η,,306,20,15,0,S,4,,-,the last of three on the northern spine of the back
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,10,θ,,303,0,16,30,S,4,,-,the middle of these three
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,11,ι,,302,10,18,10,S,4,,-,the leading of these three
PiscisAustralis,Piscis Austrinus,الحوت الجنوبي,al-hut al-janubi,南鱼座,12,κ,,301,20,22,15,S,4,,-,at the tip of the tail
