"finding_id","review_id","comparator_id","fac_number","codex_locator","external_locator","french_locator","classification","codex_reading_or_action","external_reading_or_action","selected_form","change_required","rationale","review_status","supersedes_finding_id"
"FAC-BLIND-F0126","FAC-BLIND-REVIEW-N050-R1","FAC-BLIND-N050","50","048_II_4_50_projective_modules_vector_fiber_spaces.tex lines56-62","fac-2_4.tex lines183-186","fac_body.tex line1762","external_unclosed_gamma_expression","writes E maps to Gamma(S(E)) with balanced delimiters","writes E maps to Gamma(S(E) with the outer parenthesis missing","E maps to Gamma(S(E))","none_codex","The French authority has a complete Gamma(S(E)) expression; the comparator leaves it syntactically and mathematically unclosed","reviewed",""
"FAC-BLIND-F0127","FAC-BLIND-REVIEW-N051-R1","FAC-BLIND-N051","51","049_III_1_51_projective_space_notation.tex lines61-65","fac-3_1.tex lines35-37","fac_body.tex line1788","external_ring_sheaf_type_confusion","calls A_U the ring of regular functions on pi^{-1}(U)","calls A_U the sheaf of regular functions on pi^{-1}(U)","ring","none_codex","A_U is defined as a global-section object Gamma(pi^{-1}(U),O_Y) and the French authority explicitly calls it an anneau; it is not the sheaf itself","reviewed",""
"FAC-BLIND-F0128","FAC-BLIND-REVIEW-N051-R1","FAC-BLIND-N051","51","049_III_1_51_projective_space_notation.tex lines50-54 and84-89","fac-3_1.tex lines29-30 and52-56","fac_body.tex lines1786 and1794","external_chart_map_symbol_inconsistency","uses psi_i for the affine-chart bijection and throughout Proposition1","defines phi_i but Proposition1 later uses psi_i without defining it","psi_i throughout","none_codex","The French authority consistently uses psi_i; the comparator's initial phi_i substitution makes its later psi_i references unbound","reviewed",""
"FAC-BLIND-F0129","FAC-BLIND-REVIEW-N057-R1","FAC-BLIND-N057","57","055_III_2_57_sheaf_associated_to_graded_module.tex lines10-14","fac-3_2.tex lines206-210","fac_body.tex line1957","external_singleton_domain_substitution","for U={x}, write S(x) instead of S({x})","for U=X, write S(x) instead of S({x})","U={x}","none_codex","The abbreviation S(x) is defined for the singleton subset {x}; replacing that singleton by the whole projective space X contradicts both the displayed abbreviation and the authority","reviewed",""
"FAC-BLIND-F0130","FAC-BLIND-REVIEW-N057-R1","FAC-BLIND-N057","57","055_III_2_57_sheaf_associated_to_graded_module.tex lines25-26","fac-3_2.tex lines217-218","fac_body.tex line1964","external_singleton_brace_omission","for U={x}, write M_x instead of M_{ {x} }","for U=x, write M_x instead of M_{ {x} }","U={x}","none_codex","U ranges over subsets of X, whereas x is a point; the authority uses the singleton {x}, which is required for the type of M_U","reviewed",""
"FAC-BLIND-F0131","FAC-BLIND-REVIEW-N058-R1","FAC-BLIND-N058","58","056_III_2_58_first_properties_functor_A.tex lines103-113","fac-3_2.tex lines311-321","fac_body.tex line2031","external_zero_locus_case_omission","the zero locus of a_m in K^{r+1} is empty or reduced to {0}","the zero locus is reduced to {0}","empty or reduced to {0}","none_codex","The French authority explicitly includes the empty case; omitting it narrows the stated consequence of M_x=0 and leaves one possible annihilator zero locus untreated","reviewed",""
"FAC-BLIND-F0132","FAC-BLIND-REVIEW-N061-R1","FAC-BLIND-N061","61","059_III_3_61_complexes_Ck_and_C.tex lines77-81","fac-3_3.tex lines47-54","fac_body.tex lines2166-2171","external_transition_map_index_substitution","rho_h^l composed with rho_k^h equals rho_k^l","rho_h^l composed with rho_k^j equals rho_k^l","rho_h^l composed with rho_k^h equals rho_k^l","none_codex","The intermediate transition must end at h before rho_h^l can be composed; the comparator's j is unbound and makes the composition ill-typed","reviewed",""
"FAC-BLIND-F0133","FAC-BLIND-REVIEW-N061-R1","FAC-BLIND-N061","61","059_III_3_61_complexes_Ck_and_C.tex lines100-105","fac-3_3.tex lines63-65","fac_body.tex lines2181-2185","external_cohomology_superscript_command_loss","both induced maps are H^q maps","writes Hq_k(M) and Hq(M) without the comparator's H^q macros on the two source objects","H^q_k(M) to H^q_k(M') and H^q(M) to H^q(M')","none_codex","The missing command markers render Hq as a product of letters rather than cohomology in degree q, while the codomains and authority retain H^q","reviewed",""
"FAC-BLIND-F0134","FAC-BLIND-REVIEW-N061-R1","FAC-BLIND-N061","61","059_III_3_61_complexes_Ck_and_C.tex lines107-117","fac-3_3.tex lines66-70","fac_body.tex lines2186-2190","external_long_exact_sequence_arrow_omission","ellipsis followed by an arrow to H_k^q(M')","ellipsis immediately followed by H_k^q(M') without an arrow","ellipsis to H_k^q(M')","none_codex","The authority states a long exact sequence and includes the incoming arrow; omitting it breaks the displayed exact-sequence chain","reviewed",""
"FAC-BLIND-F0135","FAC-BLIND-REVIEW-N062-R1","FAC-BLIND-N062","62","060_III_3_62_computation_Hk_for_modules.tex lines126-140","fac-3_3.tex lines146-153","fac_body.tex lines2251-2261","external_stabilization_map_codomain_substitution","rho_k^h maps H_k^q(S(n)) to H_h^q(S(n))","rho_k^h maps H_k^q(S(n)) to H_k^q(S(n))","H_h^q(S(n))","none_codex","The transition map raises the complex parameter from k to h, as its action on monomial representatives and the French authority both show; the comparator turns it into an unsupported endomorphism","reviewed",""
"FAC-BLIND-F0136","FAC-BLIND-REVIEW-N077-R1","FAC-BLIND-N077","77","075_III_5_77_homological_characterization_first_kind.tex lines12-18","fac-3_5.tex lines228-234","fac_body.tex lines3062-3066","external_lemma_subject_omission","dim M <= k iff Ext_S^q(M,S)=0 for q>k","dim <= k iff Ext_S^q(M,S)=0 for q>k","dim M <= k","none_codex","The lemma concerns the homological dimension of the fixed module M; omitting M leaves the left-hand inequality without a subject","reviewed",""
"FAC-BLIND-F0137","FAC-BLIND-REVIEW-N077-R1","FAC-BLIND-N077","77","075_III_5_77_homological_characterization_first_kind.tex lines132-137","fac-3_5.tex lines306-308","fac_body.tex lines3117-3119","external_specific_proposition_reference_omission","condition (b) follows from Proposition7 of no.65","condition (b) follows from an unspecified Proposition of no.65","Proposition7 of no.65","none_codex","The vanishing for positive sufficiently large twists is exactly Proposition7; dropping its number weakens the proof locator and prevents deterministic reference resolution","reviewed",""
"FAC-BLIND-F0138","FAC-BLIND-REVIEW-N077-R1","FAC-BLIND-N077","77","075_III_5_77_homological_characterization_first_kind.tex lines152-158","fac-3_5.tex lines318-321","fac_body.tex lines3145-3147","external_isomorphism_strength_weakening","V is biregularly isomorphic to a k-fold first-kind subvariety","V is birationally isomorphic to such a subvariety","biregularly isomorphic","none_codex","The French authority says birégulièrement; replacing it by birationally materially weakens the corollary and is not supported by the proof via an embedding","reviewed",""
