concept_key,preferred_label,strata,priority_band,priority_score,priority_reasons,union_lane_count,lanes_present,c2_stratum,c2_missing_lanes,c2_context_covered,ws_west_status,ws_south_status,weighted_action,weighted_sensitivity,current_isv,top_by_scheme,risk_flags,aggregate_source_weight,main_sources,de_labels,isv_labels,uk_labels,ru_labels
noetherian module,noetherian module,,D_background,0,,2,arabic_farsi_persianate; controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.4,,,,,
norm,norm,curriculum_algebra,D_background,0,,0,,,,,support,support,confirm_current,stable,norma,"{""dependence_pd"": ""norma"", ""equal_branch"": ""norma"", ""equal_splits"": ""norma"", ""population_proxy"": ""norma""}",F10-0; F10-1,2.25,croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; czech_karlin_commutative_rings_fields.txt; polish_mimuw_algebra2_galois.txt,(red.) Norm / (red.) Differente; Norm / Elementarteiler; norm; normen,norma / elementarny dělitelj; reducirana norma / reducirana diferenta,зведена норма / зведена диферента; норма / елементарний дільник,норма / элементарный делитель; приведенная норма / приведенная дифферента
normal subgroup,normal subgroup,curriculum_algebra,D_background,0,,1,controlled_arabic,,,,,,,,,,F10-1,1.3,,Normalteiler; normalteiler,normalny podgrup,нормальний дільник; нормальний піддільник,нормальный делитель
notation,notation,proof_grammar,C_core_fill,14,C2 core; C2 missing 4 lanes,1,controlled_arabic,proof_grammar,pan_romance; arabic_farsi_persianate; malay_indonesian; interslavic,True,,,,,,,C2_core; C2_missing_lanes,1.75,,,,,
number field,algebraic number field,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,algebraischer zahlkörper; relativ-galoissche Zahlkörper; relativ-galoissche zahlkörper; zahlkörper,relativno-Galoisove čislove polja,відносно галуїсові числові поля,относительно галуаовы числовые поля
one sided,one-sided,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:9047"", ""fr"": ""N19_s12_fr_body.tex:8, :24, :74""}",,,,
one to one,one-to-one,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,eineindeutig,vzaimno-jednoznačno,взаємно однозначно,взаимно однозначно
order,order,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-0; F10-1; F10-2,1.1,,"Formen 11. Ordnung; Formen 11., 12., 13., 15. Ordnung; Formen 12., 13., 14., 15. Ordnung; Formen 7. Ordnung; Formen 8. Ordnung; Formen achter Ordnung; Formen dritter Ordnung; Formen fünfter Ordnung; Formen neunter Ordnung; Formen sechster Ordnung; Formen siebenter Ordnung; Formen vierter Ordnung; Formen zehnter Ordnung; Ordnung; R-Ordnung; formen neunter ordnung; formen zehnter ordnung; ordnung","Formy 11., 12., 13. i 15. poręda; Formy 12., 13., 14., 15. poręda; Formy 7. poręda; Formy 8. poręda",R-порядок; порядок; форми 10-го порядку; форми 11-го порядку,R-порядок; порядок; формы 10-го порядка; формы 11-го порядка
polynomial,polynomial,curriculum_algebra,C_core_fill,20,variant/doublet note; C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; controlled_arabic; malay_indonesian,curriculum_algebra,pan_romance; interslavic,True,support+competitor,support,variant_or_doublet_note,stable,polinom,"{""dependence_pd"": ""polinom"", ""equal_branch"": ""polinom"", ""equal_splits"": ""polinom"", ""population_proxy"": ""polinom""}",C2_core; C2_missing_lanes; F10-1; lane_status_review_or_gap; variant_or_doublet_note,4.4,croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; malay_indonesian:UIN polynomial rows; UKM/UM terminology,ganze rationale funktion; polynom; polynome; primitive Polynome,primitivne polinomy,примітивні поліноми,примитивные многочлены
power,power,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:572"", ""fr"": ""cum_fr_P19s12.tex:476""}",,,,
primary ideal,primary ideal,curriculum_algebra,D_background,0,,1,pan_romance,,,,,,,,,,F10-0,1.3,"pan_romance:{""es"": ""cum_es.tex:8073"", ""fr"": ""translations/paper22/french/v001/Noether_Paper22_Intro_Section01_French_v001.tex:59""}",Primärideal; primaerideal; primärideal,primarny ideal,первинний ідеал,первичный идеал
prime function / primary function,prime function / primary function,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1; F10-4,1.1,,Primfunktion; Primfunktion / Primärfunktion; Primärfunktion; primfunktion; primfunktion / primärfunktion; primärfunktion,primarna funkcija; prosta funkcija; prosta funkcija / primarna funkcija,первинна функція; проста функція; проста функція / первинна функція,первичная функция; простая функция; простая функция / первичная функция
prime ideal,prime ideal,curriculum_algebra,D_background,0,,2,malay_indonesian; pan_romance,,,True,support+competitor,support+competitor,confirm_current,stable,prosty ideal?,"{""dependence_pd"": ""prosty ideal?"", ""equal_branch"": ""prosty ideal?"", ""equal_splits"": ""prosty ideal?"", ""population_proxy"": ""prosty ideal?""}",F10-0; F10-1,3.4,"bulgarian_sofia_noncommutative_body_problem.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; czech_karlin_commutative_rings_fields.txt; malay_indonesian:UM Surabaya; UM terminology; pan_romance:{""es"": ""cum_es.tex:8044"", ""fr"": ""french/1303.5221v2/Brnr.tex:179""}",Primideal; Primideal / Primärideal / zugehöriges Primideal; Primideal / eigentliches Primärideal; primideal; primideale,prost ideal; prost ideal / primarny ideal / asociovany prost ideal; prost ideal / vlastny primarny ideal,простий ідеал; простий ідеал / власний первинний ідеал; простий ідеал / первинний ідеал / асоційований простий ідеал,простой идеал; простой идеал / первичный идеал / ассоциированный простой идеал; простой идеал / собственный первичный идеал
principal genus theorem,principal genus theorem,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Hauptgeschlechtssatz; hauptgeschlechtssatz,teorem o glavnom rodu,теорема про головний рід,теорема о главном роде
principal ideal,principal ideal,curriculum_algebra,D_background,0,,0,,,,,,,,,,,,0,,hauptideal,,,
problem,problem,proof_grammar,C_core_fill,12,C2 core; C2 missing 3 lanes,2,arabic_farsi_persianate; controlled_arabic,proof_grammar,pan_romance; malay_indonesian; interslavic,True,,,,,,,C2_core; C2_missing_lanes; lane_status_review_or_gap,1.95,,,,,
product,product,,D_background,0,,2,interslavic; pan_romance,,,,,,,,,,,0.4,"interslavic:noether_paper02_section01_terms.json; noether_paper02_section03_terms.json; noether_paper02_section15_terms.json; noether_paper02_section19_terms.json; pan_romance:{""es"": ""cum_es.tex:322"", ""fr"": ""cum_fr_P19s12.tex:229""}",,,,
proof,proof,proof_grammar,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,proof_grammar,interslavic,True,support+competitor,support,confirm_current,stable,dokaz,"{""dependence_pd"": ""dokaz"", ""equal_branch"": ""dokaz"", ""equal_splits"": ""dokaz"", ""population_proxy"": ""dokaz""}",C2_core; C2_missing_lanes; lane_status_review_or_gap,3.5,"bulgarian_sofia_rings_lecture7.txt; croatian_mathhr_algebra_structures_2024.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; malay_indonesian:UKM proof methods; Indonesian proof labels; pan_romance:{""es"": ""cum_es.tex:3310"", ""fr"": ""cum_fr_P19s12.tex:297""}; polish_mimuw_algebra2_galois.txt",beweis; beweise,,,
proper divisor,proper divisor,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,echter Teiler / Gliederzahl; echter teiler,vlastny dělitelj / čislo členov,власний дільник / кількість членів,собственный делитель / число членов
proposition,proposition,proof_grammar,C_core_fill,22,C2 core; C2 missing 4 lanes; C2 context pending,1,malay_indonesian,proof_grammar,pan_romance; controlled_arabic; arabic_farsi_persianate; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes,1.0,malay_indonesian:UM Surabaya proposition row; UKM proof-course prose,,,,
quotient,quotient,,D_background,0,,1,malay_indonesian,,,,,,,,,,,0.2,malay_indonesian:UIN quotient/factor rows; UM terminology,,,,
quotient field,quotient field,curriculum_algebra,A_review_now,70,weighted_review_priority; W/S competitor-only one branch; internal variance,0,,,,,competitor_only,no_hit,review_priority,weight_sensitive,polje kvocientov / kvocientno polje,"{""dependence_pd"": ""West native quotient-field terms"", ""equal_branch"": ""tie: polje kvocientov / kvocientno polje / West native quotient-field terms"", ""equal_splits"": ""tie: polje kvocientov / kvocientno polje / West native quotient-field terms"", ""population_proxy"": ""polje kvocientov / kvocientno polje""}",F10-0; WS_competitor_only_one_branch; internal_variance; weighted_review_priority,2.4,czech_cuni_algebra_2021.txt; czech_karlin_commutative_rings_fields.txt; polish_impan_algebra_lecture3.txt; polish_uj_algebra1_noetherian.txt,Quotientenkörper; quotientenkoerper; quotientenkörper,polje kvocientov,поле часток,поле частных
quotient group,quotient group,,D_background,0,,2,arabic_farsi_persianate; controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.4,,,,,
quotient module,quotient module,,D_background,0,,1,controlled_arabic,,,,,,,,,,,0.2,,,,,
rank,rank,curriculum_algebra,D_background,0,,1,pan_romance,,,,,,,,,,F10-0,1.3,"pan_romance:{""es"": ""cum_es.tex:4347"", ""fr"": ""cum_fr_P19s12.tex:400""}",algebraischer Rang / Restklassenkörper; algebraischer rang; rang,algebraičny rang / polje ostatkovyh klasov,алгебраїчний ранг / поле класів лишків,алгебраический ранг / поле классов вычетов
reduced,reduced,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:496"", ""fr"": ""french/0605499v2/indice1.tex:681""}",,,,
reducent,reducent,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1; F10-4,1.1,,Reduzent; Reduzenten; Reduzenten oder zerfallenden Formen; direkte Faltung mit den Reduzenten; reduzent; reduzenten,neposrědno svijanje s reducentami; reducent; reducentami abo razkladnymi formami; reducenty,редуцент; редуценти,редуцент; редуценты
reducible,reducible,,D_background,0,,2,arabic_farsi_persianate; interslavic,,,,,,,,,,lane_status_review_or_gap,0.4,interslavic:noether_paper02_section03_terms.json; noether_paper02_section15_terms.json; noether_paper02_section19_terms.json,,,,
reduction,reduction,noether_corpus,C_core_fill,24,C2 core; C2 missing 3 lanes; C2 context pending; Noether/historical stratum,2,arabic_farsi_persianate; interslavic,noether_corpus,pan_romance; controlled_arabic; malay_indonesian,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.2,interslavic:noether_paper02_section03_terms.json; noether_paper02_section06_terms.json; noether_paper02_section07_terms.json; noether_paper02_section15_terms.json,,,,
regular representation,regular representation,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-0,1.1,,regulaere darstellung; reguläre Darstellung; reguläre darstellung,regularno predstavjenje,регулярне зображення,регулярное представление
relation,relation,proof_grammar,C_core_fill,14,C2 core; C2 missing 4 lanes,1,malay_indonesian,proof_grammar,pan_romance; controlled_arabic; arabic_farsi_persianate; interslavic,True,,,,,,,C2_core; C2_missing_lanes,1.75,malay_indonesian:UKM relation course rows; Indonesian algebra rows,,,,
relatively complete system,relatively complete system,noether_corpus,C_core_fill,24,C2 core; C2 missing 3 lanes; C2 context pending; Noether/historical stratum,2,arabic_farsi_persianate; interslavic,noether_corpus,pan_romance; controlled_arabic; malay_indonesian,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.2,interslavic:noether_paper02_section03_terms.json; noether_paper02_section07_terms.json,,,,
relatively prime,relatively prime,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:9068"", ""fr"": ""french/math_0507070v1/jlctbbki27juin.tex:1742""}",,,,
remark,remark,proof_grammar,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,Nachbemerkung; bemerkung; nachbemerkung; vorbemerkung,Dodatna primětka; Dodatna zamětka; primětka,Додаткова заувага; примітка,Дополнительное замечание; примечание
representation,representation,curriculum_algebra,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,curriculum_algebra,interslavic,True,support+competitor,support,confirm_current,stable,predstavjenje?,"{""dependence_pd"": ""predstavjenje?"", ""equal_branch"": ""predstavjenje?"", ""equal_splits"": ""predstavjenje?"", ""population_proxy"": ""predstavjenje?""}",C2_core; C2_missing_lanes; F10-0; F10-1; lane_status_review_or_gap,4.6,"bulgarian_sofia_noncommutative_body_problem.txt; croatian_mathhr_algebra_structures_2024.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; malay_indonesian:UM terminology/course rows; pan_romance:{""es"": ""cum_es.tex:6716"", ""fr"": ""french/0605499v2/indice1.tex:50""}; polish_mimuw_left_ideals_idempotents.txt",Moduldarstellung; Nichtexistenz der expliziten Darstellung; Rechtsdarstellung / Linksdarstellung; Zentrum / Darstellungen des Zentrums; darstellung; darstellungen; explizite Darstellung; kürzeste Darstellung; reziproke Darstellung; direkte Darstellung; triviale Darstellung,centar / predstavjenja centra; eksplicitno predstavjenje; modulno predstavjenje; najkrajše predstavjenje,модульне подання; найкоротше подання; обернене представлення; пряме представлення; праве подання / ліве подання,кратчайшее представление; модульное представление; обратное представление; прямое представление; правое представление / левое представление
representation module,representation module,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Darstellungsmoduln; darstellungsmodul; darstellungsmoduln,moduly predstavjenja,модулі зображення,модули представлений
residue class,residue class,curriculum_algebra,D_background,0,,1,pan_romance,,,,,,,,,,F10-1,1.3,"pan_romance:{""es"": ""cum_es.tex:8013"", ""fr"": ""french/math_0611584v2/fast-xxx2.tex:2734""}",endlich viele linear unabhängige Restklassen; restklasse; restklassen,konečno mnogo ostatkovyh klasov linearno nezavisnyh,скінченно багато лінійно незалежних класів лишків,конечное число линейно независимых классов вычетов
residue class field,residue class field,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-0,1.1,,Restklassenkörper; Restklassensystem / Restklassenkörper; restklassenkoerper; restklassenkörper,polje ostatkovyh klasov; sistem ostatkovyh klasov / polje ostatkovyh klasov,поле класів лишків; система класів лишків / поле класів лишків,поле классов вычетов; система классов вычетов / поле классов вычетов
respectively,respectively,proof_grammar,C_core_fill,22,C2 core; C2 missing 4 lanes; C2 context pending,1,pan_romance,proof_grammar,controlled_arabic; arabic_farsi_persianate; malay_indonesian; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes,1.0,"pan_romance:{""es"": ""cum_es.tex:330"", ""fr"": ""cum_fr_P19s12.tex:358""}",,,,
resultant,resultant,noether_corpus,B_backfill_or_variant,26,C2 core; C2 missing 4 lanes; C2 context pending; Noether/historical stratum,1,malay_indonesian,noether_corpus,pan_romance; controlled_arabic; arabic_farsi_persianate; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes,1.0,malay_indonesian:UM terminology resultant rows,resultante; resultanten,,,
right,right,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:346"", ""fr"": ""cum_fr_P19s12.tex:249""}",,,,
ring,ring,curriculum_algebra,A_review_now,92,weighted_review_priority; W/S competitor-only both branches; internal variance; C2 core; multi-lane core,5,arabic_farsi_persianate; controlled_arabic; interslavic; malay_indonesian; pan_romance,curriculum_algebra,,True,competitor_only,competitor_only,review_priority,weight_sensitive,kolco,"{""dependence_pd"": ""prsten / pierścień / prăsten coalition"", ""equal_branch"": ""prsten / pierścień / prăsten coalition"", ""equal_splits"": ""prsten / pierścień / prăsten coalition"", ""population_proxy"": ""kolco""}",C2_core; F10-1; F10-3; WS_competitor_only_both; internal_variance; lane_status_review_or_gap; weighted_review_priority,4.95,"bulgarian_sofia_noncommutative_body_problem.txt; bulgarian_sofia_rings_lecture7.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; interslavic:noether_paper02_section03_terms.json; malay_indonesian:UIN ring/gelanggang; UKM/UMT gelanggang; pan_romance:{""es"": ""cum_es.tex:8054"", ""fr"": ""french/0711.3658v2/rat1e.tex:66""}",Automorphismenring; Halbeinfacher Ring; Homomorphiesatz für Ringe; Produktenring; Quotientenring; Restklassenbereich / Restklassenring; echter Unterring; ring; ringe; zweiseitig unzerlegbare Ringe,dvustranno nerazložime kolca; kolco avtomorfizmov; kolco kvocientov; kolco produkta,власне підкільце; двосторонньо нерозкладні кільця; кільце автоморфізмів; кільце добутку,двусторонне неразложимые кольца; кольцо автоморфизмов; кольцо произведения; кольцо частных
ring without radical,ring without radical,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-3,1.1,,Ring ohne Radikal; ring ohne radikal,kolco bez radikala,кільце без радикала,кольцо без радикала
root,root,,D_background,0,,1,malay_indonesian,,,,,,,,,,,0.2,malay_indonesian:UIN polynomial rows; Malay terminology,,,,
set,set,curriculum_algebra,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; interslavic; malay_indonesian,curriculum_algebra,pan_romance,True,support+competitor,support+competitor,confirm_current,stable,množstvo?,"{""dependence_pd"": ""množstvo?"", ""equal_branch"": ""množstvo?"", ""equal_splits"": ""množstvo?"", ""population_proxy"": ""množstvo?""}",C2_core; C2_missing_lanes; lane_status_review_or_gap,3.5,bulgarian_sofia_noncommutative_body_problem.txt; bulgarian_sofia_rings_lecture7.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_cuni_telesa_pole_note.txt; interslavic:noether_paper02_section06_terms.json; malay_indonesian:Indonesian algebra/set rows,,,,
simple,simple,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-1,1.1,,einfach; zweiseitig einfach,dvustranno prosty; prosta grupa,двобічно простий; проста група,двусторонне простой; простая группа
splitting field,splitting field,curriculum_algebra,B_backfill_or_variant,28,W/S competitor-only one branch; variant/doublet note,0,,,,,competitor_only,support,variant_or_doublet_note,stable,razpadno polje,"{""dependence_pd"": ""razpadno polje"", ""equal_branch"": ""razpadno polje"", ""equal_splits"": ""razpadno polje"", ""population_proxy"": ""razpadno polje""}",F10-0; WS_competitor_only_one_branch; variant_or_doublet_note,2.4,czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; polish_mimuw_algebra2_galois.txt; polish_mimuw_noncommutative_body.txt; polish_uj_algebra1_noetherian.txt,Zerfällungskörper; auflösbarer Zerfällungskörper; auflösbarer zerfällungskörper; zerfaellungskoerper; zerfällungskörper,polje razloženja; rěšimo polje razloženja,поле розщеплення; розв'язне поле розщеплення,поле разложения; разрешимое поле разложения
splitting form,splitting form,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-0; F10-1; F10-2,1.1,,zerfallen / zerfallende Form; zerfallen / zerfallende Formen; zerfallende Form; zerfallende Formen; zerfallende form; zerfallende formen; zerfällt / zerfallende Form,razklada se / razkladna forma; razkladajut se / razkladne formy; razkladati se / razkladna forma; razkladna forma,"розкладатися / розкладна форма; розкладаються / розкладні форми; розкладається / розкладна форма; форми, що розкладаються",разлагается / разложимая форма; разлагаться / разложимая форма; разлагаются / разложимые формы; разлагающиеся формы
statement,statement,proof_grammar,C_core_fill,12,C2 core; C2 missing 3 lanes,2,interslavic; malay_indonesian,proof_grammar,pan_romance; controlled_arabic; arabic_farsi_persianate,True,,,,,,,C2_core; C2_missing_lanes; lane_status_review_or_gap,1.95,interslavic:noether_paper02_section15_terms.json; malay_indonesian:UKM proof-course rows,,,,
subgroup,subgroup,curriculum_algebra,C_core_fill,12,C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,curriculum_algebra,interslavic,True,,,,,,,C2_core; C2_missing_lanes; lane_status_review_or_gap,2.35,"malay_indonesian:UKM group theory rows; Indonesian group rows; pan_romance:{""es"": ""cum_es.tex:4382"", ""fr"": ""cum_fr_P19s12.tex:4334""}",,,,
submodule,submodule,,D_background,0,,2,arabic_farsi_persianate; controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.4,,,,,
subset,subset,curriculum_algebra,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; controlled_arabic; malay_indonesian,curriculum_algebra,pan_romance; interslavic,True,support+competitor,support+competitor,confirm_current,stable,podmnožstvo?,"{""dependence_pd"": ""podmnožstvo?"", ""equal_branch"": ""podmnožstvo?"", ""equal_splits"": ""podmnožstvo?"", ""population_proxy"": ""podmnožstvo?""}",C2_core; C2_missing_lanes; lane_status_review_or_gap,3.3,bulgarian_sofia_noncommutative_body_problem.txt; bulgarian_sofia_rings_lecture7.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; malay_indonesian:UM terminology; Indonesian set rows; polish_impan_algebra_lecture3.txt,,,,
substitution,substitution,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,,0,,substitution; substitutionen,,,
surjective,surjective,,D_background,0,,1,controlled_arabic,,,,,,,,,,,0.2,,,,,
system of forms,system of forms,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Formensystem; formensystem,sistem form,,
tensor product,tensor product,,D_background,0,,1,controlled_arabic,,,,,,,,,,lane_status_review_or_gap,0.2,,,,,
ternary form,ternary form,noether_corpus,B_backfill_or_variant,26,C2 core; C2 missing 4 lanes; C2 context pending; Noether/historical stratum,1,arabic_farsi_persianate,noether_corpus,pan_romance; controlled_arabic; malay_indonesian; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; lane_status_review_or_gap,1.0,,,,,
theorem,theorem,proof_grammar,B_backfill_or_variant,40,W/S competitor-only one branch; variant/doublet note; C2 core; C2 missing 1 lanes; multi-lane core,4,arabic_farsi_persianate; controlled_arabic; malay_indonesian; pan_romance,proof_grammar,interslavic,True,competitor_only,support,variant_or_doublet_note,stable,teorema,"{""dependence_pd"": ""teorema"", ""equal_branch"": ""teorema"", ""equal_splits"": ""teorema"", ""population_proxy"": ""teorema""}",C2_core; C2_missing_lanes; WS_competitor_only_one_branch; lane_status_review_or_gap; variant_or_doublet_note,3.65,"bulgarian_sofia_noncommutative_body_problem.txt; croatian_mathhr_algebra_structures_2024.txt; croatian_pmf_split_prsteni.txt; czech_cuni_algebra_2021.txt; czech_cuni_noncommutative_body_thesis.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; czech_karlin_galois_splitting_field.txt; malay_indonesian:UKM theorem rows; UIN/Neliti theorem labels; pan_romance:{""es"": ""cum_es.tex:336"", ""fr"": ""french/1303.5221v2/Brnr.tex:117""}",saetze; satz; sätze,,,
therefore,therefore,proof_grammar,C_core_fill,22,C2 core; C2 missing 4 lanes; C2 context pending,1,pan_romance,proof_grammar,controlled_arabic; arabic_farsi_persianate; malay_indonesian; interslavic,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes,1.0,"pan_romance:{""es"": ""cum_es.tex:347"", ""fr"": ""cum_fr_P19s12.tex:380""}",,,,
trace,trace,curriculum_algebra,B_backfill_or_variant,28,W/S competitor-only one branch; variant/doublet note,0,,,,,competitor_only,support,variant_or_doublet_note,stable,sled?,"{""dependence_pd"": ""sled?"", ""equal_branch"": ""sled?"", ""equal_splits"": ""sled?"", ""population_proxy"": ""sled?""}",WS_competitor_only_one_branch; variant_or_doublet_note,1.3,bulgarian_sofia_noncommutative_body_problem.txt; bulgarian_sofia_rings_lecture7.txt; czech_cuni_representation_idempotents.txt; czech_karlin_commutative_rings_fields.txt; polish_mimuw_noncommutative_body.txt,spur,,,
transformation quantities,transformation quantities,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-1,1.1,,Transformationsgrößen; transformationsgroessen; transformationsgrößen,transformacijne veličiny,трансформаційні величини,трансформационные величины
transvection,transvection,noether_corpus,C_core_fill,24,C2 core; C2 missing 3 lanes; C2 context pending; Noether/historical stratum,2,arabic_farsi_persianate; interslavic,noether_corpus,pan_romance; controlled_arabic; malay_indonesian,False,,,,,,,C2_context_pending; C2_core; C2_missing_lanes; F10-1; lane_status_review_or_gap,2.3,interslavic:noether_paper02_section03_terms.json; noether_paper02_section19_terms.json,einmalige ueberschiebung; einmalige Überschiebung; einmalige überschiebung; ueberschiebung; Überschiebung; überschiebung,jednokratna transvekcija; jednorazovy prěnos; transvekcija,,
two sided,two-sided,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""cum_es.tex:9181"", ""fr"": ""french/2211.16134v2/2211_unpacked/DT-TJM-revision.tex:337""}",,,,
two sided module,two-sided module,noether_corpus,D_background,4,Noether/historical stratum,0,,,,,,,,,,,F10-0; F10-1,1.1,,Doppelmodul; doppelmodul,dvojny modul odnosno bimodul; dvomodul,бімодуль; подвійний модуль / бімодуль,бимодуль; двойной модуль / бимодуль
unique,unique,,D_background,0,,1,pan_romance,,,,,,,,,,,0.2,"pan_romance:{""es"": ""spanish/1312.6798v1/uqc.tex:195"", ""fr"": ""cum_fr_P19s12.tex:3753""}",,,,
unit,unit,curriculum_algebra,D_background,0,,0,,,,,,,,,,,F10-3,1.1,,Ringe mit Einheitselement / Ring mit Einheit; einheit; einheiten,kolca s jediničnym elementom / kolco s jedinico,кільця з одиничним елементом / кільце з одиницею,кольца с единицей / кольцо с единицей
unit ideal,unit ideal,curriculum_algebra,D_background,0,,1,pan_romance,,,,,,,,,,F10-1,1.3,"pan_romance:{""es"": ""cum_es.tex:10734"", ""fr"": ""french/math_0206203v2/smf_doc-math_3_01.tex:936""}",Einheitsideal / Nullideal / \frako; einheitsideal,jediničny ideal / nulovy ideal / \frako kako jediničny ideal,одиничний ідеал / нульовий ідеал / \frako як одиничний ідеал,единичный идеал / нулевой идеал / \frako как единичный идеал
variable,variable,curriculum_algebra,D_background,10,C2 core; C2 missing 2 lanes,3,arabic_farsi_persianate; interslavic; malay_indonesian,curriculum_algebra,pan_romance; controlled_arabic,,,,,,,,C2_core; C2_missing_lanes; lane_status_review_or_gap,1.4,interslavic:noether_paper02_section01_terms.json; noether_paper02_section06_terms.json; malay_indonesian:UKM/UM terminology,variabeln; variable; veraenderliche; veränderliche,,,
