stable_id,volume,authority_sha256,pdf_physical_page,printed_page,french_source_file,french_source_line,french_source_text,english_source_file,english_source_sha256,english_source_line,english_current_text,source_backed_disposition,status
EG-EGA-I-P54-555-Y-IN-Y-VS-Y-IN-X-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,53,54,source/ega1/ega0-1-fr.tex,3849-3853,"(e_i)_y soit égal au i-ème élément de la base canonique de O_y^m pour tout y in X",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,489,"(e_i)_y is equal to the i-th element of the canonical basis of O_y^m for each y in Y","No space Y occurs in the proposition; NUMDAM prints y in X. English must restore X",CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P54-555-Y-IN-V-VS-Y-IN-U-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,53,54,source/ega1/ega0-1-fr.tex,3857-3860,"Il existe un voisinage U subset V tel que les s_i(y) forment une base pour tout y in V",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-5.tex,CDF520A527EDD63F59558253D0D553856D26AA0D57D430221B6BE93146A8D83B,491,"There exists a neighbourhood U subset V such that the s_i(y) form a basis for each y in V","The asserted shrinking to U is otherwise vacuous and the ensuing isomorphism is over U; NUMDAM visibly prints V. Diplomatic French retains V and English must use y in U with a visible source note",CONFIRMED_FRENCH_SOURCE_DOMAIN_TYPO_ENGLISH_CORRECTION_REQUIRED_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P54-60-FOOTNOTE-CITED-OF-FROM-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,53,54,source/ega1/ega0-1-fr.tex,3876-3878,"Voir l'exposé cité de N. Bourbaki pour la généralisation de la plupart des résultats au cas non commutatif",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,8-10,"See the exposé cited of N. Bourbaki for the generalization from most of the results to the noncommutative case","Use 'the cited exposé by N. Bourbaki' and 'the generalization of most of the results' or an equivalent grammatical rendering",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P55-612-FLAT-A-MODULES-VS-MODULE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,54,55,source/ega1/ega0-1-fr.tex,3912-3916,"Pour qu'une somme directe de A-modules soit un A-module plat",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,40-42,"For a direct sum of A-modules to be a flat A-modules","The predicate complement is singular: 'a flat A-module'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P55-612-IS-IT-VS-IT-IS-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,54,55,source/ega1/ega0-1-fr.tex,3925-3929,"En outre, pour que M soit plat, il faut et il suffit alors que M' le soit",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,51,"In addition, for M to be flat, is it necessary and sufficient that M' is","English has interrogative word order in a declarative sentence; use 'it is necessary and sufficient that M' be flat'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P55-613-SOIENT-VS-SOIT-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,54,55,source/ega1/ega0-1-fr.tex,3934,"Soient M un A-module plat, N un A-module quelconque",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,56,"Let M be a flat A-module, N any A-module","NUMDAM visibly prints plural 'Soient' before the singular first declaration 'M un ...'; diplomatic French retains it and English's grammatical normalization requires a visible source note",CONFIRMED_FRENCH_SOURCE_GRAMMAR_TYPO_ENGLISH_NORMALIZATION_REQUIRED_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P55-613-MISSING-AND-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,54,55,source/ega1/ega0-1-fr.tex,3934-3935,"pour deux sous-modules N', N'' de N",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,56,"for two submodules N' N'' of N","English omits the conjunction or separating comma between N' and N''",CONFIRMED_ENGLISH_GRAMMAR_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P55-614-MISSING-IM-RHS-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,54,55,source/ega1/ega0-1-fr.tex,3951-3957,"Im(M' tensor N') = Im(M' tensor N) intersection Im(M tensor N')",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,69,"Im(M' tensor N') = Im(M' tensor N) intersection (M tensor N')","English drops Im from the second factor on the right-hand side and thereby changes the submodule identity; restore Im(M tensor N')",CONFIRMED_ENGLISH_MATHEMATICAL_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P55-62-MODULES-STRUCTURES-VS-MODULE-STRUCTURES-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,54,55,source/ega1/ega0-1-fr.tex,3964-3968,"un groupe additif M est muni de plusieurs structures de module",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,76-79,"an additive group M is equipped with multiple modules structures ... we say ..., we sometimes also say","Use singular attributive 'multiple module structures' and separate the two independent clauses",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P57-633-HOMOMORHISM-VS-HOMOMORPHISM-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,56,57,source/ega1/ega0-1-fr.tex,4077-4079,"pour tout homomorphisme injectif u : N' vers N de A-modules",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,172,"for each injective homomorhism u : N' to N of A-modules",English misspells homomorphism,CONFIRMED_ENGLISH_SPELLING_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P57-633-THAT-VS-THAN-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,56,57,source/ega1/ega0-1-fr.tex,4092-4097,"v_n n'est autre que l'homomorphisme 1 tensor u",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,182-184,"v_n is none other that the homomorphism 1 tensor u",Use the grammatical idiom 'none other than',CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P57-634-DIVIDE-ZERO-VS-ZERO-DIVISOR-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,56,57,source/ega1/ega0-1-fr.tex,4106-4112,"si f in A n'est pas diviseur de 0 dans A",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,193-197,"if f in A does not divide 0 in A","The algebraic term is 'f is not a zero divisor in A'; 'does not divide 0' reverses the intended terminology",CONFIRMED_ENGLISH_MATHEMATICAL_TERMINOLOGY_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P57-634-FROM-THAT-VS-FROM-THE-FACT-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,56,57,source/ega1/ega0-1-fr.tex,4121-4122,"La proposition résulte dans ce cas de ce que M est un A-module libre",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,205-206,"The proposition follows in this case from that M is a free A-module","Use 'from the fact that M is a free A-module' or an equivalent grammatical rendering",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P57-634-MISSING-B-BEFORE-NEQ-SRC-TYPO-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,56,57,source/ega1/ega0-1-fr.tex,4124-4126,"faisant de B un A-module plat et != {0}",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,208-209,"making B a flat A-module and != {0}","NUMDAM visibly omits the subject B before != {0}; the mathematical condition is B != {0}. Diplomatic French retains the omission; English must supply B with a visible source note",CONFIRMED_FRENCH_SOURCE_SUBJECT_OMISSION_ENGLISH_CORRECTION_REQUIRED_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P57-641-B-MISSING-AND-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,56,57,source/ega1/ega0-1-fr.tex,4142-4143,"M est plat et pour tout A-module N, la relation M tensor N=0 entraîne N=0",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,224,"M is flat for each A-module N, the relation M tensor N=0 implies N=0","Restore the conjunction: M is flat, and for every A-module N the displayed implication holds",CONFIRMED_ENGLISH_LOGICAL_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P57-641-C-MISSING-IMPLIES-V-EQUALS-ZERO-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,56,57,source/ega1/ega0-1-fr.tex,4144-4146,"la relation 1_M tensor v=0 entraîne v=0",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,225-226,"the relation 1_M tensor v=0, 1_M being the identity automorphism of M","English omits the conclusion 'implies v=0' and also needs the conjunction after 'M is flat'; restore the full logical condition",CONFIRMED_ENGLISH_MATHEMATICAL_OMISSION_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P57-641-D-MISSING-AND-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,56,57,source/ega1/ega0-1-fr.tex,4147-4148,"M est plat et pour tout idéal maximal m de A, mM != M",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,227,"M is flat for each maximal ideal m of A, mM != M","Restore the conjunction: M is flat, and mM != M for every maximal ideal m",CONFIRMED_ENGLISH_LOGICAL_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P58-642-IF-VS-ONLY-IF-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,57,58,source/ega1/ega0-1-fr.tex,4162-4165,"S^{-1}A n'est un A-module fidèlement plat que si S est formé d'éléments inversibles",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,237-240,"S^{-1}A is a faithfully flat A-module if S consists of invertible elements","French states a necessary condition ('only if'), while English states a sufficient condition ('if') and reverses the logical direction",CONFIRMED_ENGLISH_MATHEMATICAL_LOGIC_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P58-645-A-MODULES-VS-A-MODULE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,57,58,source/ega1/ega0-1-fr.tex,4190-4192,"Si M est un A-module fidèlement plat",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,260-264,"If M is a faithfully flat A-modules","The singular subject requires 'a faithfully flat A-module'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P59-661-PERIOD-VS-COMMA-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,58,59,source/ega1/ega0-1-fr.tex,4251-4253,"et pour tout A-module M, l'homomorphisme x mapsto 1 tensor x",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,312-314,"and for each A-module M. the homomorphism x mapsto 1 tensor x","Replace the sentence-breaking period after M with a comma",CONFIRMED_ENGLISH_PUNCTUATION_TRANSCRIPTION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P59-662-OFFICIAL-EGA-II-ERRATUM-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,58,59,source/ega1/ega0-1-fr.tex,4269-4274,"En effet, comme mB != B ... le critère e) de (6.6.1) s'applique",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,330,"Indeed, [erratum II] this follows from (6.4.1)(d)","Supported exactly by EGA II authority SHA 111834EFFFE9E90D068389D418F08925A82B4A54AE2957F080712D4180E032EB physical page 214 / printed page 217: replace EGA I p.59 lines 10--11 by 'En effet, cela résulte de (6.4.1, d))'. Diplomatic French retains the original EGA I printing",CONFIRMED_OFFICIAL_EGA_II_ERRATUM_ENGLISH_CORRECTION_JUSTIFIED
EG-EGA-I-P59-671-OFFICIAL-EGA-II-ADDENDUM-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,58,59,source/ega1/ega0-1-fr.tex,4304-4313,"Original EGA I 6.7.1 ends after the definition of a flat morphism",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,365,"[erratum II] If f is a flat morphism, we then say that X is flat over Y, or Y-flat","Supported exactly by EGA II authority SHA 111834EFFFE9E90D068389D418F08925A82B4A54AE2957F080712D4180E032EB physical page 214 / printed page 217: add the corresponding sentence before the tenth line from the bottom of EGA I p.59. Diplomatic French retains the original EGA I printing",CONFIRMED_OFFICIAL_EGA_II_ADDENDUM_ENGLISH_INSERTION_JUSTIFIED
EG-EGA-I-P60-674-WITH-VS-WHICH-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,59,60,source/ega1/ega0-1-fr.tex,4348-4349,"propositions sur les faisceaux f-plats en un point",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,394-395,"propositions for sheaves with are f-flat at a point","Replace 'with are' by 'which are' or an equivalent grammatical rendering",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P60-674-A-MODULES-VS-A-MODULE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,59,60,source/ega1/ega0-1-fr.tex,4364-4367,"notions correspondantes de O_X-Module f-plat au-dessus de y",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,405-407,"notions of a f-flat O_X-modules over y","The singular article requires 'an f-flat O_X-module'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P60-676-QUESTIONS-VS-QUESTION-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,59,60,source/ega1/ega0-1-fr.tex,4393,"la question étant locale",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,429,"since the questions is local","Use singular 'the question is local'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P60-676-RIGHT-VS-LEFT-EXACT-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,59,60,source/ega1/ega0-1-fr.tex,4394-4396,"les deux membres de (6.7.6.1) sont des foncteurs exacts à gauche en F",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,429-431,"The two sides ... are right exact functors in F","French states left exact; English reverses this to right exact and changes the mathematical assertion",CONFIRMED_ENGLISH_MATHEMATICAL_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P60-676-HAVE-REDUCED-VS-ARE-REDUCED-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,59,60,source/ega1/ega0-1-fr.tex,4395-4397,"on est alors ramené à démontrer la proposition",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,431-432,"we then have reduced to proving the proposition","Use 'we are then reduced to proving' or 'it remains to prove'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P60-678-MISSING-PREDICATE-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,59,60,source/ega1/ega0-1-fr.tex,4407-4410,"pour qu'un O_Y-Module G soit Y-plat, il faut et il suffit que f^*(G) le soit",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-6.tex,2D74339B8ACFFC12FBFB21C915B0CC7F0EFB670D28AF3A9C7A952773679571E3,441-444,"for an O_Y-module G to be Y-flat, it is necessary and sufficient that f^*(G) is","English ends after 'is' and omits the predicate that f^*(G) is Y-flat (or 'is so')",CONFIRMED_ENGLISH_MATHEMATICAL_OMISSION_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P60-61-712-A-VS-AN-INTEGER-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,59-60,60-61,source/ega1/ega0-1-fr.tex,4430-4436,"il existe un entier n>0 tel que J^n soit contenu dans V",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,18-22,"there exists a integer n>0 such that J^n is contained in V","Replace the ungrammatical article 'a' by 'an'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P61-714-MISSING-IS-SATISFIED-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,60,61,source/ega1/ega0-1-fr.tex,4486-4489,"elle est suffisante, car si elle est remplie",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,73-76,"it is sufficient, since if it satisfied","Restore the missing finite verb: 'if it is satisfied'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P61-716-THAT-VS-THOSE-HYPOTHESES-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,60,61,source/ega1/ega0-1-fr.tex,4499-4500,"Les notations et hypothèses étant celles de (7.1.4)",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,87-88,"The notation and hypotheses being that of (7.1.4)","Use plural agreement: 'the notation and hypotheses being those of (7.1.4)'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
EG-EGA-I-P61-716-EXISTENCE-SENTENCE-GRAMMAR-EN-001,EGA_I,9ABA23020217535977E279BDD06A0413F48DA703086865BA4C00766C85DF4AE6,60,61,source/ega1/ega0-1-fr.tex,4507-4510,"Pour qu'il existe un idéal J_0 ayant ces propriétés, il faut et il suffit que le nilradical de A/J soit nilpotent",<REDACTED_USER_HOME>/Documents/interlanguage/03_projects/language_management/english_germanic/<REDACTED_INTERNAL_WORKSPACE>/EGA_English_Global_0_IV_complete_linked_reader_20260801_r1/source/ega0/ega0-7.tex,DA01D1C953C721896DFBD2FCA241D25EE61625963AEAFCC9F14F69280E99F77C,94-97,"For there to exist an ideal J_0 to have these properties, it is necessary and sufficient that the nilradical of A/J to be nilpotent","Render grammatically: 'For an ideal J_0 with these properties to exist, it is necessary and sufficient that the nilradical of A/J be nilpotent'",CONFIRMED_ENGLISH_GRAMMAR_TRANSLATION_ERROR_PENDING_NO_OVERWRITE_SUCCESSOR
