authority_pdf_page	source_volume_page	paper_folio	prompt_id	disposition	source_status	english_status	apparatus_status	final_status	record_sha256_source	record_sha256_english	record_sha256_apparatus
146	639	288	P25	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	BD6D5A51CF37DDB445E0F820E1F931B67B48847A51B8CE46E4DC4301ABE1D341	D7CF5B338C4D5D083D89E9BAE1199E1102B52D57CE159B05983B8A2110FDB09D	E22FA682C3E6F6B9B14C0EA679642E002D88E7A9451D66B7A0D2E7DE1EEE86FC
147	640	289	P25	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	96ABAD94E6B60B299E059CC8DBD72A694FF3EF3318A3F5A710057DC59CE017A9	CCA37F405890164586E422BE63A83CE857DE4C72CE25B0022EB2E9BB89AFDDF2	CD5E9CC115C3BBB6160BA958A89063615FFE930BD7DBA4D50DC4E7C22593DDF0
148	641	290	P25	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	85D470CEE69DDFD3AC51A14CFF5029A0CA3A88C6AC6E247B01500E82896610EF	76CFC2EF13B139A3FC0D6BDA32FFAD3051BA7C225E5C9ACCC87ABBD554E02E5B	986E3940A8D593A4310349A9EA1A8431C1815F4E89AF9210918380138FB2CEA7
149	642	291	P25	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	3F6E98557905DEE7AED4A523C726D0A9220FD2DCF055F04BF28ADE7523DDAE43	0AD625DA4AECF52255BD4E52A8621A09F960FDC732A2AE034C377740ECE06550	2CAD8DDBEC5E9C3E895DD7B22E6D6F68187361FCC1F86DF509499864C639E2BD
150	643	292	P25	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	23544616F3F1839873467F818AAD8011E5536B766063FF5486E92BD907BE3E90	C6BECA3D4ABCFF813378C9388B4ADB6AC4BC538B66861A4470EBCCDA27B7E374	CFFD8995C87F5117B7C76A7992DBE23E1704888D905DD2EB254D45C52FB79DAC
151	644	293	P26	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	BD525A9FE2A51D99DAA149C0B1B2B68B5385F2B7E6D50B3578E9C2F999C26FEB	9CBB0A373BA835B3285D99F6EA7E8FABEDCB043EA15CE4D53632178191E8FBDE	36961F5142C46DF3385E359968BCBD3E95444C2E286DECA7F1417441BBD1C606
152	645	294	P26	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	8A9B41EB7233ED7D0DF9E3FC2543A5C6B1EDDAAE34CA38ABC50BE5FB7F0BBBFC	27FAE6E8997049526B4040E5EF36F2247FA17959D898F2FC8AE08C08FF083828	A95F1CD258C7F8434DD7E606F68BE6167855B7F90DA4C98C3AB911460FD34B97
153	646	295	P26	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	990C13A740D7494F1D3B2A6138A8B4DC20CC8B0BBC0483249E29C91DCB96F77A	C7916C63408B30EC76B8013F72EEEC21407824FDD6C1CB313446BEA24D6D05B3	3F47B9511B3A2C6BCB5F8490407E7B43ADD1ADE2B3CDA9824DB58F3C04CBFF60
154	647	296	P26	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	94E44185EA7DF45C9C118A749963FFE86167038762A7520FCD94764E822AD9D4	75B25463CBF1A19CF73A080F5CB34B4815DAAF08C9CC71396ABD370A1E1106E1	B1F0564E1569E4DC5E30B9669C5B3C4E6DD382D6A0EC6BDA1CAB416B22796615
155	648	297	P26	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	578291669DEF52DB72283052A650C01F13E99F49FB521124370803EA3972FC9B	B16388D74CEF4241F299E54F661EEA17EDF45A97AD3C467E1C2A19FD0D6BA39D	A4F83574A88101D3455BAC1516610C3C8E0584293D01CF06703607566952EF72
156	649	298	P26	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	02218EFE0293EB7E3938066E7944468824FC3619EC3A6EC0625127DFA373A327	8C7C9B9C59FC0F0C2AC10825FBC2ED526AC69033C06E746651E07FE71279C384	0819076A125AACBC41EB565AD5772C97813925A33E7764181A473E8D59E0142F
157	650	299	P27	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	AEA67537D23E8DD5CFBFF255DA3ABCEF4C7399B8313CFFB2521E60FB4B369D45	604DA9C98187014B43A4400519EB199FD3412EA59CCB64716E6D1DF7D80E945F	04F620A3AFCF01669598A17C65016B0C898EA809CCC842FF8F81562400FD7F65
158	651	300	P27	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	F909CBEA12833BFD63D8BF1E06B6EC2577892340C0A6D332AF71A83ECC0B1C5D	02CE9E3653D511B980859B006BD61EA39DE22074D6833A549303B25F81B52EDE	02470958786E37596AFC8A6AF1943ED62B4A15B2E0983BAF838E21726FA513E4
159	652	301	P27	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	A113DBAE96EFAFA3EF5DD6ED275498CB3C2144D4BA4B2D6CD3AD10BC047DBC7A	6FABFF2DD9EE0B0BAFE4DDBE2F0548DFB69CFEF028CEBEA3376E6CBF7CDE3293	4E6311E474BE73A306073E4337F13BBC47748720728A91822A5812D9775FC5B9
160	653	302	P27	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1BF49E8BADC0A441B85F9709051907C0BFC9AD24BAC39486C6B22C4E013A3F86	D4A46D8C211509E058DA5DBE06C557C7862C06ECA1AF0C29804029A0909A9921	712632EB02DE1E80F8CF4DB792389D1BB449BE94835DF25507CD0F1AE68FE0CB
161	654	303	P27	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	1203E02426885D7038076336533554C01DA87D93C1BD535C6791C298203C5A46	F722E3DD8266BFFB7818C2B060B5BFE6D9D73C05D1850BE6581762C04CCB7447	8986F8519429F564CAC9D7FF266A64A14D1EAE94A2E0EA0FE23C405F7D6BC272
162	655	304	P27	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	2F67B357D58990405C16049D2A18CF6B4B71F17FF234FFBF296D282ED3109863	D28DEE904A3B456609654C0B6905B5AA11674A2F8508AA1C2525ADECCC4A5357	09D26DF1310BEEDDF6251AE76744BFEB2D245AA0BD13CCE911DD4FC7F0C792C1
163	656	305	P28	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	E9DD308843EC5DCF926FDA291649683B977262EDE4D7CF5EC1BFEA709CC4916F	AADF33D9528155B7F99EB33AAEAF55E5A3C2C69113258F8B659BAC7F44823427	FD026512DD159E928FDCCA0F2CED5FDF7493075F02F0581AC1CC0FAECE850A7A
164	657	306	P28	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D448BCA4351A101E21E37FA52D2796874B9CEDCA8A3313B948EE2491125B1721	DBFD66C9AB0ED9A63C12B24FD46661CE7B6C6AEABEDFBD254DC8690F2FE5A770	4B4348596BBAE798D9B825A7F613765479404AA91CFB1C5043FB8BB959B42B23
165	658	307	P28	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D30171D99E28E67BB54A9BFAB801803E5AE38DF5747E9AC98FBBC91DD59417DE	C27CE03FF5D90DE0EB176B509F0E647FBEA844031A6E2332B6D8C32F147F3F86	661C0AF142239A69248A5D904D870E37DCC7557C3FC83DF915193FCD08F326EE
166	659	308	P28	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	10CFD074D41CDF639391B8A17651C29FD7BE95DB11F54DA2A7879DBAADAF4563	22F06C708CAE6CF2B7D8D4DD451927A67C42CEE7E317DA3AF76D09352D1725EF	3120B416BE5707DAFD228723B3F9920F66BFCDDD22B4CB43C44108D4ACC32CC9
167	660	309	P28	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	DF3FD9A0A246A745394E3723151BDFCFCE84660B590DA1EA03CAFAED6852F180	288D1C26225AC7511461056967EFFC795C37869E96305B5E183098F19B787B99	B5EC6109C6638B5FAA61FDB7DB121C895DD929832F2C4B04F745AFF0C0AF6F68
168	661	310	P28	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	5AF276C90610C21689B600AFB446DDCDB5B557ACBAFD358095F805C7FE078F3A	CCB65405EC6720F61CF06B7FE9FE3F502E711EBFFF14E9DE4AEE547046859ED3	6E3170DFBCB14786FA33D3EE6CD44B35B3507E841213D32A2E73B16BC96A0BA5
169	662	311	P29	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	E4544EF619A8BC01E7E2D92A47D32AB5FC7D41098FC1133FA3948CF9DBDB17D0	5195341351F59FB9B40680B0C0752A1972B6691E5741A8D709E217537A1B799D	7D42358EA3EEACF62E3ADC9DBFEB6A0C20BD9983B2ECDDA60B0E66568CBD6ED1
170	663	312	P29	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	AD4494F56864D13CEA51E36297D6058E2DB780AE46E0643E276385DA6F7FE2AF	6EA9C842000600C2B5A00AB9971E16ECAAE93550517922314C415244B9F28D4C	CAD508D776E6C184F0E495CC52C77C94C99E29DBEE070787A304862D2F0014C6
171	664	313	P29	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	921104A888D45429384224F686B7E8EE11EB60A7381CEE9177D519E426C78871	768A885890D63867305C845474DE1683D5E94A6119EEE0159DAD0BCA1791EE14	74CA36BFB1A3523622855FFC6D4EEEAE675BA1256B7A1D024698B1DCE11B684A
172	665	314	P29	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	0E453198489426F37501606F2211D86F5DCC2B61FC206E2B6F6BF7E32267BB1E	99678F5A81453034D3882E6AEE373BCAF20F770666522A9CCE33AD3A41DA2E92	3EC88FD8EFBB19BFB6D840DAE514230B3DF151A043A56C05D27976273D154997
173	666	315	P29	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	D37F2A115F3D2CA1471D4C50C52785F9328D78E7763BE61D5409B7AE55061BAB	C333FB71AB87150644F23B5666A18CED9E4E132A61E390E0011443E4C7B3DEFE	C3E86B0BAE991CDE99F8C0B58F9367D6180FF8A92BAB7BFCF3DF274975B06A87
174	667	316	P29	INCLUDE_EXACT_WORK	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	F52AECD0381732448D0AA9D1BCD004B8A4058AFCA364D6AE2BD97EFDCBA92106	D9F841B4060B01B59ED520B532BDC9574A444E600A36B274433AA6509C68B2D0	94CC35509547826952EAA735350E1E7BC80A4E50CA2AA5667FE49988B69A23B0
